BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.2721,-1.18445,-1.00429,-0.462212,-2.4387,-1.43262,-6.44979,0.0355677,0.0693166,0.0947238,6.7298,0.202643,0.140162,89000,81
-2.21178,-1.07686,-0.870906,-0.537666,-2.60748,-1.44045,-6.86143,0.0309109,0.0827085,0.0681464,6.65181,0.201667,0.141116,90000,82
-2.2239,-0.998464,-0.812943,-0.521013,-2.83577,-1.44376,-6.98335,0.0355278,0.0756647,0.0794685,6.70087,0.20281,0.139057,91000,83
-2.24973,-0.990229,-0.806114,-0.553677,-2.8018,-1.47864,-7.05583,0.0405538,0.0761721,0.0707954,6.64606,0.204353,0.140084,92000,84
-2.21752,-1.1385,-0.979215,-0.461585,-2.50637,-1.38117,-6.55183,0.0342834,0.0724031,0.0825679,6.61515,0.201088,0.140145,93000,85
-2.22878,-1.04772,-0.838456,-0.590632,-2.63921,-1.51416,-6.39278,0.0399872,0.0740176,0.0786959,6.60551,0.203772,0.141956,94000,86
-2.46991,-1.47062,-1.28532,-0.182794,-1.93154,-1.27283,-6.36219,0.0319316,0.0767508,0.0742515,6.75249,0.200981,0.14221,95000,87
-2.46463,-1.44624,-1.28898,-0.265913,-1.9627,-1.24507,-6.80387,0.033827,0.0713793,0.0971289,6.72283,0.201414,0.140185,96000,88
-2.45951,-1.45554,-1.2858,-0.178782,-1.97457,-1.24534,-6.91416,0.0330253,0.0746289,0.0723329,6.63815,0.200735,0.13762,97000,89
-2.34194,-1.35226,-1.15763,-0.292229,-2.18056,-1.32942,-7.3225,0.0355994,0.0762885,0.071743,6.66874,0.200892,0.140607,98000,90
-2.41416,-1.47892,-1.31755,-0.224073,-1.80926,-1.26246,-6.96484,0.0278888,0.0776564,0.0609596,6.78389,0.200809,0.140264,99000,91
-2.46279,-1.56559,-1.40409,-0.192906,-1.64281,-1.22843,-6.76545,0.0287291,0.0733521,0.0744219,6.67518,0.200227,0.139972,100000,91
-2.37254,-1.68167,-1.46413,0.0053829,-1.54723,-1.17432,-6.87767,0.0254598,0.0666949,0.0534279,6.60146,0.19991,0.13992,101000,92
-2.50484,-1.66779,-1.48805,-0.148363,-1.45504,-1.21414,-7.09023,0.0284839,0.0686734,0.0753416,6.59152,0.201819,0.139936,102000,93
-2.48139,-1.56173,-1.37113,-0.11992,-1.76846,-1.18801,-7.51227,0.0296658,0.0702567,0.0778595,6.74715,0.203734,0.140555,103000,94
-2.18182,-1.27847,-1.08045,-0.375866,-2.26136,-1.34406,-7.46473,0.0254066,0.0827343,0.0741764,6.70752,0.200217,0.140552,104000,95
-2.42405,-1.08582,-0.881327,-0.526793,-2.61696,-1.43034,-7.52649,0.0364309,0.0774696,0.0680793,6.7204,0.199471,0.13897,105000,96
-2.16501,-1.09682,-0.935369,-0.412654,-2.72144,-1.37617,-6.82038,0.0356836,0.081872,0.0993177,6.70257,0.202382,0.139405,106000,96
-2.45084,-1.48383,-1.29337,-0.225801,-1.88972,-1.27486,-6.84741,0.0388712,0.0665952,0.0785831,6.61728,0.200424,0.139604,107000,97
-2.36735,-1.36003,-1.17583,-0.317817,-2.07951,-1.32771,-6.64217,0.0301334,0.0797536,0.077182,6.6771,0.200104,0.139473,108000,98
-2.4649,-1.38089,-1.21257,-0.240639,-2.04958,-1.30381,-6.44563,0.0334193,0.075635,0.0746478,6.62906,0.201285,0.140888,109000,99
-2.43708,-1.41147,-1.2373,-0.312977,-1.94318,-1.33939,-6.6938,0.0294024,0.0866629,0.0752006,6.67362,0.199633,0.139589,110000,100
-2.43469,-1.32002,-1.12363,-0.296189,-2.20688,-1.30922,-6.92213,0.0353608,0.0740321,0.0761709,6.62932,0.201243,0.141923,111000,101
-2.42417,-1.26139,-1.04312,-0.370828,-2.29356,-1.3896,-6.13981,0.0366892,0.0779844,0.0882727,6.71743,0.200658,0.143897,112000,101
-2.34476,-1.35697,-1.16445,-0.250512,-2.16303,-1.30458,-6.08314,0.0308935,0.0757184,0.0723872,6.62224,0.20394,0.140182,113000,102
-2.40384,-1.36285,-1.18708,-0.366996,-2.05211,-1.35519,-6.16698,0.0285189,0.0840095,0.0866865,6.72396,0.20226,0.139295,114000,103
-2.43622,-1.32678,-1.1168,-0.36973,-2.17177,-1.34585,-5.93383,0.0402351,0.0656485,0.0815097,6.66421,0.198124,0.139833,115000,104
-2.43456,-1.4881,-1.29344,-0.219192,-1.88418,-1.26716,-6.08931,0.031213,0.0684655,0.0787365,6.83517,0.194987,0.138271,116000,104
-2.38009,-1.41957,-1.24305,-0.286962,-2.01515,-1.27887,-6.10659,0.0360199,0.0661196,0.0918637,6.58635,0.199439,0.139218,117000,105
-2.39534,-1.45946,-1.24946,-0.266384,-1.91155,-1.25347,-6.17463,0.0362016,0.062245,0.0652426,6.67021,0.20015,0.138402,118000,106
-2.3557,-1.2919,-1.0811,-0.329049,-2.24264,-1.31273,-5.68116,0.040548,0.0675038,0.0760619,6.71533,0.200206,0.142606,119000,106
-2.31527,-1.23225,-1.01528,-0.387783,-2.39762,-1.37928,-5.759,0.0365329,0.0691978,0.0768208,6.61433,0.201071,0.139577,120000,112
-2.40648,-1.44095,-1.18706,-0.319688,-1.92891,-1.21835,-5.6472,0.0324617,0.0677251,0.0672002,6.67554,0.198626,0.139297,121000,113
-2.32837,-1.42862,-1.22554,-0.340027,-1.96476,-1.27071,-5.67626,0.0288439,0.0751555,0.0908002,6.62208,0.199361,0.141711,122000,115
-2.3362,-1.38915,-1.19958,-0.323846,-1.99528,-1.29728,-5.56673,0.027206,0.0804235,0.0795808,6.59683,0.200074,0.140643,123000,116
-2.38425,-1.31572,-1.12627,-0.372086,-2.0489,-1.40002,-5.84981,0.0368791,0.0671146,0.0797826,6.63892,0.201065,0.144299,124000,117
-2.36339,-1.46811,-1.24676,-0.233457,-1.8875,-1.30978,-6.15401,0.0247397,0.0749223,0.0708604,6.58795,0.197542,0.13979,125000,118
-2.38676,-1.24218,-1.01084,-0.399154,-2.35954,-1.3786,-5.75782,0.0313315,0.0833234,0.0800523,6.58732,0.198796,0.139916,126000,119
-2.22487,-1.19301,-1.00129,-0.508721,-2.32756,-1.38248,-5.49743,0.0345393,0.058141,0.0746808,6.69166,0.198915,0.140202,127000,121
-2.49901,-1.34851,-1.15933,-0.376084,-2.04264,-1.28416,-6.08511,0.0392547,0.0621714,0.0860535,6.74461,0.199654,0.141263,128000,122
-2.47693,-1.3573,-1.20058,-0.437112,-2.00901,-1.32036,-6.07003,0.0341761,0.0794538,0.103432,6.64228,0.201686,0.139878,129000,124
-2.33556,-1.21779,-0.97452,-0.486191,-2.36415,-1.39111,-5.93301,0.0334278,0.0723514,0.0634786,6.52423,0.199682,0.138795,130000,126
-2.25798,-1.26358,-1.0428,-0.45861,-2.26592,-1.33724,-5.59236,0.0330602,0.0693021,0.0748627,6.66263,0.198942,0.139182,131000,128
-2.28035,-1.41079,-1.20694,-0.269719,-2.01194,-1.2564,-5.98744,0.0390618,0.0582449,0.0806166,6.72078,0.199005,0.141605,132000,130
-2.30867,-1.34391,-1.13134,-0.39795,-2.07189,-1.32322,-6.00208,0.0281121,0.0796054,0.0670073,6.65033,0.196575,0.139764,133000,132
-2.35559,-1.44163,-1.23754,-0.184027,-2.01845,-1.25133,-6.04705,0.034236,0.0664774,0.0643104,6.616,0.199759,0.139952,134000,133
-2.45411,-1.49909,-1.31307,-0.279015,-1.76245,-1.28553,-6.47674,0.0340035,0.0681601,0.0778949,6.59083,0.200802,0.140312,135000,135
-2.25546,-1.26303,-1.06003,-0.408518,-2.24045,-1.38063,-5.87782,0.0274437,0.0755908,0.0792167,6.72593,0.201521,0.14023,136000,137
-2.23449,-1.26359,-1.09419,-0.440969,-2.14663,-1.34167,-5.66055,0.0364482,0.0603395,0.0781907,6.64888,0.201479,0.140422,137000,138
-2.36597,-1.31804,-1.09419,-0.356456,-2.24042,-1.25923,-5.50395,0.0285816,0.0726814,0.064524,6.65111,0.199345,0.140914,138000,140
-2.30577,-1.21001,-0.910323,-0.545027,-2.37532,-1.38858,-5.27282,0.0287009,0.0775001,0.0755344,6.61645,0.199829,0.139983,139000,142
-2.21209,-1.2282,-1.04049,-0.406508,-2.397,-1.3101,-5.37071,0.0314322,0.0792287,0.085245,6.62512,0.198864,0.139396,140000,143
-2.34764,-1.36706,-1.18681,-0.331121,-2.04332,-1.26209,-5.927,0.0347229,0.0694195,0.0864681,6.70108,0.198769,0.138118,141000,145
-2.34125,-1.15582,-0.932851,-0.520611,-2.44664,-1.35313,-5.89864,0.0367732,0.0740672,0.0660113,6.71328,0.199309,0.141008,142000,147
-2.27052,-1.10636,-0.871526,-0.436225,-2.71061,-1.44107,-5.43226,0.0383148,0.0720045,0.0777512,6.65793,0.202999,0.137364,143000,148
-2.3717,-1.16858,-0.945334,-0.50865,-2.45098,-1.41832,-5.00947,0.0339312,0.0729947,0.0733713,6.73756,0.195868,0.138355,144000,150
-2.32972,-1.05449,-0.874793,-0.6042,-2.64724,-1.44268,-5.04008,0.0366856,0.0840018,0.0805119,6.68317,0.197613,0.140436,145000,151
-2.2661,-1.00175,-0.804916,-0.573795,-2.75436,-1.41889,-4.9265,0.0340981,0.0784504,0.0771494,6.61711,0.198381,0.139939,146000,153
-2.23399,-1.05459,-0.836485,-0.625606,-2.57121,-1.50355,-4.50327,0.0365095,0.0720836,0.0703532,6.68324,0.202271,0.138732,147000,155
-2.11811,-0.956598,-0.727588,-0.644664,-2.89903,-1.44774,-4.51018,0.0303361,0.0850841,0.0824768,6.68916,0.194718,0.141135,148000,156
-2.22503,-0.997189,-0.742135,-0.650257,-2.81661,-1.44566,-4.2675,0.035858,0.0742339,0.0775051,6.69036,0.19624,0.136971,149000,158
-2.1555,-0.949735,-0.750441,-0.626589,-2.83015,-1.43675,-4.57898,0.0336088,0.0809867,0.0656808,6.66124,0.195692,0.14151,150000,159
-2.22515,-1.0215,-0.841474,-0.588924,-2.71195,-1.44001,-4.5993,0.031513,0.0854735,0.0811601,6.62398,0.196634,0.140408,151000,161
-2.18324,-1.10453,-0.900016,-0.510815,-2.6251,-1.31397,-5.22385,0.0337152,0.0765289,0.0784263,6.69126,0.196864,0.140364,152000,163
-2.32938,-1.10857,-0.896763,-0.566056,-2.51802,-1.42354,-4.98482,0.0347178,0.0814947,0.0861956,6.6457,0.198019,0.138954,153000,165
-2.39213,-0.981538,-0.773545,-0.646362,-2.80011,-1.46875,-5.19893,0.0329049,0.084922,0.0851047,6.65585,0.194154,0.138312,154000,167
-2.26072,-1.34645,-1.14753,-0.360561,-2.12385,-1.25446,-4.65905,0.0302637,0.0774855,0.0684444,6.78606,0.195785,0.139451,155000,168
-2.66724,-1.73398,-1.54601,-0.106282,-1.27703,-1.1388,-4.57687,0.029954,0.0703346,0.0766772,6.66597,0.198364,0.140842,156000,170
-2.45724,-1.59146,-1.3356,-0.198574,-1.60555,-1.23004,-4.34531,0.0319261,0.067496,0.0585855,6.72048,0.200033,0.138207,157000,171
-2.56826,-1.58916,-1.35954,-0.206747,-1.65973,-1.19331,-4.5725,0.0449204,0.0647579,0.0741582,6.65493,0.198254,0.138505,158000,173
-2.60316,-1.6454,-1.42546,-0.256744,-1.39892,-1.21766,-3.74155,0.0375646,0.0572149,0.0703301,6.64639,0.198277,0.138316,159000,175
-2.59025,-1.67041,-1.43472,-0.197494,-1.47013,-1.26152,-3.81086,0.0355328,0.061515,0.0814081,6.63643,0.198218,0.137653,160000,176
-2.35595,-1.30063,-1.08805,-0.332482,-2.30236,-1.27232,-4.27739,0.0334441,0.0677063,0.0664751,6.68994,0.200664,0.137754,161000,178
-2.31617,-1.35073,-1.13909,-0.332645,-2.10029,-1.27538,-4.38653,0.0265232,0.0797582,0.0754808,6.71059,0.200986,0.13868,162000,180
-2.51231,-1.50597,-1.30685,-0.242229,-1.76175,-1.26898,-4.14003,0.0285055,0.0795107,0.0791617,6.68547,0.196362,0.139004,163000,181
-2.3677,-1.60402,-1.38158,-0.185669,-1.60245,-1.1758,-3.94245,0.0266068,0.0658033,0.068255,6.68844,0.19666,0.141907,164000,183
-2.52436,-1.55245,-1.35229,-0.20883,-1.67951,-1.21949,-3.97251,0.0275208,0.0875623,0.0593994,6.69704,0.199363,0.138989,165000,185
-2.29031,-1.39202,-1.18313,-0.329844,-1.97151,-1.21779,-3.87734,0.0330518,0.0546463,0.057618,6.5766,0.203239,0.138124,166000,186
-2.24038,-1.2545,-1.01685,-0.439636,-2.35071,-1.36455,-4.13153,0.0318883,0.0724669,0.0808125,6.68619,0.198885,0.138161,167000,188
-2.42385,-1.32833,-1.12174,-0.36019,-2.13384,-1.29169,-4.24161,0.0355052,0.0640541,0.0768563,6.7907,0.196476,0.139157,168000,190
-2.36043,-1.34837,-1.13857,-0.371523,-2.08012,-1.29755,-4.02218,0.0315307,0.0676677,0.0784353,6.65128,0.195248,0.138194,169000,191
-2.20823,-1.17766,-0.961532,-0.411687,-2.46248,-1.33781,-4.07148,0.0286384,0.0767134,0.0649698,6.77966,0.198376,0.138149,170000,193
-2.226,-1.20123,-0.991896,-0.458503,-2.38491,-1.38138,-4.03944,0.0295591,0.0727819,0.0711699,6.59457,0.196416,0.138069,171000,194
-2.42521,-1.52747,-1.29005,-0.220615,-1.71326,-1.26023,-4.07776,0.028117,0.0710147,0.0551301,6.67087,0.199356,0.141804,172000,196
