BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-6.07173,-3.99768,-6.56178,-0.00877885,0.0227884,-0.00159098,0.0425015,0.00393565,8.35985e-09,0.0960643,6.6204,0.203686,0.144491,0,0
-4.12277,-3.6728,-3.46027,1.3638,2.32016,-0.241805,0.0840669,0.0411789,0.0238367,0.218586,6.51695,0.227178,0.181665,1000,0
-3.31235,-3.00264,-2.87671,0.788043,1.04655,-0.540018,-0.249525,0.0453181,0.0118874,0.177977,6.64215,0.215678,0.165112,2000,1
-3.14186,-2.70764,-2.56935,0.553362,0.506505,-0.787189,-0.140963,0.0509079,0.00486272,0.159445,6.65895,0.219515,0.157972,3000,2
-2.88232,-2.44119,-2.30496,0.363234,-0.00219759,-0.949608,-0.700616,0.0442219,0.0167292,0.153296,6.55347,0.215115,0.150967,4000,2
-2.67686,-1.98342,-1.81042,0.0517886,-0.934705,-1.17416,-1.03682,0.0459441,0.0432635,0.151743,6.60835,0.217802,0.148827,5000,3
-2.32939,-1.72455,-1.53893,-0.0762648,-1.46299,-1.27059,-1.2014,0.0508377,0.0238394,0.140772,6.59928,0.215182,0.146359,6000,4
-2.2449,-1.5527,-1.37903,-0.182112,-1.86937,-1.28752,-1.629,0.0451137,0.0376543,0.14292,6.64739,0.216241,0.147544,7000,4
-2.2303,-1.56116,-1.33564,-0.178065,-1.83421,-1.32483,-1.98972,0.0433362,0.0431373,0.134164,6.62919,0.212894,0.145926,8000,5
-2.21914,-1.56999,-1.35587,-0.0286792,-1.91541,-1.25784,-2.68404,0.0397236,0.0466497,0.130318,6.76266,0.213831,0.145496,9000,7
-2.40606,-1.45068,-1.27322,-0.212119,-2.06649,-1.33338,-3.01113,0.0428455,0.0533787,0.126864,6.70294,0.213584,0.14363,10000,7
-2.1884,-1.12834,-0.96586,-0.443749,-2.63962,-1.47076,-3.37777,0.0391644,0.0714749,0.129051,6.65774,0.214731,0.146188,11000,8
-2.16065,-1.30526,-1.13028,-0.252187,-2.34386,-1.39686,-4.07064,0.0361777,0.0629109,0.114725,6.61185,0.214112,0.145841,12000,9
-2.2127,-1.30542,-1.12996,-0.360873,-2.32579,-1.43858,-3.64668,0.0410068,0.0585035,0.133531,6.80056,0.212683,0.142668,13000,9
-2.16198,-1.20135,-1.04762,-0.384218,-2.49697,-1.4865,-3.82046,0.0327315,0.072298,0.127469,6.84959,0.20884,0.143325,14000,10
-2.16121,-1.27886,-1.09162,-0.284304,-2.37054,-1.41316,-4.00884,0.0390411,0.0552531,0.101848,6.69859,0.213361,0.142485,15000,11
-2.15094,-1.22829,-1.044,-0.345283,-2.54488,-1.40979,-4.24348,0.0370825,0.0659432,0.122284,6.73332,0.212163,0.14193,16000,11
-2.16494,-1.19563,-1.07445,-0.327311,-2.55614,-1.38163,-3.78405,0.0393127,0.0772948,0.119225,6.66284,0.21271,0.143283,17000,12
-2.19748,-1.11609,-0.920467,-0.400466,-2.74309,-1.42888,-3.44724,0.0360789,0.0725962,0.119041,6.82446,0.215022,0.144688,18000,13
-2.19395,-0.956563,-0.810715,-0.598481,-2.99068,-1.52074,-3.67455,0.0484269,0.069261,0.133387,6.65965,0.210514,0.142434,19000,14
-2.10717,-0.973063,-0.797411,-0.53748,-2.93504,-1.45824,-3.49004,0.0373655,0.0801227,0.099474,6.70427,0.211856,0.141398,20000,15
-2.27555,-1.15265,-0.93815,-0.35955,-2.70099,-1.4076,-3.31612,0.0417859,0.0622668,0.0860538,6.66188,0.210409,0.139269,21000,16
-2.2619,-1.24253,-1.07185,-0.346827,-2.37432,-1.44697,-3.84729,0.043834,0.0556853,0.105196,6.63261,0.20829,0.141896,22000,17
-2.29133,-1.27322,-1.0779,-0.311173,-2.40316,-1.45549,-3.45694,0.0358909,0.078723,0.112309,6.64027,0.212304,0.142345,23000,18
-2.37373,-1.07054,-0.877081,-0.468947,-2.7806,-1.47251,-3.2226,0.0385039,0.0878444,0.105528,6.72866,0.209911,0.140632,24000,19
-2.20713,-0.956184,-0.808583,-0.519847,-2.90096,-1.56571,-3.00526,0.0408559,0.0743249,0.107049,6.59936,0.209817,0.144057,25000,20
-2.25704,-1.14537,-0.960589,-0.377164,-2.62726,-1.49716,-3.03029,0.0409908,0.0665087,0.107541,6.51008,0.212763,0.140996,26000,21
-2.1808,-1.19637,-0.99745,-0.352263,-2.55911,-1.44099,-3.58743,0.0363898,0.0736773,0.103645,6.75033,0.211471,0.142331,27000,22
-2.13473,-1.15528,-0.974949,-0.364217,-2.63552,-1.41557,-3.8266,0.0323496,0.0746161,0.103613,6.73812,0.209947,0.143244,28000,23
-2.24326,-1.11497,-0.978865,-0.490564,-2.63206,-1.45072,-4.55,0.0425394,0.0644078,0.119507,6.62418,0.208536,0.141141,29000,24
-2.23171,-1.06314,-0.878454,-0.415304,-2.84093,-1.51478,-4.24801,0.0430147,0.0696231,0.119578,6.68143,0.209467,0.143179,30000,25
-2.32111,-1.12444,-0.951566,-0.438212,-2.66113,-1.42598,-4.24547,0.0472146,0.0619252,0.10505,6.69615,0.2088,0.141947,31000,26
-2.16558,-1.0053,-0.842301,-0.473348,-2.91296,-1.47784,-4.59694,0.0380311,0.0748015,0.103895,6.5784,0.208808,0.139837,32000,27
-2.31354,-1.05261,-0.894961,-0.500821,-2.69263,-1.49179,-5.0195,0.044053,0.0672261,0.0924743,6.69005,0.20786,0.140357,33000,28
-2.2451,-1.10561,-0.889253,-0.369628,-2.76997,-1.43357,-4.46574,0.0450312,0.0687994,0.0991725,6.7068,0.209679,0.142397,34000,29
-2.23521,-1.04555,-0.910957,-0.481544,-2.78239,-1.449,-4.40079,0.039684,0.0756961,0.113529,6.55096,0.210126,0.141475,35000,31
-2.12904,-0.896897,-0.721203,-0.522665,-3.10709,-1.56285,-4.02366,0.0453208,0.0704362,0.0921819,6.69327,0.208673,0.142257,36000,32
-2.15119,-1.08437,-0.937031,-0.486039,-2.73111,-1.47446,-4.23276,0.0384028,0.0779284,0.111093,6.70602,0.209609,0.13981,37000,33
-2.07109,-0.896573,-0.753851,-0.514714,-3.08107,-1.51013,-4.31939,0.040008,0.0698357,0.0819946,6.62214,0.208072,0.140477,38000,33
-2.16095,-1.12226,-0.945569,-0.374604,-2.70388,-1.47694,-5.02969,0.0364674,0.0714459,0.111981,6.57402,0.209745,0.141577,39000,34
-2.15999,-1.06464,-0.876711,-0.428831,-2.82444,-1.45753,-4.45793,0.040566,0.0711027,0.0940758,6.62002,0.207612,0.140932,40000,35
-2.20227,-1.03693,-0.867072,-0.4543,-2.7745,-1.51209,-4.56735,0.0379592,0.0761403,0.0990955,6.77148,0.204311,0.142228,41000,36
-2.1087,-1.13031,-0.992344,-0.519517,-2.55985,-1.44228,-4.19289,0.042241,0.0598116,0.111094,6.65082,0.208043,0.140289,42000,37
-2.23721,-1.20832,-1.03312,-0.354311,-2.47606,-1.44572,-3.88059,0.0410467,0.0641149,0.107311,6.75232,0.207791,0.141606,43000,38
-2.40692,-1.25264,-1.1039,-0.260048,-2.4694,-1.35352,-3.98065,0.0359115,0.0862081,0.0966671,6.64896,0.20865,0.141414,44000,38
-2.31744,-1.27144,-1.08898,-0.311996,-2.38534,-1.39149,-3.62112,0.0340577,0.07531,0.102783,6.70798,0.209882,0.13972,45000,40
-2.42721,-1.39509,-1.25706,-0.285811,-2.04798,-1.34948,-4.05326,0.0359756,0.0774034,0.0998657,6.72785,0.206015,0.139432,46000,40
-2.31382,-1.1656,-1.02858,-0.439849,-2.46539,-1.40206,-3.98295,0.0358236,0.0765183,0.0983623,6.70395,0.205739,0.139733,47000,41
-2.39536,-1.19791,-1.04993,-0.408163,-2.40961,-1.45638,-4.02841,0.0355397,0.0786057,0.110506,6.73178,0.204728,0.141923,48000,42
-2.37284,-1.30425,-1.1138,-0.25596,-2.28652,-1.36426,-4.29163,0.0408582,0.074097,0.0829742,6.74307,0.205169,0.141559,49000,43
-2.39687,-1.34682,-1.14529,-0.264611,-2.17353,-1.37765,-4.36338,0.0301585,0.0770276,0.0763437,6.64764,0.208017,0.1411,50000,44
-2.42905,-1.33225,-1.15813,-0.401153,-2.13464,-1.37356,-4.11617,0.0412163,0.0727794,0.105159,6.68903,0.203958,0.140642,51000,45
-2.38543,-1.2448,-1.10414,-0.324121,-2.33682,-1.3722,-4.21633,0.0415784,0.0741464,0.0860738,6.62303,0.205469,0.142127,52000,46
-2.37329,-1.26017,-1.12984,-0.342381,-2.31581,-1.39254,-4.24254,0.0400258,0.0743432,0.109624,6.63911,0.204717,0.140766,53000,47
-2.36369,-1.15836,-0.977923,-0.434798,-2.52767,-1.42238,-4.51718,0.0385063,0.0728305,0.0929414,6.61907,0.207554,0.142249,54000,48
-2.31289,-1.3161,-1.1195,-0.346137,-2.2327,-1.34928,-5.15791,0.0364579,0.065143,0.0985944,6.65868,0.205044,0.140742,55000,49
-2.2729,-1.24042,-1.04708,-0.407897,-2.4448,-1.36461,-4.55237,0.0380815,0.0686573,0.103456,6.64922,0.207194,0.137739,56000,50
-2.35278,-1.17184,-0.965047,-0.387551,-2.51512,-1.44073,-4.52955,0.0358921,0.0741473,0.085718,6.74483,0.204042,0.139785,57000,50
-2.26901,-1.19726,-1.02328,-0.357404,-2.52323,-1.40052,-4.80541,0.0401861,0.067486,0.0942813,6.60592,0.20546,0.139401,58000,51
-2.2341,-1.08518,-0.897252,-0.446387,-2.72039,-1.46859,-4.88195,0.0349014,0.0810288,0.0843412,6.66272,0.205307,0.14082,59000,52
-2.23107,-0.99141,-0.852657,-0.567432,-2.81966,-1.48572,-5.44823,0.0365191,0.0803393,0.095188,6.6758,0.206534,0.140518,60000,53
-2.20248,-0.890527,-0.720276,-0.55963,-3.0975,-1.44821,-5.36115,0.03819,0.0801923,0.0730766,6.71184,0.207646,0.139341,61000,54
-2.13679,-0.762219,-0.608534,-0.717535,-3.1847,-1.58455,-5.23325,0.038324,0.0801416,0.0839754,6.7426,0.205617,0.142875,62000,55
-2.27214,-1.06282,-0.88344,-0.487769,-2.70637,-1.493,-5.20597,0.030946,0.0776092,0.0974729,6.60343,0.199314,0.139649,63000,56
-2.20939,-1.23596,-1.05155,-0.384683,-2.4509,-1.34563,-4.73558,0.045626,0.0543754,0.0969532,6.72907,0.20739,0.140643,64000,57
-2.38648,-1.11225,-0.941757,-0.447302,-2.60079,-1.43611,-4.68852,0.0368543,0.0728129,0.0949001,6.58701,0.206228,0.142287,65000,58
-2.35521,-1.22669,-1.01221,-0.38902,-2.40282,-1.45777,-4.42645,0.0370139,0.0713506,0.0872056,6.53045,0.205388,0.141007,66000,59
-2.19192,-1.07907,-0.859186,-0.472019,-2.72316,-1.43736,-4.16014,0.0366402,0.0702498,0.0912451,6.64739,0.201415,0.143002,67000,59
-2.36078,-1.09441,-0.861275,-0.459498,-2.70962,-1.45963,-5.07463,0.0352823,0.0824701,0.0936285,6.69093,0.202811,0.141541,68000,60
-2.21666,-0.99736,-0.809649,-0.566614,-2.82257,-1.47175,-4.6908,0.0399557,0.0709811,0.0991116,6.66262,0.201666,0.142733,69000,61
-2.3808,-1.23501,-1.0832,-0.370999,-2.34872,-1.40038,-4.20841,0.0384661,0.0662355,0.0932871,6.70071,0.200876,0.140078,70000,62
-2.1714,-1.21186,-0.998576,-0.345153,-2.49137,-1.36073,-3.91815,0.031893,0.0738853,0.0699783,6.63924,0.206557,0.141617,71000,63
-2.2685,-1.25079,-1.05385,-0.361064,-2.35528,-1.36639,-4.10622,0.0363427,0.0740274,0.102213,6.62686,0.205592,0.140025,72000,64
-2.28202,-1.23836,-1.066,-0.35423,-2.40027,-1.38247,-4.19767,0.0391632,0.0736811,0.108957,6.67388,0.202217,0.139364,73000,65
-2.17549,-1.14472,-0.974595,-0.486146,-2.49598,-1.3853,-4.75273,0.0374732,0.0630945,0.0762513,6.74009,0.204085,0.138978,74000,66
-2.21721,-0.964037,-0.767925,-0.520118,-2.98679,-1.42019,-4.37448,0.0369604,0.0806181,0.0912005,6.63829,0.202337,0.140019,75000,67
-2.22499,-0.907387,-0.748785,-0.58214,-2.98833,-1.5003,-4.37378,0.0417821,0.07078,0.0843472,6.68896,0.207169,0.140198,76000,68
-2.1891,-1.1364,-0.9446,-0.443131,-2.62561,-1.42234,-4.84694,0.0392201,0.0665993,0.100875,6.77604,0.203839,0.139142,77000,69
-2.23881,-1.13568,-0.976989,-0.418255,-2.54944,-1.38174,-5.00976,0.036647,0.0675977,0.0759793,6.63069,0.2055,0.139589,78000,70
-2.1474,-1.06035,-0.892682,-0.511999,-2.65322,-1.4739,-4.77135,0.0302413,0.0773857,0.0849897,6.70115,0.204157,0.137759,79000,71
-2.28535,-1.10203,-0.905852,-0.509366,-2.60474,-1.48338,-5.21044,0.0402396,0.061323,0.0879669,6.47266,0.207136,0.140512,80000,72
-2.22979,-1.09755,-0.899309,-0.466649,-2.62918,-1.42664,-5.40407,0.0378611,0.073182,0.0832548,6.60114,0.201907,0.14121,81000,73
-2.30012,-1.10946,-0.924334,-0.398681,-2.66623,-1.41089,-5.58641,0.0320421,0.0860898,0.0852844,6.65764,0.206939,0.138325,82000,74
-2.13548,-1.12751,-0.93277,-0.42749,-2.64935,-1.35522,-6.25538,0.0326461,0.0731969,0.0879395,6.72577,0.202627,0.14077,83000,75
-2.11903,-0.980024,-0.781012,-0.607095,-2.85651,-1.49122,-6.4635,0.0376761,0.0738387,0.0748466,6.64308,0.19909,0.139929,84000,76
-2.16725,-0.854649,-0.642765,-0.734683,-2.9977,-1.62818,-6.22316,0.0367365,0.0787799,0.0869175,6.60465,0.20192,0.140115,85000,77
-2.07796,-0.888504,-0.752857,-0.588279,-3.02581,-1.5022,-5.75278,0.0421491,0.0683431,0.0764856,6.72046,0.199889,0.140014,86000,78
-2.10488,-1.0387,-0.893728,-0.469221,-2.64352,-1.42601,-6.12276,0.0327663,0.0790937,0.068821,6.62855,0.200791,0.142981,87000,79
-2.19908,-1.15363,-0.960926,-0.411509,-2.50506,-1.40197,-6.10559,0.0367875,0.0589952,0.0884891,6.6995,0.202878,0.139263,88000,80
