BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.2522,-1.54812,-1.40851,-0.356148,-0.774772,-0.733947,0.073667,6.69505,0.204732,0.156123,131000,153
-2.27065,-1.69896,-1.52413,-0.279536,-0.503191,-0.610438,0.066677,6.69156,0.204033,0.157251,132000,156
-2.03416,-1.45578,-1.25209,-0.415319,-1.14504,-0.713896,0.0657916,6.65728,0.204253,0.154886,133000,158
-2.09825,-1.41517,-1.21697,-0.457805,-1.14232,-0.795043,0.0798311,6.5986,0.201498,0.15576,134000,162
-2.13237,-1.49877,-1.30238,-0.425849,-0.959388,-0.717842,0.0688108,6.73681,0.203118,0.154397,135000,165
-2.11616,-1.43301,-1.26481,-0.39618,-1.15633,-0.736551,0.071593,6.49545,0.203008,0.155287,136000,168
-2.09695,-1.33302,-1.16032,-0.547837,-1.27188,-0.806124,0.0757434,6.77394,0.205212,0.154258,137000,171
-2.06942,-1.33917,-1.13867,-0.455536,-1.31954,-0.801021,0.0711773,6.66991,0.205523,0.156396,138000,175
-2.26443,-1.565,-1.36997,-0.367552,-0.80246,-0.74149,0.0682769,6.72842,0.205481,0.15448,139000,178
-2.20789,-1.5759,-1.43914,-0.425646,-0.700657,-0.730699,0.0695971,6.64259,0.201521,0.15234,140000,181
-2.34897,-1.77272,-1.61297,-0.263863,-0.41146,-0.619682,0.0667261,6.66158,0.200996,0.153534,141000,184
-2.37373,-1.70606,-1.56002,-0.308078,-0.477431,-0.672148,0.0700067,6.66815,0.205176,0.156294,142000,187
-2.29731,-1.52759,-1.37155,-0.357673,-0.94609,-0.695289,0.0738005,6.68418,0.204523,0.154611,143000,190
-2.00306,-1.33581,-1.18698,-0.541403,-1.27525,-0.737075,0.0775366,6.56046,0.201737,0.154969,144000,192
-2.17003,-1.26449,-1.13075,-0.626728,-1.31772,-0.859142,0.0846259,6.63472,0.201966,0.154774,145000,194
-2.00392,-1.27875,-1.09653,-0.562176,-1.39433,-0.807581,0.0742515,6.73516,0.199873,0.15525,146000,197
-1.91866,-1.17219,-1.01307,-0.592721,-1.62655,-0.852673,0.0746779,6.68767,0.201375,0.152545,147000,200
-1.93736,-1.22546,-1.05363,-0.581919,-1.52871,-0.796325,0.0675616,6.74692,0.205482,0.152884,148000,203
-1.89312,-1.1788,-1.03987,-0.572001,-1.58442,-0.837509,0.0700606,6.72553,0.205748,0.154182,149000,206
-1.95559,-1.23691,-1.0592,-0.557205,-1.51082,-0.870839,0.0763753,6.76835,0.202849,0.153216,150000,209
-1.96623,-1.19273,-1.06078,-0.526425,-1.61337,-0.842179,0.0765729,6.71385,0.203708,0.153261,151000,212
-2.01061,-1.15399,-1.00999,-0.627365,-1.63333,-0.906161,0.0796106,6.63697,0.201125,0.15122,152000,216
-2.13331,-1.25271,-1.09313,-0.552059,-1.4473,-0.847591,0.0862943,6.6931,0.201402,0.154755,153000,219
-1.83717,-1.04104,-0.912072,-0.681125,-1.84258,-0.865684,0.0772668,6.60656,0.202997,0.1558,154000,221
-1.98707,-1.13775,-0.984271,-0.634623,-1.61033,-0.903782,0.0765538,6.62478,0.202476,0.15356,155000,224
-2.1197,-1.35959,-1.20828,-0.550451,-1.22616,-0.761198,0.0737726,6.65769,0.202213,0.154278,156000,227
-1.91643,-1.20111,-1.032,-0.60243,-1.58987,-0.851933,0.0743439,6.59107,0.204152,0.154175,157000,230
-1.9149,-1.26584,-1.13317,-0.49388,-1.41133,-0.851661,0.0692162,6.6826,0.202611,0.152918,158000,233
-2.05646,-1.259,-1.08007,-0.53437,-1.48863,-0.811802,0.0810391,6.78713,0.202164,0.152332,159000,236
-2.05372,-1.38718,-1.21337,-0.400405,-1.33,-0.746385,0.0708428,6.70233,0.199495,0.151997,160000,238
-1.89603,-1.177,-1.01789,-0.569998,-1.60195,-0.849719,0.0712953,6.62197,0.200235,0.15612,161000,241
-1.735,-0.966506,-0.817983,-0.710223,-2.15213,-0.922533,0.0806431,6.68707,0.200034,0.152276,162000,243
-1.91739,-1.24954,-1.08911,-0.535033,-1.4799,-0.861546,0.0705052,6.5633,0.199288,0.152467,163000,246
-2.11667,-1.37328,-1.19762,-0.527762,-1.23812,-0.825172,0.0780227,6.69483,0.203009,0.151434,164000,249
-2.21729,-1.55988,-1.40145,-0.385613,-0.872661,-0.727714,0.0727405,6.56819,0.201915,0.150781,165000,252
-2.31009,-1.60575,-1.46796,-0.322753,-0.757407,-0.782901,0.0746331,6.63283,0.203475,0.151891,166000,255
-2.3004,-1.65035,-1.5263,-0.257192,-0.659359,-0.74222,0.0772092,6.67216,0.201257,0.151938,167000,257
-2.24251,-1.45677,-1.27132,-0.40749,-1.0379,-0.776408,0.0736945,6.58355,0.203024,0.156255,168000,260
-2.0758,-1.44992,-1.27504,-0.3395,-1.15645,-0.743417,0.0669804,6.5935,0.196071,0.154369,169000,263
-2.2791,-1.4337,-1.31515,-0.468321,-1.04668,-0.819317,0.0842597,6.69265,0.200187,0.152951,170000,265
-2.21473,-1.36987,-1.23651,-0.441013,-1.24555,-0.802952,0.0762493,6.70138,0.200743,0.153917,171000,268
-2.10934,-1.41358,-1.2812,-0.353282,-1.23636,-0.716903,0.0676297,6.59889,0.198965,0.151511,172000,272
-2.07287,-1.45472,-1.3005,-0.469445,-1.07276,-0.774304,0.0743465,6.64533,0.199167,0.148802,173000,275
-2.155,-1.3403,-1.18043,-0.489278,-1.27199,-0.833955,0.0770789,6.63937,0.197027,0.15224,174000,278
-2.0493,-1.30185,-1.12966,-0.506288,-1.38403,-0.841571,0.0765117,6.65444,0.201876,0.154922,175000,282
-2.11957,-1.1975,-1.04718,-0.614759,-1.56001,-0.867984,0.0881682,6.61787,0.200443,0.154556,176000,284
-2.1177,-1.31702,-1.1313,-0.573149,-1.35848,-0.839004,0.0830909,6.70697,0.202245,0.151855,177000,287
-2.09959,-1.30415,-1.16311,-0.46783,-1.41422,-0.84047,0.0782205,6.6459,0.200784,0.151286,178000,290
-2.11995,-1.21249,-1.07674,-0.587159,-1.54031,-0.916752,0.0815543,6.63748,0.203987,0.152949,179000,294
-2.23238,-1.51494,-1.34172,-0.318253,-1.06141,-0.79899,0.0698625,6.70515,0.201424,0.151946,180000,297
-2.14858,-1.33375,-1.21048,-0.562609,-1.2021,-0.856449,0.0802251,6.70031,0.201166,0.152823,181000,300
-2.02297,-1.29417,-1.14857,-0.555961,-1.44019,-0.823198,0.0799356,6.56173,0.201078,0.151335,182000,304
-2.01561,-1.21599,-1.03541,-0.598126,-1.55541,-0.961148,0.0833043,6.60417,0.199234,0.151243,183000,307
-1.91337,-1.13353,-1.00596,-0.649946,-1.69414,-0.909945,0.0764421,6.6757,0.199837,0.148856,184000,310
-1.99115,-1.25033,-1.06765,-0.498795,-1.63962,-0.839668,0.0799448,6.68977,0.19873,0.152742,185000,314
-1.92523,-1.18614,-1.05078,-0.568306,-1.66446,-0.917267,0.0793009,6.60721,0.200551,0.150044,186000,317
-1.91881,-1.08027,-0.934734,-0.676758,-1.85786,-0.96588,0.0822489,6.57344,0.198967,0.151635,187000,320
-1.92976,-1.15139,-1.00058,-0.521454,-1.79203,-0.887128,0.0786829,6.75786,0.200545,0.151036,188000,324
-1.81934,-1.06076,-0.885676,-0.673349,-1.86219,-0.944938,0.0742362,6.76869,0.197769,0.15147,189000,327
-1.94886,-1.11548,-0.95352,-0.697186,-1.72026,-1.02068,0.0837695,6.76997,0.198026,0.151704,190000,329
-2.01462,-1.08514,-0.971141,-0.658363,-1.74196,-0.940438,0.0857029,6.56535,0.199356,0.152414,191000,331
-1.98652,-1.16094,-1.00019,-0.581527,-1.72072,-0.881283,0.0811157,6.75555,0.199134,0.150147,192000,335
-1.95571,-1.33173,-1.15283,-0.455483,-1.42781,-0.845916,0.0725252,6.64775,0.198263,0.148542,193000,338
-2.15893,-1.44786,-1.29149,-0.406573,-1.12429,-0.812462,0.0734245,6.49207,0.203547,0.151692,194000,341
-2.09756,-1.45611,-1.2731,-0.433923,-1.12869,-0.7941,0.0726748,6.60663,0.200464,0.151175,195000,344
-2.10433,-1.45417,-1.28841,-0.395592,-1.1285,-0.823886,0.0659718,6.70294,0.203388,0.15116,196000,348
-2.20541,-1.54092,-1.42117,-0.352669,-0.859293,-0.69237,0.0662773,6.62143,0.19987,0.151308,197000,351
-2.14095,-1.48504,-1.30204,-0.41222,-1.04104,-0.726694,0.0710906,6.6415,0.199762,0.15263,198000,354
-2.18211,-1.37863,-1.23847,-0.435707,-1.29878,-0.76582,0.0810767,6.68277,0.204085,0.149325,199000,357
-2.29978,-1.42748,-1.27709,-0.367046,-1.1844,-0.812309,0.0817229,6.6522,0.198362,0.151963,200000,360
-2.2849,-1.48388,-1.30888,-0.329017,-1.12856,-0.743703,0.0767778,6.62781,0.198235,0.149865,201000,363
-2.29955,-1.40406,-1.27021,-0.481097,-1.10797,-0.927511,0.0859104,6.66183,0.201615,0.150633,202000,367
-2.09088,-1.36729,-1.18926,-0.456474,-1.36167,-0.870658,0.076406,6.75501,0.200679,0.150398,203000,369
-2.172,-1.33429,-1.16783,-0.465092,-1.35491,-0.893222,0.0808607,6.59082,0.197115,0.150167,204000,372
-2.1274,-1.37193,-1.24325,-0.448226,-1.35038,-0.834004,0.0850101,6.65122,0.201473,0.148984,205000,376
-1.91062,-1.2263,-1.09349,-0.578349,-1.55854,-0.864821,0.0749493,6.7847,0.19993,0.151015,206000,379
-2.18415,-1.46345,-1.33102,-0.39392,-0.98505,-0.809119,0.0709993,6.62309,0.198919,0.152271,207000,381
-2.20481,-1.45608,-1.30637,-0.467162,-1.08108,-0.822615,0.0792837,6.71374,0.1985,0.149763,208000,384
-2.12257,-1.39185,-1.23198,-0.453805,-1.25994,-0.849035,0.0773423,6.71111,0.195402,0.150519,209000,387
-2.15819,-1.35823,-1.22257,-0.435519,-1.34141,-0.820988,0.0763123,6.69284,0.198763,0.151127,210000,389
-2.07039,-1.23883,-1.08981,-0.581973,-1.52546,-0.92115,0.0849089,6.654,0.199863,0.14939,211000,392
-2.19989,-1.33005,-1.14344,-0.526632,-1.34411,-0.880645,0.0799562,6.63761,0.200313,0.150445,212000,395
-2.25061,-1.36608,-1.22056,-0.440304,-1.34168,-0.771725,0.0831373,6.61923,0.200485,0.151141,213000,398
-2.02886,-1.17766,-1.0397,-0.639497,-1.62923,-0.872759,0.0839957,6.61337,0.199307,0.150607,214000,402
-1.86214,-1.14916,-0.988179,-0.594041,-1.73989,-0.92336,0.0736522,6.66141,0.200853,0.150406,215000,405
-2.18866,-1.48682,-1.35003,-0.352687,-1.11096,-0.792394,0.0732329,6.60235,0.199063,0.147078,216000,408
-2.16117,-1.56321,-1.37504,-0.394273,-0.864545,-0.797525,0.0618904,6.54101,0.199849,0.149876,217000,411
-2.22948,-1.55905,-1.39464,-0.313158,-0.939117,-0.759226,0.0739949,6.63468,0.201461,0.150687,218000,415
-2.27742,-1.61461,-1.46329,-0.287576,-0.800268,-0.80894,0.0766055,6.85145,0.198678,0.149151,219000,418
-2.20543,-1.39375,-1.26259,-0.492531,-1.11887,-0.8616,0.0751149,6.60472,0.197769,0.150093,220000,421
-2.386,-1.62897,-1.46972,-0.278956,-0.763878,-0.77736,0.0735109,6.53931,0.201164,0.152408,221000,424
-2.23626,-1.54342,-1.42692,-0.380407,-0.943941,-0.743547,0.0767567,6.69247,0.198476,0.149336,222000,426
