BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-6.08409,-3.99762,-6.57903,0,0,0,0.0735566,6.59658,0.2,0.151834,0,0
-3.33922,-2.93619,-2.73949,0.987241,2.45082,0.568397,0.0384713,6.15041,0.249571,0.204724,1000,1
-3.03163,-2.75686,-2.60038,0.740037,1.95215,0.213765,0.0323537,6.33851,0.2398,0.198857,2000,1
-2.68849,-2.37568,-2.15315,0.420955,1.05588,-0.0358201,0.0328317,6.48434,0.241406,0.18637,3000,2
-2.43889,-2.29839,-2.06251,0.276328,0.820131,-0.0839812,0.0313376,6.48089,0.236621,0.183321,4000,3
-2.33935,-2.08289,-1.88575,0.126302,0.453687,-0.174838,0.0385101,6.67133,0.235059,0.180661,5000,4
-2.21695,-1.93814,-1.6682,-0.0399799,0.235886,-0.310001,0.0350072,6.6435,0.230145,0.182441,6000,4
-1.93659,-1.76651,-1.52806,-0.112652,-0.19028,-0.353345,0.0299239,6.72913,0.229607,0.179979,7000,5
-1.8869,-1.61517,-1.39196,-0.247425,-0.42936,-0.360039,0.0366452,6.53988,0.232945,0.182023,8000,6
-1.72938,-1.52582,-1.26539,-0.320033,-0.602624,-0.485298,0.0314242,6.59996,0.238581,0.183054,9000,7
-1.88688,-1.59778,-1.37789,-0.281566,-0.42738,-0.440953,0.0513949,6.68127,0.235784,0.182307,10000,8
-1.81541,-1.39265,-1.15619,-0.48702,-0.850668,-0.495785,0.0578691,6.60012,0.236493,0.178716,11000,8
-1.78721,-1.43394,-1.1974,-0.404053,-0.752857,-0.407657,0.0442712,6.68791,0.233189,0.183674,12000,9
-1.76425,-1.3619,-1.18668,-0.500855,-0.800674,-0.559683,0.0566207,6.66849,0.23196,0.181486,13000,10
-1.66441,-1.25866,-1.05015,-0.590031,-1.07701,-0.544132,0.0569284,6.69236,0.234234,0.179393,14000,11
-1.90767,-1.50708,-1.32258,-0.383374,-0.581938,-0.424616,0.0535732,6.54258,0.234714,0.180548,15000,11
-1.68526,-1.32372,-1.06421,-0.524141,-1.02907,-0.519433,0.0519898,6.72302,0.229858,0.178108,16000,12
-1.68944,-1.27782,-1.07423,-0.544508,-1.06373,-0.5268,0.0563311,6.60948,0.233415,0.177202,17000,13
-1.56748,-1.25501,-1.03359,-0.459754,-1.2387,-0.536074,0.0422034,6.61488,0.227464,0.176764,18000,14
-1.58829,-1.18637,-0.966506,-0.517648,-1.37343,-0.591238,0.0545307,6.67445,0.231981,0.179157,19000,14
-1.62359,-1.36039,-1.10846,-0.400049,-1.08512,-0.584177,0.0495934,6.68547,0.232892,0.178354,20000,15
-1.76214,-1.50253,-1.25348,-0.351494,-0.810417,-0.44028,0.0509965,6.67732,0.228106,0.17709,21000,16
-1.85711,-1.54817,-1.3379,-0.358365,-0.612006,-0.517913,0.0434824,6.58176,0.228276,0.174741,22000,17
-1.82486,-1.31941,-1.15472,-0.496364,-1.01984,-0.583675,0.0568252,6.62309,0.230199,0.175837,23000,18
-1.77242,-1.34647,-1.15114,-0.414389,-1.02109,-0.564192,0.0527144,6.69643,0.227347,0.176406,24000,18
-1.61247,-1.20825,-0.969802,-0.487853,-1.38678,-0.577924,0.0545526,6.70842,0.228494,0.177338,25000,19
-1.6535,-1.05726,-0.857897,-0.709349,-1.60202,-0.658528,0.066073,6.69077,0.223497,0.175064,26000,20
-1.64284,-1.07203,-0.886654,-0.68883,-1.57684,-0.642932,0.0705122,6.73724,0.22742,0.17461,27000,21
-1.56404,-1.01308,-0.806749,-0.682777,-1.69268,-0.69774,0.0604835,6.70593,0.228422,0.176757,28000,21
-1.79644,-1.2821,-1.08118,-0.433526,-1.23157,-0.568157,0.0644101,6.80253,0.227763,0.176164,29000,22
-1.78398,-1.14863,-0.911752,-0.624294,-1.43801,-0.679148,0.0658217,6.66562,0.22328,0.174338,30000,23
-1.7433,-1.32896,-1.07783,-0.464046,-1.17229,-0.589156,0.0551881,6.64985,0.225674,0.173038,31000,25
-1.85782,-1.34715,-1.12422,-0.464411,-1.15501,-0.584627,0.062003,6.71194,0.22519,0.168537,32000,26
-1.72322,-1.21136,-1.04742,-0.527604,-1.3867,-0.60269,0.0579254,6.62056,0.22687,0.171352,33000,27
-1.64192,-1.19578,-0.992337,-0.523218,-1.40352,-0.662208,0.0576391,6.67183,0.224008,0.172245,34000,28
-1.90426,-1.33753,-1.1628,-0.462148,-1.04039,-0.544236,0.059068,6.73727,0.227756,0.171348,35000,29
-1.9117,-1.47808,-1.30235,-0.340752,-0.788294,-0.53544,0.0526196,6.71844,0.225581,0.17487,36000,31
-1.67947,-1.19436,-0.994322,-0.569274,-1.31627,-0.56312,0.052939,6.59244,0.22558,0.172723,37000,31
-1.70179,-1.27395,-1.03433,-0.454301,-1.34879,-0.625699,0.0599239,6.57752,0.229193,0.169482,38000,32
-1.67502,-1.10319,-0.891126,-0.629115,-1.55412,-0.765396,0.0658072,6.52477,0.219595,0.172928,39000,33
-1.68918,-1.17522,-0.981193,-0.570183,-1.43544,-0.690416,0.0635999,6.61141,0.226295,0.173957,40000,34
-1.77663,-1.25923,-1.08455,-0.462729,-1.31709,-0.636498,0.0578617,6.70315,0.2259,0.170073,41000,35
-1.60733,-1.11586,-0.951525,-0.504507,-1.61786,-0.656074,0.0571059,6.61141,0.223798,0.171054,42000,36
-1.75978,-1.17525,-0.949092,-0.575994,-1.51548,-0.735228,0.0623576,6.59476,0.226213,0.16912,43000,37
-1.73201,-1.30155,-1.11979,-0.45647,-1.23486,-0.596907,0.0574061,6.63782,0.220453,0.170336,44000,38
-1.80615,-1.38684,-1.18554,-0.418523,-1.09361,-0.559817,0.0523878,6.64612,0.22452,0.1715,45000,39
-1.86095,-1.30943,-1.14657,-0.413608,-1.24696,-0.596023,0.0661223,6.52001,0.223079,0.169839,46000,40
-1.68548,-1.17353,-0.999362,-0.439494,-1.61181,-0.606254,0.0681383,6.65599,0.225999,0.169182,47000,41
-1.91577,-1.31045,-1.12896,-0.461352,-1.18981,-0.639514,0.0625441,6.58341,0.224518,0.171327,48000,41
-1.85063,-1.31773,-1.14165,-0.355015,-1.29377,-0.640473,0.0585573,6.66717,0.221631,0.168934,49000,42
-1.79834,-1.33625,-1.1766,-0.351788,-1.20373,-0.627054,0.0616343,6.76415,0.220789,0.17029,50000,43
-1.77067,-1.2672,-1.06011,-0.470491,-1.27699,-0.693364,0.0571309,6.68505,0.220604,0.172408,51000,44
-1.84661,-1.34019,-1.16075,-0.436591,-1.15784,-0.669364,0.0561517,6.54613,0.221497,0.168825,52000,46
-1.77511,-1.25512,-1.06595,-0.411294,-1.45794,-0.599447,0.0617776,6.60367,0.218486,0.168265,53000,47
-1.90542,-1.39929,-1.19404,-0.379119,-1.06391,-0.687402,0.0616672,6.63982,0.21802,0.167544,54000,48
-1.95454,-1.42949,-1.29046,-0.411392,-0.877856,-0.635604,0.0590763,6.68821,0.221044,0.171168,55000,49
-1.89448,-1.34187,-1.17684,-0.420377,-1.19885,-0.685765,0.0696516,6.65798,0.220041,0.170262,56000,51
-1.99214,-1.39694,-1.21244,-0.388105,-1.02897,-0.692901,0.0616994,6.62156,0.219216,0.168449,57000,52
-1.91017,-1.35616,-1.14527,-0.377095,-1.21906,-0.694733,0.0628583,6.7589,0.216709,0.166306,58000,53
-1.84324,-1.29528,-1.13287,-0.379567,-1.36786,-0.655956,0.0599817,6.78521,0.217032,0.168669,59000,54
-1.8739,-1.21032,-1.04799,-0.452818,-1.528,-0.666616,0.0723104,6.67603,0.213796,0.167816,60000,55
-2.01275,-1.42047,-1.24724,-0.359357,-1.01134,-0.728839,0.0623832,6.74577,0.217568,0.166125,61000,57
-1.91873,-1.38823,-1.20503,-0.328065,-1.23528,-0.661784,0.0658534,6.67132,0.214405,0.164671,62000,58
-1.94155,-1.37372,-1.20494,-0.438166,-1.1497,-0.652881,0.0662894,6.76105,0.218276,0.16774,63000,59
-2.00292,-1.40433,-1.27165,-0.222515,-1.17557,-0.597913,0.0607506,6.5908,0.215507,0.167014,64000,60
-1.96686,-1.29891,-1.11204,-0.464357,-1.29153,-0.764335,0.0722294,6.71199,0.215322,0.165433,65000,62
-1.86199,-1.28073,-1.10048,-0.39659,-1.3832,-0.637791,0.0663858,6.66821,0.215707,0.167944,66000,63
-1.83104,-1.20917,-1.08519,-0.500825,-1.44193,-0.733734,0.0673404,6.7042,0.214991,0.165843,67000,64
-1.77981,-1.20385,-0.998547,-0.465543,-1.57627,-0.765242,0.0666895,6.69265,0.21451,0.166468,68000,65
-1.81969,-1.17916,-0.990966,-0.442749,-1.65184,-0.75195,0.0746771,6.6603,0.213697,0.166392,69000,66
-1.9447,-1.13978,-1.00245,-0.469265,-1.6059,-0.809989,0.0727091,6.83567,0.214824,0.166966,70000,68
-1.98843,-1.25549,-1.08123,-0.448075,-1.38699,-0.755765,0.0741154,6.76627,0.216094,0.163997,71000,69
-1.99717,-1.35629,-1.2009,-0.383563,-1.16875,-0.655698,0.0645679,6.8322,0.212766,0.164943,72000,70
-1.91989,-1.33623,-1.19232,-0.473291,-1.13948,-0.763418,0.0689236,6.70117,0.214294,0.163329,73000,71
-1.94756,-1.44298,-1.24546,-0.24085,-1.15349,-0.656421,0.0683635,6.57957,0.213387,0.167564,74000,72
-1.94074,-1.38466,-1.23086,-0.292386,-1.19282,-0.652323,0.0645532,6.61403,0.213873,0.166873,75000,74
-1.92269,-1.41554,-1.24434,-0.304819,-1.1996,-0.701503,0.0678309,6.67247,0.213857,0.163847,76000,75
-1.9409,-1.43673,-1.30755,-0.243147,-1.1029,-0.665232,0.0568969,6.7563,0.217344,0.164082,77000,76
-2.0723,-1.45356,-1.27417,-0.294836,-1.0696,-0.714597,0.0632636,6.8128,0.208479,0.164006,78000,76
-1.94675,-1.2535,-1.09496,-0.407458,-1.48082,-0.709256,0.0744009,6.71222,0.209431,0.164313,79000,77
-1.80816,-1.12556,-0.966232,-0.545796,-1.69131,-0.778494,0.0727559,6.7992,0.214476,0.1609,80000,78
-1.82353,-1.21466,-1.07097,-0.542423,-1.49297,-0.781961,0.0678357,6.72169,0.213646,0.1573,81000,79
-2.01329,-1.38517,-1.23897,-0.28077,-1.2596,-0.68049,0.0667389,6.62753,0.211384,0.159996,82000,80
-1.87645,-1.24113,-1.06946,-0.367955,-1.52369,-0.735358,0.0649397,6.7008,0.206894,0.163934,83000,81
-1.93302,-1.43256,-1.30592,-0.27341,-1.12301,-0.653324,0.0593323,6.63155,0.20978,0.1627,84000,82
-1.88512,-1.23587,-1.0837,-0.409541,-1.47006,-0.731515,0.0701613,6.70627,0.210706,0.163595,85000,84
-2.02546,-1.30981,-1.1662,-0.444837,-1.27058,-0.747772,0.0730654,6.61148,0.208502,0.162025,86000,85
-1.95171,-1.25777,-1.11611,-0.447786,-1.37709,-0.779924,0.0695716,6.56819,0.211976,0.16444,87000,86
-1.87579,-1.24568,-1.11099,-0.433076,-1.40886,-0.816213,0.0669281,6.54968,0.211515,0.162762,88000,87
-2.00095,-1.32018,-1.17267,-0.325126,-1.36189,-0.730019,0.0687516,6.70111,0.211652,0.161757,89000,89
-1.9355,-1.24048,-1.07938,-0.501564,-1.40799,-0.805457,0.0706295,6.69922,0.210425,0.163282,90000,90
-1.7868,-1.2088,-1.06106,-0.366218,-1.56437,-0.758896,0.0602795,6.54581,0.205231,0.162656,91000,91
-1.8374,-1.16917,-1.08626,-0.428117,-1.59681,-0.816433,0.0731847,6.58761,0.20748,0.162351,92000,92
-1.88162,-1.20877,-1.04669,-0.477252,-1.53513,-0.870504,0.0680054,6.60965,0.207753,0.162438,93000,93
-2.01916,-1.21861,-1.11293,-0.457193,-1.44371,-0.845321,0.0715278,6.54728,0.209518,0.161929,94000,94
-1.85973,-1.37799,-1.20417,-0.347795,-1.2603,-0.725212,0.0622733,6.59169,0.209386,0.162506,95000,95
-2.1203,-1.37284,-1.23326,-0.323856,-1.18725,-0.755199,0.0694595,6.63319,0.209004,0.163223,96000,96
-1.96753,-1.2119,-1.02621,-0.423642,-1.63672,-0.76683,0.0748263,6.74087,0.208465,0.163063,97000,97
-1.89439,-1.28304,-1.1371,-0.36331,-1.45066,-0.782692,0.0683607,6.63975,0.206839,0.161773,98000,98
-1.98138,-1.3344,-1.16998,-0.330116,-1.34715,-0.77627,0.0666394,6.83595,0.205169,0.161515,99000,99
-2.05543,-1.41143,-1.28005,-0.308497,-1.16435,-0.762046,0.0710453,6.64598,0.205601,0.159131,100000,101
-2.05462,-1.32436,-1.19612,-0.293033,-1.40767,-0.732959,0.0707104,6.74553,0.206817,0.161573,101000,102
-1.95282,-1.2665,-1.13057,-0.364325,-1.5311,-0.759395,0.0705233,6.64853,0.206393,0.160418,102000,102
-1.90683,-1.40299,-1.24887,-0.368394,-1.17074,-0.758896,0.0636816,6.57567,0.206043,0.160566,103000,104
-1.95936,-1.26134,-1.14893,-0.395012,-1.45972,-0.757478,0.068978,6.62898,0.207103,0.161805,104000,105
-1.93148,-1.27506,-1.11363,-0.315367,-1.59203,-0.792154,0.0714243,6.79104,0.207695,0.158207,105000,106
-2.13849,-1.58555,-1.42418,-0.250231,-0.759356,-0.761959,0.0612313,6.63596,0.2055,0.157611,106000,107
-2.03476,-1.5486,-1.38066,-0.160316,-0.998271,-0.711616,0.0564421,6.77125,0.206555,0.161457,107000,108
-2.18691,-1.59724,-1.47633,-0.198955,-0.750511,-0.709289,0.0643625,6.76919,0.206127,0.158918,108000,109
-2.14775,-1.54206,-1.35967,-0.156315,-1.00642,-0.73647,0.072134,6.75288,0.206194,0.160717,109000,111
-2.07626,-1.43343,-1.28192,-0.242963,-1.21504,-0.73808,0.0810817,6.65404,0.202352,0.158815,110000,111
-2.27738,-1.60262,-1.4593,-0.210588,-0.793672,-0.750519,0.0751761,6.61207,0.203332,0.157459,111000,112
-2.1898,-1.50838,-1.37748,-0.158359,-1.02408,-0.742561,0.0688059,6.64687,0.206537,0.15824,112000,113
-1.94777,-1.41581,-1.27734,-0.342113,-1.15618,-0.801575,0.0650431,6.69094,0.204609,0.161269,113000,114
-1.85446,-1.18279,-1.01959,-0.435249,-1.68008,-0.827669,0.0680287,6.71292,0.206415,0.15795,114000,115
-1.95337,-1.35192,-1.16743,-0.340235,-1.33222,-0.805564,0.0709491,6.62266,0.20566,0.158583,115000,117
-1.96342,-1.35225,-1.21171,-0.308668,-1.34881,-0.759141,0.0633431,6.57387,0.206634,0.159352,116000,118
-1.8423,-1.20903,-1.01982,-0.443138,-1.62193,-0.880322,0.0691562,6.68112,0.20482,0.158047,117000,119
-1.86727,-1.23343,-1.09161,-0.400557,-1.52351,-0.838757,0.0620674,6.65945,0.204729,0.157836,118000,120
-1.84684,-1.0933,-0.96387,-0.442718,-1.8872,-0.903031,0.0727852,6.6047,0.201967,0.155584,119000,121
-1.93619,-1.1761,-1.04719,-0.44768,-1.64465,-0.945482,0.0791268,6.76727,0.205975,0.15908,120000,121
-2.00964,-1.19134,-1.03997,-0.576609,-1.53287,-0.850014,0.0759651,6.66523,0.204675,0.159325,121000,124
-2.07869,-1.46928,-1.2874,-0.353238,-1.0755,-0.707679,0.0698407,6.61363,0.204268,0.155848,122000,127
-2.08681,-1.4237,-1.25538,-0.416133,-1.13671,-0.781584,0.0687553,6.7148,0.203558,0.156084,123000,131
-2.21153,-1.51518,-1.32961,-0.508286,-0.905325,-0.748137,0.0764393,6.72882,0.202889,0.153543,124000,134
-2.01296,-1.39378,-1.19429,-0.465264,-1.17542,-0.847249,0.0735874,6.59255,0.201077,0.15488,125000,136
-2.07104,-1.37559,-1.17533,-0.442156,-1.31367,-0.804807,0.0776095,6.65224,0.204707,0.155286,126000,138
-2.1026,-1.43852,-1.2852,-0.447501,-1.01099,-0.825634,0.0703986,6.69999,0.20157,0.155377,127000,141
-2.08928,-1.43366,-1.34535,-0.450692,-0.946111,-0.704468,0.0689272,6.65412,0.206614,0.156448,128000,144
-2.28,-1.58683,-1.4229,-0.400949,-0.755112,-0.745638,0.0717579,6.63712,0.201944,0.156555,129000,147
-2.12582,-1.52552,-1.37934,-0.41816,-0.830766,-0.737833,0.0658377,6.61041,0.206956,0.156177,130000,150
