BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-1.5693,-0.892183,-0.710362,-0.762751,-2.02303,-0.83996,0.0704668,6.57137,0.21784,0.166983,50000,45
-1.68822,-1.00345,-0.875845,-0.565041,-1.78577,-0.791029,0.0656199,6.7235,0.220199,0.169161,51000,46
-1.77092,-0.984572,-0.79904,-0.573886,-1.90756,-0.774738,0.0760874,6.57222,0.219831,0.171808,52000,47
-1.65061,-0.86486,-0.690559,-0.678034,-2.1298,-0.795651,0.0685819,6.71118,0.217076,0.170238,53000,47
-1.73521,-1.00147,-0.826214,-0.617949,-1.86377,-0.764685,0.0700285,6.64694,0.2167,0.166716,54000,48
-1.7434,-0.877097,-0.673358,-0.766966,-2.0367,-0.896551,0.0805386,6.75578,0.216197,0.16921,55000,49
-1.67121,-0.893859,-0.754835,-0.658572,-2.02527,-0.83738,0.075987,6.7646,0.216529,0.16875,56000,50
-1.64839,-0.938874,-0.750071,-0.677946,-2.01369,-0.798365,0.0736138,6.59457,0.216708,0.167095,57000,51
-1.64775,-0.896008,-0.769846,-0.705218,-1.96655,-0.791131,0.066927,6.68101,0.218225,0.169106,58000,52
-1.69844,-0.899733,-0.709307,-0.655779,-2.10099,-0.819808,0.0710339,6.62044,0.217955,0.17051,59000,53
-1.59438,-0.776844,-0.604832,-0.660328,-2.4446,-0.784624,0.0790556,6.61247,0.219679,0.166429,60000,54
-1.73459,-0.957513,-0.813454,-0.582216,-1.94188,-0.775181,0.0661606,6.72104,0.218071,0.167506,61000,55
-1.79291,-0.948431,-0.771415,-0.614032,-2.00537,-0.813805,0.0798894,6.6203,0.216126,0.169504,62000,56
-1.78764,-1.02044,-0.870879,-0.572297,-1.83673,-0.779457,0.072408,6.71189,0.219091,0.168143,63000,57
-1.65687,-0.798482,-0.667914,-0.701495,-2.25695,-0.819305,0.0752187,6.56524,0.214373,0.169753,64000,57
-1.72978,-1.04506,-0.895168,-0.497491,-1.84799,-0.750393,0.068026,6.6261,0.213771,0.166375,65000,58
-2.06639,-1.39482,-1.25928,-0.312937,-1.10187,-0.642951,0.0604213,6.69167,0.215734,0.168072,66000,59
-1.73214,-1.10077,-0.952768,-0.432693,-1.77324,-0.758041,0.0642896,6.56567,0.213633,0.164259,67000,61
-1.84761,-1.00944,-0.868511,-0.578495,-1.89555,-0.80896,0.0789542,6.74932,0.213491,0.166287,68000,62
-1.71836,-1.12329,-0.9551,-0.473112,-1.673,-0.765751,0.0588485,6.66499,0.21379,0.166024,69000,63
-1.91371,-1.15182,-1.01249,-0.455119,-1.57862,-0.723905,0.0720515,6.58094,0.215438,0.168286,70000,64
-1.93975,-1.21001,-1.04552,-0.476428,-1.46704,-0.725576,0.0713593,6.58778,0.215386,0.165465,71000,65
-2.02555,-1.1267,-0.936695,-0.538491,-1.65658,-0.766695,0.0819688,6.70995,0.214589,0.167017,72000,66
-1.87807,-1.17843,-0.996912,-0.506574,-1.60178,-0.751812,0.0659276,6.65952,0.216531,0.164562,73000,67
-1.77477,-0.962971,-0.818879,-0.572551,-2.01661,-0.769486,0.0706295,6.61818,0.215363,0.164076,74000,68
-1.83015,-1.08641,-0.92697,-0.55199,-1.75303,-0.757776,0.0779411,6.6694,0.216875,0.166592,75000,68
-1.83376,-1.08396,-0.899779,-0.535055,-1.77526,-0.764319,0.0722993,6.52158,0.214286,0.165195,76000,69
-1.85949,-1.1438,-0.981287,-0.467571,-1.63855,-0.813286,0.0688542,6.71395,0.213025,0.164278,77000,70
-1.7989,-1.17886,-1.01626,-0.525861,-1.55684,-0.737704,0.0691174,6.60808,0.213318,0.164017,78000,71
-1.90775,-1.18844,-1.07495,-0.419513,-1.54795,-0.769818,0.0732312,6.70453,0.211489,0.16328,79000,72
-1.73553,-1.12321,-0.96982,-0.496924,-1.67738,-0.824369,0.0646588,6.82339,0.213667,0.165777,80000,73
