BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.17946,-1.40915,-1.25558,-0.357178,-1.41438,-0.951958,0.0831865,6.64425,0.187377,0.143454,769000,1972
-2.18763,-1.58319,-1.40172,-0.232682,-1.10656,-0.927131,0.0708061,6.68047,0.187837,0.140657,770000,1976
-2.43032,-1.73496,-1.55723,-0.208238,-0.739614,-0.845801,0.0762067,6.65615,0.185793,0.141005,771000,1979
-2.5671,-1.94919,-1.78139,-0.00467068,-0.307709,-0.813122,0.0717133,6.69099,0.18522,0.142001,772000,1981
-2.48457,-1.76769,-1.5995,-0.198071,-0.715175,-0.846266,0.0807172,6.74172,0.184912,0.138841,773000,1984
-2.43822,-1.72855,-1.5249,-0.172025,-0.804201,-0.856653,0.0792571,6.67883,0.18656,0.142503,774000,1987
-2.41214,-1.65788,-1.4973,-0.231806,-0.867888,-0.918424,0.0803679,6.75083,0.187801,0.142425,775000,1989
-2.34389,-1.63339,-1.46643,-0.264401,-0.91044,-0.930919,0.0775203,6.67305,0.184719,0.141317,776000,1992
-2.3619,-1.65637,-1.45027,-0.262327,-0.892704,-0.93781,0.0764033,6.7262,0.187642,0.14326,777000,1994
-2.44768,-1.65277,-1.4793,-0.254137,-0.923932,-0.913807,0.0835848,6.6701,0.187517,0.140245,778000,1998
-2.26162,-1.56268,-1.39966,-0.198903,-1.19667,-0.899063,0.0721356,6.72448,0.184772,0.140559,779000,2000
-2.24293,-1.5286,-1.32976,-0.300123,-1.23949,-0.941513,0.0732877,6.62656,0.190354,0.140446,780000,2004
-2.2837,-1.51227,-1.32226,-0.337644,-1.27724,-0.963139,0.0841263,6.58854,0.185894,0.139618,781000,2006
-2.48571,-1.67628,-1.48694,-0.224279,-0.897965,-0.879042,0.0838031,6.62443,0.187818,0.140365,782000,2008
-2.50535,-1.73605,-1.61265,-0.133166,-0.768831,-0.833616,0.0854841,6.58237,0.186706,0.140291,783000,2011
-2.18171,-1.47577,-1.33175,-0.29278,-1.30055,-0.966868,0.0790803,6.60658,0.186886,0.140219,784000,2013
-2.27058,-1.43216,-1.29966,-0.400379,-1.33134,-0.945077,0.0824614,6.713,0.189664,0.14177,785000,2015
-2.26962,-1.46379,-1.28823,-0.393443,-1.28138,-0.968319,0.0813373,6.66168,0.185313,0.140828,786000,2018
-2.40732,-1.49725,-1.31698,-0.308251,-1.3352,-0.983026,0.0879548,6.62038,0.187454,0.141128,787000,2022
-2.39303,-1.48553,-1.37217,-0.38662,-1.14554,-0.947325,0.0870845,6.62433,0.188705,0.142522,788000,2025
-2.32586,-1.49218,-1.3395,-0.364413,-1.18366,-0.977728,0.0826787,6.76423,0.188605,0.139217,789000,2028
-2.17167,-1.32787,-1.16858,-0.402017,-1.60685,-1.04146,0.0806463,6.56313,0.188331,0.14116,790000,2031
-2.13882,-1.22279,-1.08361,-0.47884,-1.78631,-1.02106,0.0839505,6.70556,0.185001,0.140234,791000,2033
-2.25097,-1.26891,-1.12828,-0.500378,-1.69161,-1.02438,0.0887849,6.64468,0.186205,0.140265,792000,2035
-2.15023,-1.21633,-1.11594,-0.533417,-1.69955,-1.06977,0.0901337,6.52424,0.183786,0.141868,793000,2037
-2.04211,-1.39304,-1.20911,-0.322325,-1.57179,-0.960526,0.0682261,6.79984,0.187287,0.140142,794000,2040
-2.09405,-1.25318,-1.10021,-0.57508,-1.62782,-1.05745,0.0843724,6.68298,0.188549,0.140495,795000,2043
-1.99344,-1.18658,-1.00524,-0.584301,-1.84824,-1.07853,0.0857007,6.64595,0.188075,0.14062,796000,2047
-2.30322,-1.43287,-1.24637,-0.347967,-1.42281,-1.01823,0.0833099,6.69479,0.186893,0.140501,797000,2050
-2.27002,-1.43865,-1.25725,-0.356479,-1.39087,-0.961054,0.0796033,6.72115,0.189483,0.13939,798000,2052
-2.18315,-1.49708,-1.31456,-0.25087,-1.30622,-0.918656,0.074414,6.61889,0.187895,0.141782,799000,2055
-2.25024,-1.49351,-1.29301,-0.360068,-1.24307,-0.934715,0.0827082,6.69649,0.185894,0.140699,800000,2057
-2.50651,-1.68909,-1.54479,-0.205347,-0.75279,-0.86594,0.0769658,6.62244,0.188392,0.139913,801000,2060
-2.28328,-1.48882,-1.32967,-0.357169,-1.24323,-0.975996,0.0824945,6.5523,0.187842,0.1397,802000,2063
-2.45352,-1.52568,-1.35656,-0.326164,-1.20289,-1.00724,0.0883639,6.64101,0.188142,0.13999,803000,2067
-2.17739,-1.34308,-1.19006,-0.504138,-1.49781,-1.02528,0.0841114,6.71038,0.187142,0.138659,804000,2069
-2.15875,-1.37499,-1.23921,-0.381189,-1.5393,-0.927889,0.0852654,6.6764,0.187919,0.137928,805000,2071
-2.14703,-1.4116,-1.25421,-0.450264,-1.35379,-0.996117,0.0807833,6.55624,0.183659,0.139348,806000,2074
-2.20556,-1.31046,-1.15116,-0.454459,-1.59933,-1.00742,0.0918982,6.77552,0.185984,0.141041,807000,2078
-2.13778,-1.32078,-1.12018,-0.396779,-1.6677,-1.03537,0.0789253,6.65484,0.185897,0.140826,808000,2080
-2.15615,-1.32426,-1.14367,-0.448596,-1.52794,-1.01206,0.0816221,6.65267,0.186719,0.142897,809000,2084
-2.27823,-1.37285,-1.22468,-0.421534,-1.4685,-0.966554,0.0903719,6.72933,0.18572,0.142614,810000,2087
-2.24176,-1.56375,-1.44094,-0.335164,-1.02792,-0.909592,0.0751994,6.6514,0.18581,0.140543,811000,2090
-2.28174,-1.54053,-1.38543,-0.367635,-1.07814,-0.978127,0.078503,6.62946,0.184286,0.140433,812000,2093
-2.30321,-1.4112,-1.30394,-0.356542,-1.39364,-0.919529,0.0856568,6.66775,0.186264,0.138772,813000,2096
-2.37798,-1.5711,-1.42147,-0.247536,-1.14217,-0.994801,0.0865945,6.62252,0.184286,0.141485,814000,2099
-2.27209,-1.41897,-1.22479,-0.426037,-1.41075,-0.968278,0.089994,6.69606,0.188355,0.138861,815000,2102
-2.1229,-1.41399,-1.22779,-0.372423,-1.46056,-0.973429,0.0841005,6.60379,0.18696,0.13866,816000,2104
-2.14065,-1.33908,-1.17965,-0.366152,-1.64088,-0.96545,0.0821282,6.66471,0.185909,0.139861,817000,2108
-2.15661,-1.35995,-1.16205,-0.470909,-1.49144,-0.969725,0.0819249,6.71719,0.188233,0.142637,818000,2110
-2.03715,-1.28903,-1.15175,-0.439685,-1.64553,-1.04418,0.0776117,6.71725,0.188023,0.141118,819000,2112
-2.11962,-1.19768,-1.00017,-0.48513,-1.98508,-1.03564,0.0880769,6.61408,0.187392,0.139132,820000,2135
-2.03842,-1.22701,-1.07648,-0.505536,-1.78373,-1.0385,0.0821539,6.56635,0.185941,0.140084,821000,2137
-2.02901,-1.14408,-0.933705,-0.53859,-2.09906,-1.07623,0.0871643,6.80413,0.188606,0.139575,822000,2140
-1.94701,-1.1031,-0.940199,-0.695202,-1.97992,-1.14693,0.0851835,6.81762,0.184597,0.140891,823000,2143
-2.00267,-1.04734,-0.893508,-0.509991,-2.17013,-1.06315,0.0853864,6.60166,0.185156,0.140478,824000,2146
-1.9151,-1.01585,-0.865441,-0.678916,-2.16263,-1.17801,0.0893645,6.6215,0.184177,0.141158,825000,2149
-1.93109,-1.01411,-0.831519,-0.69636,-2.17644,-1.13545,0.087766,6.70205,0.18551,0.142585,826000,2151
-1.8524,-0.888581,-0.71499,-0.707641,-2.45881,-1.20449,0.0874961,6.66442,0.186323,0.138921,827000,2154
-1.85344,-0.964983,-0.818308,-0.680764,-2.27505,-1.09895,0.0884766,6.66069,0.187518,0.141857,828000,2157
-1.87128,-0.971642,-0.802837,-0.674653,-2.27032,-1.17645,0.0912732,6.79925,0.187927,0.141046,829000,2160
-2.02955,-1.00342,-0.87779,-0.660072,-2.17603,-1.14283,0.0930388,6.70308,0.188716,0.141023,830000,2162
-2.10072,-1.2648,-1.09293,-0.424481,-1.74008,-1.07006,0.0803595,6.66179,0.18606,0.141749,831000,2165
-2.11568,-1.29529,-1.16296,-0.438645,-1.58596,-1.00684,0.0769261,6.57844,0.185691,0.139727,832000,2167
-2.22339,-1.39752,-1.22533,-0.358996,-1.48567,-0.994904,0.0845032,6.77974,0.187951,0.140613,833000,2170
-2.2676,-1.26832,-1.12359,-0.463127,-1.76024,-1.05788,0.0926966,6.6281,0.186042,0.138923,834000,2173
-2.05931,-1.08733,-0.932865,-0.610727,-2.05876,-1.08452,0.087894,6.67565,0.185564,0.140058,835000,2176
-2.26795,-1.37399,-1.2305,-0.293373,-1.61405,-0.958552,0.080734,6.70909,0.189188,0.138957,836000,2178
-2.33229,-1.35937,-1.22034,-0.343491,-1.57748,-1.02256,0.0821489,6.62889,0.185841,0.140297,837000,2182
-2.01541,-1.27842,-1.12791,-0.365503,-1.79178,-0.91849,0.0795552,6.62038,0.186371,0.139909,838000,2185
-2.12386,-1.23547,-1.09311,-0.501916,-1.78736,-1.09009,0.0917576,6.63618,0.187031,0.139726,839000,2188
-2.22754,-1.35609,-1.18285,-0.379623,-1.61862,-1.03579,0.0865859,6.57783,0.186248,0.138396,840000,2190
-2.06446,-1.09486,-0.931043,-0.55678,-2.06148,-1.10339,0.0819313,6.64578,0.186848,0.138184,841000,2192
-2.08635,-1.11265,-0.959079,-0.649165,-1.97466,-1.09903,0.0896566,6.64621,0.187866,0.138132,842000,2195
-2.26851,-1.49285,-1.32726,-0.349128,-1.28738,-0.913904,0.079911,6.68742,0.182276,0.139392,843000,2197
-2.20432,-1.36621,-1.22672,-0.397021,-1.47031,-1.0492,0.0870867,6.5597,0.188345,0.141797,844000,2199
-2.18099,-1.40922,-1.21867,-0.336112,-1.49602,-1.00271,0.0808403,6.64152,0.183575,0.139004,845000,2201
-2.14381,-1.42858,-1.23161,-0.348043,-1.47955,-1.01392,0.0743557,6.69788,0.186408,0.13791,846000,2203
-2.25862,-1.53538,-1.36639,-0.290664,-1.13555,-1.00679,0.0817184,6.63767,0.185071,0.141312,847000,2205
-2.22964,-1.42897,-1.24731,-0.405776,-1.29767,-1.05346,0.081781,6.67658,0.187119,0.140157,848000,2208
-2.27603,-1.39014,-1.25785,-0.408846,-1.41151,-1.01481,0.0883427,6.65814,0.184548,0.144113,849000,2210
-2.24396,-1.3846,-1.28698,-0.373171,-1.45771,-0.989128,0.0847327,6.71662,0.185673,0.14286,850000,2212
-2.18849,-1.44261,-1.26147,-0.322101,-1.4882,-0.98617,0.0830582,6.71931,0.185506,0.140337,851000,2215
-2.13838,-1.3746,-1.21037,-0.292292,-1.60124,-0.948385,0.0821168,6.57386,0.185549,0.139409,852000,2217
-2.32131,-1.48811,-1.31886,-0.422562,-1.24558,-1.0077,0.0901388,6.70539,0.186455,0.13834,853000,2219
-2.35586,-1.56356,-1.40128,-0.221628,-1.20135,-0.96686,0.0889573,6.63739,0.189336,0.141496,854000,2222
-2.12902,-1.3331,-1.13663,-0.385465,-1.62857,-1.07474,0.0818894,6.59575,0.186567,0.14036,855000,2225
-1.93598,-1.21612,-1.03939,-0.416236,-1.94395,-1.07316,0.0752896,6.70404,0.185215,0.138279,856000,2228
-1.94777,-1.0451,-0.926137,-0.471123,-2.29952,-1.06924,0.0898502,6.71493,0.190335,0.138052,857000,2231
-2.02324,-1.05376,-0.889038,-0.582132,-2.12139,-1.1491,0.0856029,6.70686,0.184798,0.142642,858000,2235
-2.11086,-1.02544,-0.857835,-0.559626,-2.29285,-1.16307,0.0904791,6.74289,0.186746,0.139502,859000,2238
-1.97736,-1.02842,-0.872306,-0.613971,-2.22939,-1.20015,0.0944395,6.78998,0.186744,0.1387,860000,2240
-1.80815,-0.984174,-0.790462,-0.679757,-2.29285,-1.19659,0.0847775,6.67368,0.185777,0.140627,861000,2242
-1.99148,-1.20728,-1.05782,-0.435363,-1.8518,-1.10765,0.077054,6.65207,0.185899,0.14027,862000,2245
-2.18911,-1.20009,-1.03693,-0.547763,-1.78339,-1.14432,0.0920677,6.55746,0.187314,0.140071,863000,2247
-2.0662,-1.1392,-0.967151,-0.510019,-2.03849,-1.14109,0.090536,6.75138,0.185154,0.140739,864000,2249
-1.90821,-1.04093,-0.878775,-0.503378,-2.31297,-1.10157,0.0842097,6.62759,0.187267,0.139709,865000,2251
-2.06315,-1.28427,-1.08859,-0.468108,-1.75655,-1.04902,0.0826543,6.56653,0.185906,0.13847,866000,2254
-2.13824,-1.33069,-1.17689,-0.401736,-1.59341,-1.04848,0.0812313,6.71188,0.185102,0.143589,867000,2256
-2.13107,-1.22238,-1.02816,-0.513812,-1.74685,-1.08427,0.0857503,6.63869,0.185313,0.141731,868000,2258
-1.84845,-1.0119,-0.856899,-0.623179,-2.2245,-1.16521,0.0817362,6.56663,0.18398,0.139242,869000,2261
-1.95385,-1.05964,-0.91806,-0.588283,-2.12321,-1.17974,0.0871439,6.57367,0.184369,0.139166,870000,2263
-2.17139,-1.0834,-0.910613,-0.601194,-2.07562,-1.16053,0.0916316,6.62384,0.18465,0.137696,871000,2266
-1.95816,-1.16512,-1.00457,-0.486921,-1.96153,-1.07662,0.0779148,6.59977,0.183446,0.140523,872000,2270
-2.05759,-1.04003,-0.919587,-0.550536,-2.17257,-1.14972,0.0954567,6.6424,0.186744,0.140704,873000,2273
-1.82692,-0.949849,-0.749201,-0.555503,-2.45652,-1.1581,0.0824202,6.68903,0.184273,0.139709,874000,2276
-1.92985,-1.14556,-0.945845,-0.454148,-2.10379,-1.04373,0.0830902,6.70004,0.18789,0.139771,875000,2279
-2.08358,-1.17265,-0.972204,-0.590549,-1.88079,-1.08557,0.0852467,6.7204,0.187864,0.138729,876000,2283
-2.2959,-1.46751,-1.29727,-0.318267,-1.38118,-0.971448,0.0837564,6.78115,0.18631,0.140481,877000,2286
-2.21516,-1.31803,-1.15015,-0.4435,-1.65435,-1.09021,0.0886786,6.71403,0.18701,0.137926,878000,2289
-2.2823,-1.46834,-1.28081,-0.339513,-1.40587,-1.07497,0.0884051,6.7844,0.183566,0.139983,879000,2293
-2.15879,-1.28716,-1.15752,-0.461663,-1.62265,-1.00658,0.0845428,6.6228,0.186931,0.138807,880000,2296
-2.27667,-1.11361,-0.953151,-0.49495,-2.06094,-1.09885,0.094624,6.77839,0.183947,0.138964,881000,2299
-2.07705,-1.10961,-0.941589,-0.585117,-2.02669,-1.14277,0.0887721,6.60403,0.18407,0.140406,882000,2302
-1.9968,-1.16768,-0.996457,-0.505021,-1.95492,-1.04348,0.0839868,6.60342,0.184758,0.141166,883000,2305
-1.98389,-1.10874,-0.979173,-0.535416,-2.00431,-1.11951,0.0843234,6.68186,0.186876,0.142655,884000,2308
-2.11682,-1.16361,-0.987705,-0.555169,-1.85637,-1.12647,0.0911601,6.666,0.185182,0.141838,885000,2310
-2.08635,-1.15265,-1.02306,-0.543051,-1.87816,-1.10634,0.0833915,6.6941,0.18624,0.141049,886000,2312
-2.02249,-1.08651,-0.905631,-0.590673,-2.03122,-1.12611,0.0835079,6.66679,0.18455,0.140798,887000,2314
-2.01673,-1.21951,-1.07209,-0.47792,-1.8081,-1.11918,0.0823151,6.66689,0.184072,0.141037,888000,2317
-2.00398,-1.27003,-1.0876,-0.472906,-1.71568,-1.02554,0.0808819,6.72392,0.184357,0.140542,889000,2319
-1.98962,-1.11333,-0.96329,-0.552417,-2.04202,-1.13212,0.094481,6.63686,0.184129,0.141069,890000,2321
-1.84868,-1.14935,-0.944993,-0.543247,-2.02747,-1.10753,0.0812146,6.76927,0.183309,0.139356,891000,2323
-1.99149,-1.19818,-1.02529,-0.533222,-1.86888,-1.05402,0.0875047,6.73563,0.184765,0.141369,892000,2326
-2.07914,-1.15718,-0.980398,-0.509275,-2.0066,-1.05434,0.0851437,6.65998,0.186489,0.140535,893000,2329
-2.25296,-1.37342,-1.19493,-0.39051,-1.58599,-1.00124,0.0913968,6.63285,0.185857,0.139796,894000,2331
-2.19369,-1.353,-1.1759,-0.398373,-1.51405,-1.00055,0.0788553,6.64433,0.184644,0.139754,895000,2334
-2.13316,-1.23917,-1.0528,-0.459987,-1.80388,-1.11302,0.0838738,6.72827,0.184688,0.141318,896000,2338
-1.82622,-0.849881,-0.737773,-0.795274,-2.49507,-1.14322,0.0931138,6.71714,0.182393,0.140912,897000,2341
-1.8996,-0.844991,-0.695771,-0.78689,-2.55524,-1.2222,0.0984129,6.58938,0.185982,0.139664,898000,2344
-1.94079,-0.965781,-0.833204,-0.681042,-2.26501,-1.20004,0.0895517,6.68009,0.184449,0.140185,899000,2347
-1.98721,-1.03524,-0.884234,-0.698136,-2.08732,-1.18908,0.0909296,6.68056,0.18425,0.138838,900000,2351
-1.77469,-0.934331,-0.752873,-0.556619,-2.55402,-1.09986,0.0881848,6.67434,0.183849,0.141388,901000,2353
-1.96598,-1.06747,-0.894684,-0.514448,-2.2805,-1.06566,0.0882811,6.71556,0.185981,0.138924,902000,2355
-2.03288,-1.20914,-1.0514,-0.430435,-1.88723,-1.13472,0.0806581,6.61601,0.18558,0.14153,903000,2358
-2.16735,-1.37586,-1.24856,-0.390683,-1.50524,-1.02051,0.0828566,6.65549,0.182582,0.139781,904000,2362
-2.0184,-1.26479,-1.11603,-0.464152,-1.75857,-1.03774,0.083283,6.64838,0.184396,0.142571,905000,2365
-1.96559,-1.04142,-0.863334,-0.601919,-2.22605,-1.12859,0.0924233,6.7177,0.185285,0.141723,906000,2367
-1.88204,-1.03934,-0.868507,-0.627167,-2.21676,-1.13606,0.0886601,6.71848,0.184873,0.140494,907000,2370
-2.11106,-1.22547,-1.07843,-0.45646,-1.81798,-1.11056,0.0853016,6.69789,0.184463,0.139079,908000,2372
-2.01748,-1.18987,-0.973568,-0.423157,-2.03975,-1.05393,0.0788558,6.5367,0.187035,0.138885,909000,2375
-2.10561,-1.12778,-0.978785,-0.513856,-1.99447,-1.08575,0.0912391,6.62958,0.182284,0.140312,910000,2377
-2.04093,-1.11434,-0.960075,-0.580324,-1.97929,-1.13233,0.0891135,6.74309,0.182561,0.141298,911000,2380
-1.93679,-1.0334,-0.883624,-0.567388,-2.21324,-1.17341,0.0897722,6.57506,0.182547,0.141035,912000,2383
-2.12455,-1.2074,-1.05219,-0.546753,-1.7328,-1.11488,0.081848,6.73086,0.185916,0.140626,913000,2386
-1.9556,-1.1415,-0.972641,-0.515739,-2.02639,-1.03574,0.0794613,6.59974,0.182775,0.139873,914000,2389
-2.34106,-1.46833,-1.33882,-0.374597,-1.24422,-0.969641,0.0852223,6.74803,0.183446,0.139375,915000,2392
-2.2531,-1.51197,-1.3872,-0.370738,-1.17386,-0.963214,0.0780462,6.75973,0.184717,0.139563,916000,2394
-2.3912,-1.56787,-1.43122,-0.289934,-1.10847,-0.951543,0.081828,6.63963,0.185601,0.139625,917000,2396
-2.24739,-1.45216,-1.2995,-0.202088,-1.49344,-0.939325,0.0832365,6.62639,0.184839,0.142474,918000,2398
-2.19456,-1.30308,-1.1059,-0.44469,-1.70801,-1.03702,0.088188,6.57143,0.184098,0.139878,919000,2402
-2.18973,-1.2041,-1.07655,-0.502403,-1.7663,-1.08648,0.0844808,6.72374,0.181874,0.142449,920000,2416
-2.11977,-1.3292,-1.15001,-0.406539,-1.63539,-1.04258,0.0795271,6.75107,0.186203,0.13992,921000,2419
-2.1772,-1.38046,-1.21095,-0.394079,-1.49058,-1.01427,0.084482,6.64884,0.186224,0.136947,922000,2422
-2.20964,-1.37229,-1.20527,-0.413859,-1.60082,-1.03241,0.0852537,6.61472,0.182484,0.13785,923000,2425
-2.22019,-1.20544,-1.06464,-0.433758,-1.85204,-1.04922,0.0884756,6.71866,0.185493,0.138372,924000,2427
-2.09209,-1.15005,-0.973079,-0.460786,-2.05131,-1.09844,0.0924735,6.60243,0.186886,0.140698,925000,2429
-2.18469,-1.29288,-1.13238,-0.432462,-1.65446,-1.07357,0.0869137,6.63433,0.187084,0.141765,926000,2432
-2.20855,-1.35799,-1.16423,-0.399975,-1.56017,-1.06796,0.0846218,6.67586,0.186599,0.141945,927000,2434
-2.23497,-1.28489,-1.12006,-0.512261,-1.6656,-1.06882,0.0885765,6.63618,0.190434,0.139772,928000,2437
-2.25434,-1.41009,-1.21143,-0.332673,-1.53568,-1.00134,0.0839438,6.60307,0.186402,0.140996,929000,2439
-2.31842,-1.43436,-1.28427,-0.309127,-1.46919,-1.02206,0.0936837,6.69297,0.1847,0.140108,930000,2442
-2.29623,-1.47911,-1.29674,-0.244232,-1.36055,-0.983472,0.0833313,6.63377,0.184665,0.141922,931000,2445
-2.377,-1.4833,-1.3202,-0.331147,-1.34076,-0.977093,0.0864352,6.79934,0.185966,0.139388,932000,2447
-2.08776,-1.20412,-1.00999,-0.496977,-1.90672,-0.990176,0.0850005,6.63961,0.187915,0.14213,933000,2450
-2.25207,-1.43277,-1.27641,-0.316082,-1.46935,-1.01026,0.0847499,6.72276,0.185238,0.13903,934000,2453
-2.3409,-1.54318,-1.35186,-0.341824,-1.16778,-0.956856,0.0836801,6.74338,0.188236,0.138532,935000,2457
-2.46532,-1.52907,-1.3721,-0.37931,-1.16404,-0.927693,0.0893123,6.66546,0.187109,0.140564,936000,2460
-2.1515,-1.54768,-1.39232,-0.259002,-1.1645,-0.953469,0.0793448,6.60564,0.184574,0.141252,937000,2463
-2.16923,-1.39045,-1.18545,-0.317385,-1.63713,-0.993538,0.0860312,6.51032,0.185206,0.142571,938000,2465
-2.31329,-1.37436,-1.20763,-0.405057,-1.54038,-1.02603,0.0830231,6.75774,0.187684,0.139354,939000,2468
-2.15012,-1.19775,-1.01569,-0.524415,-1.9402,-1.09286,0.0879235,6.69934,0.186414,0.137814,940000,2471
-1.96598,-1.01956,-0.86211,-0.61787,-2.22328,-1.14382,0.0872574,6.63397,0.186736,0.137782,941000,2474
-2.11009,-1.15618,-0.967556,-0.45665,-2.06336,-1.11565,0.0860521,6.85212,0.188949,0.139762,942000,2477
-2.00998,-1.08255,-0.917514,-0.559637,-2.13594,-1.08985,0.0865334,6.6729,0.183023,0.139308,943000,2481
-2.0803,-1.10057,-0.908956,-0.546394,-2.14163,-1.11004,0.0911431,6.72167,0.188681,0.139245,944000,2483
-2.00102,-1.17176,-1.01663,-0.543415,-1.90203,-1.10425,0.0785837,6.577,0.184032,0.136625,945000,2485
-2.19516,-1.29082,-1.13591,-0.457654,-1.67084,-1.02407,0.0861442,6.60296,0.183235,0.140604,946000,2487
-2.09891,-1.30006,-1.08805,-0.413963,-1.73625,-1.03821,0.0811725,6.59756,0.185905,0.140802,947000,2489
-2.05648,-1.12977,-0.947454,-0.623126,-1.97121,-1.13148,0.0889958,6.7074,0.185501,0.138816,948000,2491
-2.00825,-1.12631,-0.961881,-0.540572,-2.05271,-1.12223,0.0922521,6.55947,0.187001,0.139853,949000,2494
-1.99855,-1.11618,-0.945387,-0.653005,-1.88367,-1.14009,0.0877458,6.57826,0.185853,0.140746,950000,2496
-2.15138,-1.07165,-0.907436,-0.732474,-1.9052,-1.20789,0.0903569,6.59121,0.188298,0.137802,951000,2499
-2.02703,-1.13499,-0.94581,-0.646735,-1.9456,-1.07478,0.0832788,6.64163,0.188245,0.140823,952000,2502
-2.13778,-1.18041,-0.995013,-0.532264,-1.91922,-1.07743,0.0912274,6.674,0.186525,0.139125,953000,2505
-2.20968,-1.36244,-1.20188,-0.443724,-1.4727,-1.08003,0.0838737,6.63256,0.185283,0.14072,954000,2509
-2.39024,-1.39458,-1.20348,-0.428505,-1.46571,-1.0454,0.0857809,6.78892,0.185793,0.139115,955000,2512
-2.10747,-1.32055,-1.13893,-0.41375,-1.69204,-1.02968,0.0815476,6.63514,0.185545,0.139336,956000,2515
-2.19103,-1.18876,-1.05145,-0.485036,-1.86072,-1.14313,0.0912311,6.64908,0.185077,0.139551,957000,2518
-2.18364,-1.35753,-1.20578,-0.439379,-1.52466,-1.02168,0.0868061,6.76157,0.187025,0.139345,958000,2520
-1.97137,-1.13685,-0.957967,-0.555585,-1.96723,-1.11936,0.0903144,6.67595,0.18629,0.142356,959000,2524
-2.14134,-1.42769,-1.2825,-0.328931,-1.45802,-0.942837,0.0828733,6.65885,0.185136,0.14113,960000,2527
-2.05581,-1.15281,-0.981126,-0.59112,-1.94675,-1.12896,0.0907066,6.75699,0.183204,0.140388,961000,2530
-2.21955,-1.28134,-1.12297,-0.45698,-1.65131,-1.12559,0.0897418,6.63169,0.186442,0.139124,962000,2533
-2.13332,-1.14351,-0.954173,-0.57247,-1.91915,-1.16804,0.0891867,6.67992,0.186085,0.139966,963000,2536
-1.9284,-1.24497,-1.07129,-0.469149,-1.81136,-1.05761,0.0822792,6.74905,0.188313,0.139216,964000,2539
-2.22937,-1.36116,-1.13875,-0.441406,-1.61913,-1.02881,0.0913513,6.71918,0.184559,0.141141,965000,2542
-2.29284,-1.27589,-1.11926,-0.466296,-1.6822,-1.16853,0.0923655,6.59176,0.183283,0.140198,966000,2545
-2.14265,-1.3269,-1.17836,-0.391471,-1.58439,-1.00759,0.0776382,6.60593,0.185926,0.140056,967000,2549
-2.1606,-1.29035,-1.11009,-0.423421,-1.74166,-1.08176,0.0872495,6.65466,0.18728,0.138875,968000,2552
-1.92722,-1.05057,-0.892457,-0.541255,-2.1795,-1.15223,0.0827401,6.65338,0.186135,0.140552,969000,2554
-1.84936,-0.936265,-0.790814,-0.657917,-2.41496,-1.14235,0.0878345,6.6389,0.18767,0.138337,970000,2557
-1.98021,-0.957181,-0.795076,-0.710766,-2.19618,-1.16447,0.0841606,6.72757,0.188341,0.139586,971000,2559
-2.02789,-1.08395,-0.870189,-0.608358,-2.09916,-1.18413,0.087536,6.69196,0.186188,0.139932,972000,2562
-1.93681,-1.04179,-0.845089,-0.587801,-2.15412,-1.1254,0.0786673,6.5995,0.184736,0.142763,973000,2564
-2.07705,-1.17246,-0.985046,-0.467705,-1.9672,-1.10456,0.0860906,6.69523,0.188102,0.141943,974000,2567
-2.03507,-1.01963,-0.854279,-0.604899,-2.25563,-1.11177,0.0884232,6.656,0.182502,0.140325,975000,2569
-2.08666,-0.899373,-0.765574,-0.718412,-2.41783,-1.18183,0.0972212,6.68388,0.184841,0.140707,976000,2572
-1.82915,-1.02677,-0.882883,-0.612108,-2.21591,-1.13103,0.0796084,6.55289,0.187322,0.137064,977000,2575
-2.21466,-1.26876,-1.07856,-0.499745,-1.76881,-1.02209,0.0956784,6.69013,0.184435,0.138356,978000,2578
-2.25908,-1.39443,-1.20666,-0.440454,-1.40203,-1.05162,0.0848281,6.59498,0.187076,0.140046,979000,2581
-2.18235,-1.16277,-1.01384,-0.502494,-1.98798,-1.11151,0.0927976,6.66672,0.188912,0.138974,980000,2584
-1.9665,-1.06506,-0.899042,-0.576322,-2.14638,-1.13644,0.0888028,6.74483,0.185023,0.138812,981000,2587
-2.0975,-1.26014,-1.06911,-0.504197,-1.76371,-1.03334,0.0829681,6.68359,0.187855,0.139449,982000,2590
-2.14962,-1.28899,-1.11144,-0.450251,-1.76269,-1.04639,0.087725,6.61625,0.187173,0.139038,983000,2594
-2.10663,-1.31057,-1.16238,-0.490425,-1.59401,-1.08045,0.0838603,6.78731,0.186941,0.138307,984000,2597
-2.1705,-1.41652,-1.25818,-0.332657,-1.48277,-1.0277,0.0884056,6.67278,0.18788,0.140268,985000,2599
-2.13445,-1.22044,-1.07591,-0.479077,-1.82412,-1.08845,0.0928263,6.62546,0.184803,0.141608,986000,2603
-2.22044,-1.3729,-1.22707,-0.356897,-1.52183,-1.02699,0.0816186,6.61275,0.186642,0.139769,987000,2606
-2.27254,-1.46044,-1.28351,-0.34121,-1.34473,-1.02114,0.0808481,6.5606,0.187607,0.140204,988000,2609
-2.22962,-1.43398,-1.25658,-0.393731,-1.37141,-1.05291,0.0782033,6.66015,0.18577,0.137917,989000,2613
