BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-6.07173,-3.99768,-6.56178,0.00729022,0.0126989,0.0892395,6.61595,0.204843,0.143185,0,0
-5.55633,-2.05426,-5.87308,0.100466,0.0905938,0.432838,6.66344,0.231765,0.183724,100,0
-5.7783,-2.38466,-2.54695,0.0498571,0.19459,0.406161,6.61585,0.261811,0.184185,200,0
-3.53871,-2.32699,-2.24366,0.0471339,0.0485498,0.243114,6.52238,0.257004,0.178836,300,0
-3.48732,-2.303,-2.27077,0.0531194,0.0259994,0.215331,6.31655,0.245218,0.175412,400,0
-3.24875,-2.30294,-2.29761,0.0421206,0.0164579,0.230144,6.49441,0.245399,0.176435,500,0
-3.24057,-2.32999,-2.28807,0.0475613,0.0144952,0.222714,6.37626,0.242298,0.178355,600,0
-3.17067,-2.31932,-2.31653,0.0465083,0.0145045,0.208664,6.37596,0.236291,0.178567,700,0
-3.0221,-2.35326,-2.30114,0.0508685,0.00697217,0.225184,6.39048,0.233859,0.176008,800,1
-3.09548,-2.35731,-2.35018,0.0514936,0.0197658,0.217802,6.42693,0.22997,0.181529,900,1
-3.0478,-2.37043,-2.38099,0.05054,0.0215032,0.210781,6.45342,0.231441,0.176555,1000,1
-3.08559,-2.31201,-2.3897,0.0539906,0.0125565,0.184241,6.46449,0.231834,0.174723,1100,1
-2.99323,-2.36216,-2.3761,0.0539315,0.00638869,0.19596,6.44501,0.227661,0.173701,1200,1
-2.97012,-2.38239,-2.38198,0.061324,0.00728272,0.187927,6.42746,0.227684,0.172436,1300,1
-3.00321,-2.39935,-2.39588,0.0625159,0.000519232,0.187174,6.57323,0.227899,0.169309,1400,1
-3.04105,-2.4105,-2.41917,0.0637184,0.00597766,0.203964,6.50644,0.227084,0.168392,1500,1
-3.03033,-2.41123,-2.41258,0.0607708,0.0102055,0.190357,6.63592,0.22653,0.169118,1600,1
-2.972,-2.411,-2.43205,0.0593274,0.00468614,0.179956,6.68051,0.229204,0.168111,1700,1
-2.99308,-2.42246,-2.44289,0.0639899,0.00445229,0.180664,6.62555,0.223634,0.165939,1800,1
-2.91903,-2.41277,-2.40897,0.0577442,0.00411879,0.171772,6.51504,0.224024,0.162832,1900,1
-2.96152,-2.42873,-2.42136,0.0549594,0.00131832,0.200225,6.54548,0.223117,0.163321,2000,1
-2.8628,-2.42098,-2.43809,0.0572469,0.00388978,0.184248,6.51315,0.226686,0.163272,2100,1
-2.83736,-2.44059,-2.43203,0.0484236,0.0136019,0.197108,6.60194,0.223707,0.160823,2200,1
-2.92435,-2.40909,-2.4817,0.0573325,0.00229639,0.176612,6.56003,0.221211,0.161572,2300,1
-2.78475,-2.45449,-2.48571,0.049874,0.000806088,0.182046,6.54106,0.218478,0.155834,2400,2
-2.82272,-2.45435,-2.4494,0.0506601,0.000890122,0.177682,6.47739,0.220318,0.157955,2500,2
-2.85366,-2.44911,-2.46284,0.0508231,0.0017307,0.15782,6.68865,0.22341,0.155591,2600,2
-2.8958,-2.47573,-2.4704,0.052001,0.00118547,0.168012,6.54091,0.223034,0.152121,2700,2
