BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.87293,-2.44261,-2.45821,0.0423,0.00537274,0.162498,6.70484,0.22153,0.152913,2800,2
-2.88204,-2.49593,-2.4857,0.051815,0.00235116,0.181165,6.68925,0.218783,0.15314,2900,2
-2.88582,-2.46656,-2.46195,0.0579761,0.00621275,0.157888,6.67828,0.218993,0.153266,3000,2
-2.74647,-2.48554,-2.52135,0.0460155,0.00128847,0.193605,6.66217,0.216371,0.152455,3100,2
-2.86057,-2.48158,-2.49705,0.0541278,0.000955091,0.177419,6.72075,0.22252,0.15397,3200,2
-2.81279,-2.507,-2.50454,0.0556056,0.000271906,0.197303,6.61542,0.224039,0.151215,3300,2
-2.81693,-2.46396,-2.49905,0.0497962,0.00107124,0.179959,6.71197,0.222408,0.149021,3400,2
-2.76995,-2.47745,-2.52699,0.0466191,0.00208445,0.171869,6.69663,0.220959,0.148704,3500,2
-2.81922,-2.49187,-2.53557,0.0553315,0.00428746,0.195065,6.69584,0.222703,0.150323,3600,2
-2.7126,-2.45824,-2.52588,0.0459983,0.00314164,0.178799,6.63608,0.220852,0.149429,3700,2
-2.81831,-2.46377,-2.53766,0.0494555,0.00139328,0.184869,6.66166,0.218597,0.14895,3800,2
-2.7485,-2.45075,-2.57899,0.0457145,0.000924546,0.185159,6.72204,0.219927,0.150183,3900,2
-2.79583,-2.47946,-2.60397,0.0451773,0.00442948,0.204346,6.68918,0.218141,0.148669,4000,2
-2.76398,-2.47781,-2.54837,0.0497078,0.0020133,0.183532,6.56387,0.219471,0.149827,4100,2
-2.77601,-2.48685,-2.4977,0.0494434,0.000276605,0.186848,6.74808,0.219632,0.150363,4200,3
-2.77286,-2.49791,-2.52022,0.0517357,0.000585622,0.184217,6.73953,0.218481,0.147751,4300,3
-2.76499,-2.49026,-2.55384,0.0438369,0.000139529,0.18851,6.54106,0.218178,0.148989,4400,3
-2.7833,-2.51219,-2.5611,0.0470948,0.00404315,0.202773,6.66081,0.217455,0.149456,4500,3
-2.79473,-2.49315,-2.56449,0.0468802,0.00066687,0.198563,6.58902,0.214692,0.147798,4600,3
-2.77237,-2.48852,-2.58449,0.0448218,0.000866327,0.209336,6.72324,0.217518,0.147437,4700,3
-2.83483,-2.51134,-2.54662,0.0466166,0.00104868,0.186971,6.71257,0.218324,0.144658,4800,3
-2.79503,-2.51995,-2.51078,0.0503976,0.000330811,0.167481,6.6536,0.217776,0.146554,4900,3
-2.85468,-2.51463,-2.55837,0.0455257,0.00449021,0.181261,6.57188,0.217656,0.14485,5000,3
-2.81013,-2.54972,-2.5479,0.0522545,0.00248407,0.188337,6.68987,0.217765,0.145669,5100,3
-2.81177,-2.5218,-2.54465,0.0454419,0.00209771,0.194007,6.72257,0.221516,0.144551,5200,3
-2.73562,-2.53737,-2.52369,0.0436439,0.00178698,0.188188,6.73001,0.216457,0.144677,5300,3
-2.78871,-2.50872,-2.54744,0.045234,0.00594502,0.184256,6.67573,0.217679,0.145506,5400,3
-2.85214,-2.51327,-2.59277,0.0508261,0.00285124,0.198555,6.68672,0.217593,0.146396,5500,3
-2.73197,-2.48791,-2.53561,0.0409855,0.00101178,0.179907,6.7551,0.218431,0.146215,5600,3
-2.75979,-2.51512,-2.54456,0.0401308,0.00522663,0.186278,6.56872,0.217109,0.147923,5700,3
-2.85302,-2.50063,-2.53181,0.0559266,0.0010701,0.174368,6.66057,0.217708,0.14766,5800,3
-2.81649,-2.49338,-2.54587,0.0444133,0.00215964,0.185345,6.63714,0.218596,0.146547,5900,3
-2.74871,-2.49075,-2.56652,0.0426495,0.000898247,0.189203,6.76681,0.219414,0.146744,6000,3
-2.75652,-2.49331,-2.57744,0.0455377,0.000163015,0.187102,6.69121,0.218146,0.146452,6100,3
-2.79539,-2.47747,-2.57592,0.0432354,0.00376231,0.18016,6.57797,0.215935,0.146076,6200,3
-2.83355,-2.47926,-2.53708,0.0439321,0.00701272,0.177722,6.6893,0.215356,0.146784,6300,3
-2.68487,-2.48378,-2.59201,0.0375404,0.00120875,0.191558,6.68754,0.217637,0.145382,6400,3
-2.70383,-2.50898,-2.59289,0.0417912,0.00215015,0.197654,6.67587,0.219205,0.146694,6500,3
-2.74011,-2.50926,-2.54431,0.0402055,0.00699599,0.182421,6.67118,0.215567,0.14563,6600,3
-2.73179,-2.52203,-2.54282,0.047697,0.000668671,0.188788,6.72598,0.216436,0.146156,6700,4
-2.71462,-2.49187,-2.57649,0.0431008,0.000634962,0.20025,6.79076,0.217508,0.146218,6800,4
-2.71098,-2.50689,-2.54489,0.041511,0.00233373,0.199589,6.60138,0.213163,0.146254,6900,4
-2.77328,-2.51605,-2.54842,0.0426666,0.00252031,0.191583,6.66548,0.214217,0.146741,7000,4
-2.70627,-2.50363,-2.57645,0.0403249,0.0013333,0.194348,6.69342,0.217853,0.146162,7100,4
-2.78695,-2.51033,-2.54274,0.0440125,0.00123296,0.183866,6.65613,0.218332,0.147711,7200,4
-2.83928,-2.5141,-2.59421,0.0453259,0.00340053,0.19739,6.68001,0.216335,0.146646,7300,4
-2.7714,-2.52679,-2.53194,0.0477684,0.00710076,0.190983,6.62118,0.213875,0.144484,7400,4
-2.78353,-2.5484,-2.53644,0.048814,0.00114959,0.191611,6.55208,0.215994,0.144882,7500,4
-2.85501,-2.53025,-2.52482,0.0495738,0.000872605,0.189342,6.78549,0.212803,0.14518,7600,4
-2.69303,-2.52964,-2.59993,0.0392662,0.000792426,0.208779,6.71251,0.218316,0.146602,7700,4
-2.77662,-2.48724,-2.53892,0.0444156,0.00188173,0.182515,6.68661,0.21552,0.145924,7800,4
-2.84072,-2.49739,-2.51325,0.0439185,0.00647678,0.171194,6.67752,0.216247,0.145773,7900,4
-2.6874,-2.47799,-2.55919,0.0401115,0.00198881,0.187857,6.6103,0.213898,0.144087,8000,4
-2.83932,-2.48683,-2.57386,0.0455924,0.00244953,0.191412,6.66881,0.216874,0.145866,8100,4
-2.77896,-2.50236,-2.53909,0.0425889,0.00446183,0.181212,6.58825,0.215377,0.146265,8200,4
-2.7627,-2.52366,-2.51266,0.0435992,0.000683341,0.193978,6.71114,0.217612,0.14696,8300,4
-2.77111,-2.51694,-2.56436,0.0474758,0.000453158,0.191798,6.76544,0.214743,0.14408,8400,4
-2.78456,-2.53399,-2.53616,0.0423236,0.00447799,0.189506,6.66288,0.213104,0.146781,8500,4
-2.69017,-2.5147,-2.5505,0.0409848,0.000406558,0.185176,6.65142,0.218385,0.146462,8600,4
-2.66436,-2.49933,-2.51774,0.0375564,0.00142627,0.180429,6.71913,0.217865,0.145866,8700,4
-2.69846,-2.4994,-2.53922,0.0385929,0.00168142,0.17863,6.65322,0.222082,0.146524,8800,4
-2.70382,-2.48783,-2.56873,0.0396296,0.00497396,0.174211,6.69841,0.217658,0.147297,8900,4
-2.71189,-2.50013,-2.55512,0.0385099,0.000711153,0.180707,6.63639,0.2172,0.147092,9000,4
-2.65669,-2.50634,-2.52006,0.0368238,0.00492939,0.175015,6.55566,0.215577,0.14864,9100,4
-2.67996,-2.51451,-2.50351,0.0398545,0.00175931,0.183488,6.66774,0.218037,0.146728,9200,5
-2.71872,-2.5061,-2.52636,0.0423861,0.00240358,0.176588,6.6242,0.216843,0.146659,9300,5
-2.74842,-2.49592,-2.54614,0.037964,0.000116307,0.180773,6.72942,0.217958,0.144664,9400,5
-2.67428,-2.51788,-2.51954,0.0419177,0.000745871,0.194756,6.64833,0.220721,0.14706,9500,5
-2.7525,-2.50919,-2.55976,0.0449741,0.00057226,0.195521,6.63796,0.21741,0.147857,9600,5
-2.75497,-2.50943,-2.58927,0.0394508,0.00202272,0.194862,6.62755,0.215417,0.145489,9700,5
-2.68688,-2.5011,-2.55328,0.0348361,0.000198339,0.187845,6.7063,0.217513,0.14572,9800,5
-2.76567,-2.52657,-2.53926,0.0447154,0.00405761,0.190509,6.74326,0.220501,0.146331,9900,5
-2.71928,-2.51596,-2.56209,0.0396143,0.000417824,0.186817,6.72416,0.216392,0.146232,10000,5
-2.72965,-2.53005,-2.58018,0.0444688,4.47643e-05,0.199896,6.55419,0.21658,0.143806,10100,5
-2.73115,-2.50241,-2.57709,0.0375118,0.000551532,0.196595,6.61314,0.215925,0.146334,10200,5
-2.77222,-2.51926,-2.53043,0.044931,0.00275917,0.185453,6.65732,0.217053,0.144322,10300,5
-2.73553,-2.51466,-2.55304,0.0400446,0.000834929,0.191786,6.62859,0.215627,0.145075,10400,5
-2.74901,-2.49565,-2.53806,0.0426898,0.00117858,0.175255,6.63239,0.217876,0.144379,10500,5
-2.78669,-2.51516,-2.54935,0.0481797,4.16601e-05,0.182439,6.62946,0.216498,0.14344,10600,5
-2.75782,-2.47375,-2.52911,0.0440708,0.00397417,0.164965,6.75058,0.215343,0.145337,10700,5
-2.75535,-2.50816,-2.53488,0.0404961,0.00393071,0.176016,6.59782,0.214055,0.144657,10800,5
-2.71304,-2.52987,-2.5493,0.0378071,0.00206151,0.199102,6.61079,0.216103,0.144132,10900,5
-2.74828,-2.55035,-2.57819,0.0420054,0.00148288,0.203109,6.60432,0.215971,0.145351,11000,5
-2.79741,-2.54494,-2.56641,0.0428252,0.00886023,0.197025,6.72438,0.215915,0.144555,11100,5
-2.80135,-2.49376,-2.52472,0.0455016,0.000458267,0.182348,6.70246,0.216609,0.144419,11200,5
-2.80018,-2.50137,-2.5545,0.0445323,0.000512129,0.187187,6.55066,0.216695,0.14455,11300,5
-2.77706,-2.52554,-2.59129,0.0489116,0.00152641,0.196969,6.61853,0.21766,0.143121,11400,5
-2.74236,-2.52006,-2.53533,0.0450949,0.0021773,0.18349,6.74493,0.216495,0.144004,11500,5
-2.77904,-2.50713,-2.53805,0.0384829,0.00233575,0.192033,6.63047,0.216581,0.145566,11600,5
-2.73895,-2.50775,-2.55175,0.0387076,0.00272955,0.187116,6.74413,0.219176,0.14746,11700,5
-2.65872,-2.49744,-2.53832,0.0340154,0.000134874,0.19805,6.54444,0.218547,0.147681,11800,6
-2.77065,-2.49118,-2.54926,0.0442599,0.000306294,0.180772,6.68411,0.216579,0.147392,11900,6
-2.74485,-2.53246,-2.52477,0.0425356,0.00053429,0.175535,6.63806,0.216478,0.145296,12000,6
-2.7639,-2.52059,-2.52845,0.0429433,0.00307179,0.184875,6.76703,0.214836,0.14524,12100,6
-2.77961,-2.48699,-2.54832,0.043081,0.00173067,0.178305,6.83326,0.215556,0.144051,12200,6
-2.75753,-2.50874,-2.54619,0.0413924,0.000137977,0.180984,6.68459,0.215325,0.143769,12300,6
-2.7398,-2.50923,-2.53186,0.0456911,0.00123541,0.166532,6.67685,0.213213,0.143581,12400,6
-2.75406,-2.50894,-2.51992,0.0392254,0.00797411,0.183905,6.69732,0.213546,0.142481,12500,6
-2.76754,-2.48771,-2.57405,0.0437145,0.00175209,0.184294,6.6324,0.220706,0.148124,12600,6
-2.80538,-2.54666,-2.51588,0.047614,0.000528496,0.184258,6.71387,0.217284,0.145123,12700,6
-2.7044,-2.5003,-2.53163,0.0386869,0.000219954,0.178752,6.65709,0.217466,0.14681,12800,6
-2.72205,-2.52194,-2.55998,0.0414274,0.000901133,0.180836,6.67099,0.215598,0.144919,12900,6
-2.75129,-2.52449,-2.53533,0.0412657,0.0023094,0.196265,6.77,0.216527,0.147473,13000,6
-2.77429,-2.51398,-2.54593,0.0445371,0.00303348,0.180313,6.56633,0.213078,0.146727,13100,6
-2.71802,-2.52141,-2.56922,0.0413093,0.00022739,0.188504,6.74736,0.213279,0.14724,13200,6
-2.77552,-2.48942,-2.55826,0.0370312,0.0146128,0.175809,6.56567,0.21476,0.145551,13300,6
-2.68801,-2.49547,-2.57598,0.0391865,0.00264673,0.18296,6.67458,0.214442,0.14609,13400,6
-2.7379,-2.50704,-2.55681,0.0355765,0.00576502,0.187209,6.54587,0.214426,0.145014,13500,6
-2.7394,-2.4813,-2.58434,0.03192,0.00531514,0.178778,6.6568,0.214707,0.14276,13600,6
-2.70243,-2.52605,-2.54888,0.0426425,0.000820066,0.180876,6.75596,0.214057,0.144441,13700,6
-2.68017,-2.52554,-2.53189,0.0358054,0.0044738,0.181916,6.51394,0.210332,0.143036,13800,6
-2.67385,-2.5308,-2.54344,0.0356225,0.0038314,0.189515,6.70084,0.215638,0.143946,13900,6
-2.73756,-2.54049,-2.55622,0.042667,0.0021479,0.205039,6.6534,0.213116,0.142291,14000,6
-2.73508,-2.51783,-2.55455,0.035822,0.00346653,0.182643,6.67343,0.216536,0.143414,14100,7
-2.70423,-2.51692,-2.60684,0.0369964,0.00687976,0.19098,6.54755,0.215532,0.144309,14200,7
-2.6844,-2.54854,-2.57618,0.0395811,0.00127095,0.204004,6.71189,0.218104,0.141734,14300,7
-2.76014,-2.54343,-2.54148,0.0429908,0.00257207,0.186446,6.62343,0.217914,0.144758,14400,7
-2.6879,-2.50157,-2.52215,0.0354326,0.00468676,0.182113,6.67072,0.216259,0.144005,14500,7
-2.66558,-2.51169,-2.52107,0.0362927,0.00113191,0.186579,6.70232,0.211593,0.145861,14600,7
-2.71192,-2.48966,-2.52316,0.0339393,0.00202669,0.171658,6.74213,0.214402,0.142853,14700,7
-2.68413,-2.50417,-2.5544,0.0382804,0.00339298,0.182589,6.73472,0.215116,0.145534,14800,7
-2.74306,-2.51398,-2.55099,0.0409391,0.000835628,0.18568,6.76807,0.214887,0.143879,14900,7
-2.69715,-2.49996,-2.57296,0.0344011,0.000872297,0.178359,6.62782,0.216486,0.144085,15000,7
-2.69453,-2.5097,-2.51106,0.0358816,0.00248941,0.159317,6.67102,0.213695,0.144981,15100,7
-2.62747,-2.50286,-2.53864,0.0376205,0.000743807,0.171954,6.66854,0.218806,0.14624,15200,7
-2.65799,-2.5055,-2.53794,0.0370405,0.000104431,0.188267,6.58166,0.219464,0.14274,15300,7
-2.62584,-2.49454,-2.58576,0.0337729,0.00257771,0.189341,6.57359,0.217097,0.143421,15400,7
-2.74799,-2.53391,-2.54395,0.0423208,0.00226005,0.191883,6.58839,0.218627,0.143285,15500,7
-2.78242,-2.51126,-2.55196,0.0413445,0.000312546,0.183919,6.73814,0.216878,0.142828,15600,7
-2.72452,-2.51898,-2.49606,0.0372833,0.00298774,0.161967,6.67311,0.216518,0.142288,15700,7
-2.6341,-2.50638,-2.5434,0.0357459,0.00182945,0.173564,6.70864,0.212894,0.143309,15800,7
-2.72,-2.51078,-2.48735,0.0361816,0.00146777,0.160261,6.67006,0.21523,0.145077,15900,7
-2.7147,-2.51758,-2.48018,0.0353451,0.0019294,0.173882,6.66776,0.213914,0.146313,16000,7
-2.71131,-2.48521,-2.53158,0.0428139,9.79786e-05,0.179699,6.58215,0.213141,0.144644,16100,8
-2.68998,-2.5118,-2.55638,0.0344069,0.000680529,0.184412,6.63867,0.213762,0.142798,16200,8
-2.69031,-2.48714,-2.56229,0.0367534,0.00216395,0.171957,6.62097,0.214186,0.144146,16300,8
-2.71197,-2.48406,-2.50387,0.0365753,0.000485009,0.168928,6.61202,0.214953,0.145267,16400,8
-2.69454,-2.49266,-2.56391,0.0402836,0.000257053,0.182215,6.56267,0.214619,0.143777,16500,8
-2.69434,-2.53297,-2.56077,0.0346123,0.00256824,0.190779,6.6911,0.214058,0.14204,16600,8
-2.67728,-2.53043,-2.55386,0.0360407,0.00102488,0.193813,6.63836,0.215677,0.144016,16700,8
-2.71224,-2.52071,-2.55352,0.0324939,0.00121316,0.19071,6.73226,0.211858,0.143703,16800,8
-2.66487,-2.51593,-2.55492,0.0313366,0.00819407,0.191217,6.50769,0.212828,0.142861,16900,8
-2.73141,-2.51166,-2.55673,0.0350017,0.00478714,0.183712,6.55389,0.211297,0.143561,17000,8
-2.75432,-2.52095,-2.5853,0.0380347,0.00677518,0.181476,6.6672,0.214984,0.141932,17100,8
-2.69214,-2.51336,-2.54852,0.0350753,0.00169691,0.180462,6.62978,0.216442,0.141319,17200,8
-2.79178,-2.52178,-2.57102,0.0420873,0.00677995,0.181234,6.75685,0.214159,0.143059,17300,8
-2.81263,-2.49397,-2.56585,0.0375819,0.00934349,0.175928,6.6466,0.21478,0.142526,17400,8
-2.70071,-2.52397,-2.54312,0.035771,0.00378844,0.181095,6.66237,0.215008,0.142429,17500,8
-2.77947,-2.52533,-2.55407,0.0409368,8.24473e-05,0.177727,6.68127,0.211706,0.143365,17600,8
-2.72798,-2.53299,-2.56789,0.0395658,0.000302652,0.194847,6.63439,0.212012,0.141914,17700,8
-2.65799,-2.54872,-2.57325,0.0359303,0.00485212,0.203414,6.69517,0.211722,0.145685,17800,8
-2.67464,-2.50455,-2.58636,0.0345526,0.00353057,0.205082,6.60797,0.213809,0.141857,17900,9
-2.77463,-2.5042,-2.55451,0.0408833,0.000259563,0.178745,6.6284,0.213138,0.144419,18000,9
-2.68942,-2.49067,-2.53774,0.0365899,0.00204727,0.182863,6.58669,0.213859,0.144422,18100,9
-2.727,-2.49133,-2.50812,0.0377957,0.0046207,0.170562,6.75966,0.216464,0.144723,18200,9
-2.6088,-2.50822,-2.49235,0.0334652,0.00250504,0.167911,6.7577,0.213503,0.144608,18300,9
-2.62284,-2.52241,-2.54725,0.030867,0.00233105,0.175266,6.75489,0.214253,0.144162,18400,9
-2.61865,-2.51838,-2.55231,0.0327511,0.000377949,0.180541,6.72951,0.21616,0.141534,18500,9
-2.63681,-2.50978,-2.578,0.0311302,0.000852287,0.195072,6.79812,0.210699,0.142686,18600,9
-2.70283,-2.52331,-2.57341,0.0429751,0.00345471,0.20943,6.50386,0.21135,0.143907,18700,9
-2.62044,-2.5015,-2.51244,0.032381,0.00365589,0.175676,6.74575,0.209236,0.144523,18800,9
-2.78034,-2.52055,-2.53237,0.0434649,0.00801585,0.164397,6.68668,0.211609,0.143301,18900,9
-2.70137,-2.51551,-2.52318,0.0339008,0.00642087,0.175766,6.61409,0.213089,0.141246,19000,9
-2.72317,-2.52019,-2.53947,0.0424364,0.00526684,0.180059,6.84188,0.214632,0.143462,19100,9
-2.6872,-2.47899,-2.53996,0.0364618,0.000307979,0.168935,6.79261,0.210587,0.142767,19200,9
-2.74137,-2.51888,-2.50583,0.0453871,0.00365724,0.173034,6.49246,0.211899,0.14069,19300,9
-2.6295,-2.53025,-2.55105,0.0327872,0.00538778,0.179292,6.61648,0.212416,0.142807,19400,9
-2.82472,-2.52175,-2.55946,0.0426426,0.0117669,0.192195,6.56596,0.212269,0.144605,19500,9
-2.82135,-2.53008,-2.54292,0.0466869,0.00179589,0.18173,6.75468,0.212316,0.14174,19600,10
-2.72987,-2.49627,-2.53229,0.0362463,0.00266965,0.175038,6.61535,0.216258,0.142067,19700,10
-2.66273,-2.54629,-2.55747,0.0372969,0.000115,0.198875,6.59563,0.212812,0.143215,19800,10
-2.61927,-2.50141,-2.53143,0.0282948,0.00916063,0.172888,6.7099,0.213222,0.141646,19900,10
-2.70683,-2.49536,-2.55312,0.0381915,0.00148371,0.172055,6.73731,0.210641,0.142198,20000,10
-2.79442,-2.52898,-2.55324,0.0331264,0.0162027,0.178144,6.72388,0.208721,0.142141,20100,10
-2.81217,-2.52333,-2.53612,0.0449513,0.000118089,0.176756,6.63813,0.212592,0.142979,20200,10
-2.71582,-2.49991,-2.52681,0.0380971,0.00731919,0.171284,6.7134,0.213244,0.142739,20300,10
-2.75881,-2.49706,-2.51193,0.0367021,0.00667805,0.159006,6.82126,0.21374,0.143279,20400,10
-2.70562,-2.49805,-2.50889,0.03371,0.00377712,0.155185,6.71209,0.208757,0.141186,20500,10
-2.70911,-2.53969,-2.50934,0.0386743,0.00161396,0.168205,6.67843,0.213212,0.139492,20600,10
-2.68227,-2.50706,-2.51245,0.0326765,0.00117625,0.162381,6.67698,0.213108,0.14449,20700,10
-2.73492,-2.51424,-2.51168,0.0437014,0.00617438,0.177164,6.72119,0.21305,0.143982,20800,10
-2.75708,-2.5042,-2.50246,0.0454311,0.00366331,0.165192,6.5383,0.211845,0.143503,20900,10
-2.71497,-2.52435,-2.51182,0.0353962,0.00279658,0.178796,6.60024,0.214401,0.143151,21000,10
-2.72393,-2.50837,-2.54246,0.03805,0.00342057,0.17173,6.72588,0.212226,0.141796,21100,10
-2.68604,-2.51799,-2.56355,0.035849,0.00235611,0.188019,6.74293,0.21582,0.142544,21200,10
-2.80864,-2.50528,-2.54833,0.0426011,0.00447362,0.163679,6.83651,0.215764,0.141737,21300,10
-2.69027,-2.51449,-2.5739,0.0371272,0.00499948,0.171822,6.62881,0.212275,0.14352,21400,11
-2.80048,-2.5165,-2.54655,0.0389257,0.0101421,0.185856,6.53727,0.215584,0.142259,21500,11
-2.73388,-2.48068,-2.51181,0.0319915,0.0115808,0.158964,6.62745,0.212171,0.143223,21600,11
-2.80696,-2.49926,-2.54173,0.0402664,0.00693018,0.169676,6.70537,0.215864,0.143259,21700,11
-2.68584,-2.47558,-2.5462,0.0355254,0.00360683,0.17408,6.70648,0.2124,0.143168,21800,11
-2.71606,-2.50899,-2.54492,0.0356518,0.00792065,0.172627,6.62844,0.211194,0.141455,21900,11
-2.68169,-2.54245,-2.54257,0.0353221,0.00159692,0.172278,6.71587,0.213998,0.142233,22000,11
-2.74128,-2.49563,-2.53442,0.0397914,0.00307912,0.16917,6.63645,0.213715,0.143536,22100,11
-2.69693,-2.4954,-2.55003,0.0319361,0.00439946,0.169498,6.55901,0.209256,0.140926,22200,11
-2.86496,-2.50598,-2.51901,0.0361634,0.022916,0.168277,6.67228,0.20997,0.140427,22300,11
-2.63246,-2.51444,-2.52149,0.0291651,0.00207895,0.183719,6.6472,0.214742,0.141312,22400,11
-2.7524,-2.49508,-2.53721,0.0407028,0.00884105,0.161803,6.64995,0.213842,0.142347,22500,11
-2.81987,-2.51427,-2.50999,0.0416075,0.0104182,0.176397,6.71531,0.213911,0.142644,22600,11
-2.71527,-2.50934,-2.51626,0.0351494,0.00663323,0.165414,6.63719,0.215002,0.143561,22700,11
-2.71451,-2.48449,-2.53121,0.0401145,0.00232702,0.17611,6.68882,0.212712,0.142885,22800,11
-2.7556,-2.48386,-2.54044,0.0356596,0.0132372,0.153043,6.6975,0.212192,0.144619,22900,11
-2.7552,-2.52112,-2.56276,0.0352205,0.00994994,0.182847,6.66642,0.214699,0.14361,23000,11
-2.77902,-2.4836,-2.50447,0.0427516,0.00109582,0.157641,6.66539,0.21247,0.142687,23100,11
-2.70136,-2.4864,-2.4844,0.0391926,0.00292888,0.14855,6.79221,0.216562,0.144018,23200,11
-2.75493,-2.48452,-2.52626,0.0307019,0.0167853,0.166469,6.64867,0.214335,0.145723,23300,11
-2.7439,-2.50239,-2.52374,0.0353593,0.00628586,0.187594,6.81636,0.214435,0.144384,23400,11
-2.74412,-2.48709,-2.5265,0.0348766,0.00921692,0.173093,6.57041,0.214485,0.145911,23500,11
-2.70558,-2.48502,-2.51195,0.0411884,0.0031639,0.162421,6.69332,0.218134,0.144515,23600,11
-2.68451,-2.47981,-2.51736,0.037292,0.00676043,0.168298,6.51176,0.214028,0.146754,23700,12
-2.77604,-2.50993,-2.55887,0.0359956,0.0173273,0.182823,6.69835,0.212659,0.144314,23800,12
-2.72637,-2.49168,-2.53282,0.0350712,0.00528948,0.176715,6.57981,0.213221,0.145545,23900,12
-2.76526,-2.45434,-2.50226,0.0374594,0.00316781,0.160722,6.66956,0.210669,0.144517,24000,12
-2.66721,-2.48668,-2.53615,0.031955,0.00178197,0.176898,6.63458,0.213076,0.147101,24100,12
-2.66378,-2.47756,-2.46776,0.0372432,0.00173566,0.150627,6.6033,0.213741,0.145364,24200,12
-2.72939,-2.48569,-2.52896,0.0357349,0.00988974,0.174934,6.52741,0.213799,0.143332,24300,12
-2.71063,-2.48082,-2.49473,0.032465,0.0183986,0.146549,6.5544,0.215106,0.142615,24400,12
-2.71918,-2.49073,-2.4837,0.0328191,0.0104333,0.162935,6.62009,0.213459,0.146082,24500,12
-2.72554,-2.47664,-2.49888,0.0341353,0.00467804,0.153272,6.69876,0.21381,0.143143,24600,12
-2.72456,-2.49673,-2.52443,0.0396873,0.00328351,0.163606,6.71203,0.214482,0.144058,24700,12
-2.60342,-2.50616,-2.5002,0.0315249,0.00134092,0.159309,6.63789,0.211734,0.143343,24800,12
-2.75471,-2.49337,-2.5253,0.0379102,0.00919085,0.167102,6.67086,0.21221,0.145825,24900,12
-2.76594,-2.50093,-2.48248,0.0348783,0.0176482,0.159611,6.64457,0.210798,0.144945,25000,12
-2.7031,-2.53892,-2.49457,0.041083,0.0105873,0.174819,6.66943,0.213782,0.141327,25100,12
