BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, BetaP_SE_8, BetaP_SE_9, BetaP_RS_0, rho,gamma_ei,gamma_ir,P_RS_0, P_RS_1, P_RS_2, P_RS_3, P_RS_4, P_RS_5, P_RS_6, P_RS_7, P_RS_8, P_RS_9, P_RS_10, P_RS_11, P_RS_12, P_RS_13, P_RS_14, P_RS_15, P_RS_16, P_RS_17, P_RS_18, P_RS_19, P_RS_20, P_RS_21, P_RS_22, P_RS_23, P_RS_24, P_RS_25, P_RS_26, P_RS_27, P_RS_28, P_RS_29, P_RS_30, P_RS_31, P_RS_32, P_RS_33, P_RS_34, P_RS_35, P_RS_36, P_RS_37, P_RS_38, P_RS_39, P_RS_40, P_RS_41, P_RS_42, P_RS_43, P_RS_44, P_RS_45, P_RS_46, P_RS_47, P_RS_48, P_RS_49, P_RS_50, P_RS_51, P_RS_52, P_RS_53, P_RS_54, P_RS_55, P_RS_56, P_RS_57, P_RS_58, P_RS_59, P_RS_60, P_RS_61, P_RS_62, P_RS_63, Iteration,Time
2.82315,0.0802536,-0.0136402,0.0247717,-0.0510068,-0.041999,0.0278448,-0.0460775,0.0718723,-0.0704066,0,0.0999678,0.304739,0.173187,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 0,0
-1.41959,-1.16281,-1.45778,-1.82821,-0.771554,1.0128,-1.45565,0.74014,-0.780744,-0.905665,0,0.00854902,1.82241,0.186595,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1000,1
-1.44376,-1.25783,-1.53698,-2.72284,-1.50416,1.01795,-1.47514,0.553344,-0.354151,-1.09225,0,0.0061447,1.88967,0.162316,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 2000,2
-1.46806,-1.13271,-1.3992,-3.44531,-2.62908,1.39039,-1.71292,0.2778,-0.174688,-1.50442,0,0.0097899,1.90232,0.156016,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 3000,4
-1.54462,-1.39446,-1.65612,-5.06151,-2.70393,1.56487,-1.44301,0.578131,-0.154101,-1.12072,0,0.00884084,1.97456,0.144847,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 4000,5
-1.41333,-1.17766,-1.41835,-4.83186,-2.49174,1.23024,-1.6707,0.442302,-0.778199,-1.17354,0,0.00897905,1.87194,0.144541,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5000,6
-1.11388,-0.850836,-1.14554,-4.06995,-2.13178,0.712181,-1.7527,0.301861,-1.71976,-1.0198,0,0.00636383,1.84439,0.144003,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 6000,7
-1.25564,-1.04046,-1.23045,-3.8634,-2.48403,0.726859,-1.5636,0.275769,-1.25416,-1.05382,0,0.00695258,1.78878,0.141499,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 7000,8
-1.11071,-0.840704,-1.13242,-2.53309,-2.81233,0.811107,-1.83867,0.24511,-1.6176,-1.17149,0,0.0082716,2.00842,0.13959,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 8000,10
-1.17727,-1.01024,-1.26567,-3.45949,-2.24683,0.803932,-1.63539,0.495966,-1.97975,-0.774751,0,0.00822888,1.85548,0.130514,0.864665, 9.45876e-317, 1.99306e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86352e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.42291e-321, 1.42291e-321, 6.95015e-310, 5.1395e-317, 1.99349e-316, 6.94997e-310, 2.122e-314, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 1.86486e-316, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 5.1395e-317, 9000,11
