BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-6.0231,-4.04876,-6.56308,-0.01017,-0.033915,0.11196,0.00325424,-0.0216032,0.0619896,6.59907,0.21158,0.142857,0,0
-2.95361,-2.46506,-2.29466,0.758515,0.708461,0.943596,1.19494,0.434298,0.0453358,6.05014,0.252453,0.204973,1000,1
-2.72993,-2.29986,-2.14105,0.703182,0.316178,0.62202,0.860817,-0.0421833,0.0499425,6.35182,0.2387,0.19342,2000,2
-2.67394,-2.2579,-2.08987,0.896394,0.0597733,0.579254,0.792999,-0.246323,0.0489731,6.41941,0.242861,0.187413,3000,3
-2.34425,-1.98233,-1.73996,0.441977,-0.290684,0.17149,0.433031,-0.495192,0.0581086,6.52332,0.240166,0.183066,4000,4
-2.25841,-1.95644,-1.75171,0.606107,-0.291604,0.283229,0.198322,-0.369701,0.0413301,6.52742,0.239906,0.181495,5000,4
-2.25792,-1.90078,-1.71235,0.424186,-0.254574,0.106371,0.223121,-0.423194,0.0543116,6.61434,0.236868,0.18323,6000,5
-2.2496,-1.87689,-1.64873,0.279047,-0.258415,0.0618437,0.00375768,-0.401437,0.0562213,6.59688,0.237745,0.180483,7000,6
-2.06964,-1.78832,-1.53494,0.297602,-0.412979,0.0488063,-0.283616,-0.486597,0.0513548,6.59688,0.23648,0.178911,8000,7
-1.91112,-1.61913,-1.39837,0.181843,-0.551034,-0.0578323,-0.662732,-0.402209,0.0446611,6.54247,0.238017,0.178085,9000,8
-1.61113,-1.31415,-1.08849,-0.1191,-0.851147,-0.252889,-1.32309,-0.441177,0.0486161,6.61329,0.236083,0.180922,10000,9
-1.54373,-1.27712,-1.06719,-0.120809,-0.929378,-0.20679,-1.47521,-0.384067,0.046957,6.5581,0.240194,0.180687,11000,10
-1.41407,-1.11198,-0.887272,-0.14164,-1.0308,-0.299879,-2.08102,-0.304449,0.0446312,6.57343,0.235774,0.181136,12000,12
-1.35192,-1.09693,-0.861229,-0.202592,-1.10646,-0.31399,-2.06795,-0.364706,0.0457598,6.63869,0.238966,0.178108,13000,13
