BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-1.3544,-1.04206,-0.802263,-0.207966,-1.15211,-0.376547,-2.24478,-0.389403,0.0448077,6.52184,0.235129,0.17768,14000,14
-1.41752,-1.02152,-0.833583,-0.222362,-1.10375,-0.437177,-2.09515,-0.403203,0.0459793,6.63395,0.236596,0.177782,15000,15
-1.21298,-1.00296,-0.806624,-0.347114,-1.16715,-0.449066,-2.1696,-0.434895,0.0432305,6.65448,0.232999,0.177666,16000,17
-1.36188,-1.07096,-0.854598,-0.331749,-1.04785,-0.43464,-2.12759,-0.420029,0.0501,6.64191,0.234945,0.175697,17000,18
-1.22014,-1.01076,-0.77954,-0.437401,-1.06307,-0.472313,-2.26982,-0.301597,0.0377939,6.62027,0.231299,0.177194,18000,19
-1.33848,-0.98782,-0.753645,-0.449103,-1.04868,-0.560515,-2.20185,-0.301433,0.0466471,6.67668,0.233704,0.175998,19000,20
-1.32177,-0.993572,-0.755466,-0.326123,-1.1686,-0.44587,-2.30513,-0.409531,0.0477848,6.622,0.23492,0.175205,20000,22
-1.30449,-0.926623,-0.711982,-0.468518,-1.14887,-0.56648,-2.28006,-0.427606,0.0483863,6.64571,0.231259,0.178144,21000,23
-1.42997,-1.03944,-0.827296,-0.323951,-1.07378,-0.497821,-2.00671,-0.418037,0.0498077,6.6363,0.234032,0.175436,22000,24
-1.28401,-0.906039,-0.71774,-0.521248,-1.13203,-0.602746,-2.24782,-0.533627,0.0422777,6.65009,0.233732,0.176933,23000,26
-1.28822,-1.00324,-0.796598,-0.535438,-0.977706,-0.595152,-2.04951,-0.514736,0.0483045,6.64322,0.232446,0.177472,24000,27
-1.4841,-1.05769,-0.887845,-0.478441,-0.923142,-0.638101,-1.83468,-0.518236,0.0578028,6.59909,0.227159,0.175271,25000,28
-1.29988,-0.907676,-0.707941,-0.718817,-1.04158,-0.790596,-1.9473,-0.752182,0.0513946,6.75302,0.229449,0.173498,26000,29
-1.48311,-1.11104,-0.910751,-0.484911,-0.842658,-0.608568,-1.74192,-0.57536,0.0486173,6.62133,0.230811,0.176176,27000,30
-1.35892,-1.01988,-0.822067,-0.561593,-0.967549,-0.609031,-1.89959,-0.64404,0.0446778,6.6842,0.227321,0.176734,28000,31
-1.17727,-0.86465,-0.636201,-0.736059,-1.14689,-0.713543,-2.36279,-0.497423,0.0496257,6.58859,0.225999,0.17561,29000,32
-1.26691,-0.884734,-0.692983,-0.748503,-1.07747,-0.753627,-2.17785,-0.589808,0.0504581,6.78864,0.230704,0.176343,30000,33
-1.25656,-0.880635,-0.678162,-0.730358,-1.14382,-0.769748,-2.13539,-0.645179,0.0481718,6.66351,0.227338,0.169627,31000,34
-1.34465,-0.987595,-0.812644,-0.422722,-0.981465,-0.551836,-2.28454,-0.390491,0.0462112,6.69996,0.225686,0.175512,32000,35
-1.2714,-0.810889,-0.647844,-0.706497,-1.19127,-0.764698,-2.41729,-0.612829,0.0539632,6.56577,0.226375,0.171046,33000,36
-1.34354,-1.01272,-0.805817,-0.348037,-1.0381,-0.499529,-2.39015,-0.407217,0.0524613,6.59421,0.225516,0.173952,34000,36
-1.47061,-1.10265,-0.894143,-0.465752,-0.931073,-0.537172,-1.98186,-0.568337,0.0544488,6.70363,0.224378,0.168738,35000,37
-1.45867,-1.05014,-0.854602,-0.453686,-1.01484,-0.571998,-1.92095,-0.659886,0.051253,6.59841,0.221399,0.172948,36000,38
-1.39475,-1.02614,-0.852199,-0.460617,-0.972191,-0.618792,-2.01238,-0.586189,0.0462639,6.6573,0.224826,0.171377,37000,39
-1.42615,-1.0369,-0.822474,-0.506882,-1.00274,-0.601608,-2.07787,-0.564553,0.05032,6.66747,0.224715,0.1697,38000,40
-1.52324,-1.07629,-0.865206,-0.523152,-0.906624,-0.563269,-1.90425,-0.646697,0.0523664,6.75111,0.225449,0.172439,39000,41
-1.54759,-1.1589,-0.942786,-0.355613,-0.872497,-0.477191,-1.81583,-0.664113,0.0584695,6.72942,0.224504,0.172264,40000,41
-1.42125,-1.01877,-0.778878,-0.426214,-1.04003,-0.559717,-2.16047,-0.58598,0.0499,6.68952,0.222554,0.171183,41000,42
-1.339,-0.876176,-0.6818,-0.67986,-1.18395,-0.666232,-2.20162,-0.769863,0.0491674,6.65123,0.224067,0.172109,42000,44
-1.4539,-0.92813,-0.74368,-0.56779,-1.03312,-0.636436,-2.28492,-0.598756,0.0614639,6.6676,0.221551,0.173193,43000,45
-1.40388,-0.920951,-0.744106,-0.575156,-1.10535,-0.647394,-2.26563,-0.638638,0.0543752,6.74684,0.224774,0.170048,44000,45
-1.20061,-0.773731,-0.578734,-0.756366,-1.20426,-0.772828,-2.49404,-0.689066,0.048142,6.73349,0.22472,0.171487,45000,47
-1.16486,-0.63332,-0.487355,-1.00098,-1.37179,-0.942082,-2.48644,-0.983022,0.0580566,6.71273,0.221788,0.172427,46000,48
-1.12695,-0.694771,-0.514564,-0.899184,-1.25189,-0.827949,-2.82603,-0.702576,0.0519265,6.66134,0.220092,0.16867,47000,49
-1.16673,-0.646048,-0.504856,-0.814993,-1.36114,-0.849119,-2.76033,-0.799403,0.0572028,6.57163,0.217743,0.169103,48000,51
-1.26121,-0.668323,-0.50284,-0.800705,-1.38023,-0.823396,-2.68753,-0.805873,0.057994,6.66325,0.221794,0.172057,49000,52
-1.26212,-0.699357,-0.578645,-0.698833,-1.33194,-0.696789,-2.79384,-0.641235,0.0626374,6.56007,0.222481,0.168979,50000,53
-1.34573,-0.795175,-0.619954,-0.715735,-1.21237,-0.748571,-2.58885,-0.692985,0.0614831,6.63804,0.217999,0.168043,51000,54
-1.25899,-0.744592,-0.589689,-0.864019,-1.29219,-0.72171,-2.53516,-0.851051,0.0550545,6.55851,0.220546,0.168357,52000,55
-1.21284,-0.71857,-0.543145,-0.802254,-1.34627,-0.768377,-2.78817,-0.6391,0.0559982,6.72586,0.221835,0.169201,53000,56
-1.32783,-0.764389,-0.601183,-0.767148,-1.27847,-0.734523,-2.54184,-0.824647,0.055562,6.76577,0.218702,0.171935,54000,57
-1.18805,-0.707343,-0.522968,-0.835747,-1.36074,-0.801466,-2.61727,-0.912797,0.0597771,6.80214,0.218725,0.168248,55000,58
-1.38423,-0.884651,-0.730741,-0.679097,-1.19762,-0.611241,-2.21475,-0.864504,0.0568604,6.65747,0.216892,0.168207,56000,59
-1.37519,-0.814347,-0.595968,-0.753879,-1.20556,-0.737486,-2.43384,-0.831279,0.0577138,6.65551,0.21752,0.169888,57000,61
-1.48677,-0.800334,-0.666671,-0.806306,-1.14938,-0.777485,-2.24256,-0.923637,0.0664939,6.73514,0.21866,0.169079,58000,62
-1.52494,-0.949767,-0.75102,-0.582666,-1.07997,-0.607771,-2.19335,-0.801105,0.0621,6.9039,0.218198,0.171018,59000,63
-1.6281,-1.12969,-0.931931,-0.331373,-0.964753,-0.43827,-1.91899,-0.719932,0.0581465,6.60557,0.217269,0.16593,60000,64
-1.6874,-1.16212,-0.985972,-0.392505,-0.853677,-0.469656,-1.70387,-0.794819,0.0582516,6.59169,0.216585,0.167173,61000,64
-1.70439,-1.16766,-0.991627,-0.337616,-0.840489,-0.509129,-1.69132,-0.780429,0.05871,6.81593,0.216105,0.168669,62000,65
-1.77262,-1.19346,-1.0555,-0.391832,-0.823277,-0.539432,-1.52863,-0.8721,0.0631781,6.66416,0.215756,0.166315,63000,66
-1.78499,-1.24619,-1.1257,-0.404613,-0.748993,-0.4425,-1.44794,-0.760718,0.0614721,6.60866,0.217561,0.16729,64000,67
-1.80826,-1.2255,-1.03672,-0.379863,-0.833119,-0.530502,-1.33232,-0.940561,0.0608129,6.6572,0.216619,0.167289,65000,69
-1.64697,-1.17906,-1.00178,-0.451014,-0.908604,-0.55275,-1.50299,-0.977773,0.0630072,6.59123,0.217755,0.165173,66000,70
-1.77949,-1.32401,-1.14221,-0.316228,-0.790072,-0.434095,-1.20318,-0.887009,0.0549952,6.68734,0.218759,0.164983,67000,71
-1.66962,-1.10878,-0.940957,-0.424678,-0.98043,-0.5453,-1.74927,-0.955312,0.0677823,6.75485,0.218315,0.166584,68000,73
-1.7317,-1.17268,-1.0043,-0.491279,-0.851972,-0.564841,-1.48453,-0.982501,0.0602469,6.70185,0.220476,0.166905,69000,74
-1.74737,-1.21939,-1.05811,-0.327088,-0.814316,-0.503886,-1.54639,-0.850412,0.0608654,6.60442,0.218539,0.168315,70000,75
-1.69008,-1.14665,-0.959621,-0.453055,-0.894037,-0.484807,-1.91436,-0.764979,0.060492,6.62269,0.216327,0.166177,71000,75
-1.73459,-1.16533,-1.02277,-0.413887,-0.831458,-0.459126,-1.6763,-0.875053,0.0586585,6.65173,0.215084,0.167309,72000,76
-1.7996,-1.14581,-1.01179,-0.384875,-0.855057,-0.550255,-1.56886,-0.943038,0.0667295,6.61013,0.215114,0.167225,73000,77
-1.88044,-1.31577,-1.16513,-0.275474,-0.781969,-0.34905,-1.3897,-0.908778,0.0612829,6.62678,0.215106,0.163722,74000,78
-1.99917,-1.45637,-1.28265,-0.221372,-0.545,-0.368879,-1.00679,-0.933668,0.0598537,6.6861,0.215827,0.163668,75000,80
-2.02192,-1.36935,-1.24347,-0.292982,-0.653347,-0.382073,-1.09949,-0.970616,0.0654079,6.68797,0.213641,0.166694,76000,80
-2.14803,-1.46148,-1.31408,-0.145274,-0.640981,-0.366988,-0.90275,-0.968534,0.0741744,6.64575,0.21264,0.1643,77000,81
-1.98578,-1.38963,-1.19772,-0.151713,-0.694316,-0.36629,-1.20954,-0.952465,0.0674125,6.68889,0.210906,0.163491,78000,82
-2.14306,-1.46148,-1.31538,-0.186501,-0.588682,-0.280344,-1.01486,-0.887268,0.0710069,6.66283,0.213158,0.166819,79000,84
-1.94866,-1.44224,-1.26234,-0.213049,-0.659054,-0.329522,-1.03897,-0.926266,0.0587084,6.6418,0.211968,0.166161,80000,85
-1.74604,-1.25007,-1.07368,-0.30672,-0.774153,-0.493812,-1.43785,-0.965059,0.0579848,6.65173,0.21239,0.164565,81000,86
-1.96806,-1.19724,-1.04392,-0.438912,-0.827147,-0.561148,-1.48608,-0.998698,0.0781071,6.63738,0.213441,0.16641,82000,87
-1.87967,-1.30006,-1.13658,-0.355269,-0.754087,-0.445181,-1.32102,-0.929907,0.0633622,6.7162,0.209953,0.163353,83000,87
-1.89466,-1.27695,-1.17803,-0.261958,-0.777565,-0.450499,-1.32755,-0.97444,0.0627068,6.57076,0.21097,0.16469,84000,88
-1.99614,-1.34973,-1.26036,-0.202146,-0.696778,-0.350933,-1.29676,-0.809177,0.0684684,6.75222,0.212775,0.164099,85000,89
-1.99578,-1.41608,-1.25139,-0.126886,-0.631772,-0.400069,-1.04248,-0.931929,0.0620484,6.74666,0.209821,0.164029,86000,90
-2.06639,-1.43171,-1.29956,-0.185204,-0.691939,-0.326975,-1.0217,-0.956243,0.0757775,6.73108,0.210515,0.161759,87000,91
-2.1175,-1.49807,-1.36359,-0.0780412,-0.527658,-0.283942,-0.902936,-0.841537,0.0600979,6.64674,0.209727,0.164521,88000,92
-2.16696,-1.57302,-1.44467,0.101241,-0.52204,-0.174339,-0.964025,-0.771166,0.0649456,6.6337,0.209848,0.164124,89000,94
-2.19656,-1.54843,-1.40986,-0.0381629,-0.468886,-0.337532,-0.747143,-0.87158,0.0722724,6.67451,0.207654,0.163406,90000,94
-2.05986,-1.41069,-1.27732,-0.212986,-0.5723,-0.415673,-1.01932,-0.978756,0.0624383,6.68721,0.209583,0.162662,91000,95
-1.90819,-1.42285,-1.26432,-0.170895,-0.694684,-0.373279,-1.05078,-0.97984,0.0622699,6.57111,0.209762,0.163016,92000,96
-1.85164,-1.28672,-1.10215,-0.385394,-0.773162,-0.497581,-1.34271,-1.03453,0.0625782,6.61158,0.209221,0.160209,93000,97
-1.98539,-1.34065,-1.22168,-0.264931,-0.689514,-0.464477,-1.20093,-1.01537,0.0770439,6.67478,0.213196,0.161924,94000,98
-2.16989,-1.51825,-1.38905,-0.162752,-0.508301,-0.384365,-0.754724,-0.975102,0.0736305,6.64796,0.212431,0.161328,95000,98
-2.11723,-1.46502,-1.33562,-0.166435,-0.578595,-0.351645,-0.982196,-0.926903,0.070372,6.66099,0.205568,0.16047,96000,99
-2.02856,-1.38676,-1.27724,-0.329005,-0.64377,-0.41922,-1.05929,-1.01354,0.0696019,6.68069,0.206141,0.161355,97000,100
-2.0617,-1.52945,-1.42055,-0.137102,-0.513855,-0.250082,-0.957247,-0.833257,0.0642654,6.7134,0.210296,0.161957,98000,101
-2.30408,-1.58996,-1.46113,-0.101062,-0.398059,-0.325608,-0.658758,-0.950777,0.0722295,6.70719,0.206627,0.160126,99000,102
-2.38697,-1.57857,-1.46801,-0.172683,-0.415814,-0.415329,-0.507195,-1.01293,0.0775875,6.64871,0.209002,0.160858,100000,103
-2.28364,-1.60027,-1.4817,-0.180177,-0.396492,-0.348286,-0.626104,-0.90729,0.077136,6.52887,0.208318,0.163557,101000,104
-2.2694,-1.5895,-1.48047,-0.0922162,-0.402718,-0.334188,-0.509042,-0.957262,0.0689578,6.63432,0.20875,0.160521,102000,105
-2.23852,-1.71083,-1.5515,0.0487797,-0.32314,-0.204642,-0.431188,-0.873113,0.0582378,6.7196,0.207323,0.160939,103000,105
-2.41426,-1.77729,-1.63411,0.103736,-0.265493,-0.214076,-0.243305,-0.934656,0.0654448,6.64698,0.20659,0.160417,104000,106
-2.3147,-1.67262,-1.52517,-0.0800904,-0.436915,-0.253173,-0.491827,-0.983419,0.077351,6.56852,0.20516,0.159932,105000,107
-2.2533,-1.63956,-1.5095,0.0148387,-0.448253,-0.176222,-0.675299,-0.803194,0.0656821,6.6701,0.208442,0.160972,106000,108
-2.17572,-1.6878,-1.57171,0.176293,-0.385433,-0.167037,-0.649178,-0.850113,0.0637484,6.69427,0.206518,0.159759,107000,110
-2.24715,-1.7195,-1.61111,0.166695,-0.433802,-0.0477002,-0.623626,-0.743844,0.0629741,6.64319,0.207416,0.160493,108000,110
-2.39221,-1.72519,-1.62327,0.0343698,-0.309241,-0.183106,-0.321902,-0.828649,0.0673837,6.59974,0.205366,0.163022,109000,111
-2.29013,-1.64074,-1.49267,-0.14514,-0.352437,-0.313646,-0.473793,-0.974861,0.0696799,6.63602,0.208455,0.160244,110000,112
-2.13287,-1.55829,-1.43029,-0.214493,-0.406935,-0.352467,-0.700575,-0.980966,0.0659909,6.63814,0.205552,0.158612,111000,113
-2.2293,-1.53018,-1.40763,-0.13159,-0.513645,-0.389141,-0.681514,-1.04489,0.075263,6.49381,0.205084,0.158477,112000,114
-2.20104,-1.50601,-1.34257,-0.162368,-0.542507,-0.333254,-0.926529,-0.94543,0.0724982,6.5323,0.208124,0.161133,113000,115
-2.24265,-1.59834,-1.46538,-0.170178,-0.414007,-0.298031,-0.658483,-0.927047,0.0624008,6.65171,0.209109,0.159349,114000,116
-2.12455,-1.46792,-1.30283,-0.19586,-0.617111,-0.340675,-1.07062,-1.02106,0.0710841,6.59284,0.206404,0.157618,115000,117
-2.20041,-1.493,-1.37584,-0.155992,-0.591702,-0.319464,-0.900345,-0.974601,0.0759109,6.67597,0.205709,0.160536,116000,119
-2.03484,-1.47727,-1.32823,-0.0399547,-0.633452,-0.243008,-1.42636,-0.649259,0.06408,6.56606,0.206771,0.161197,117000,120
-2.14684,-1.38658,-1.27055,-0.140908,-0.652184,-0.450374,-1.10906,-0.899111,0.0708995,6.79568,0.205019,0.160492,118000,121
-2.14827,-1.45994,-1.3452,-0.102481,-0.647167,-0.327147,-1.18445,-0.904998,0.0802843,6.67174,0.201233,0.16101,119000,122
-2.16767,-1.56979,-1.45866,-0.00686627,-0.477656,-0.199993,-1.00356,-0.894386,0.0677827,6.75965,0.204589,0.158742,120000,133
-2.36344,-1.69826,-1.57566,-0.207358,-0.262043,-0.455439,-0.326516,-0.851401,0.0736617,6.62149,0.207803,0.155362,121000,136
-2.34489,-1.69542,-1.57049,-0.186525,-0.225203,-0.493605,-0.13263,-0.882603,0.0677973,6.61262,0.202409,0.158944,122000,139
-2.48768,-1.73435,-1.58026,-0.0566517,-0.270235,-0.317468,-0.320195,-0.806919,0.0741164,6.69057,0.206762,0.160659,123000,142
-2.3217,-1.51886,-1.43534,-0.331511,-0.381707,-0.625945,-0.428948,-1.07023,0.0770418,6.72038,0.204607,0.154777,124000,145
-2.38808,-1.47597,-1.31317,-0.492742,-0.41866,-0.751229,-0.430662,-1.13425,0.0793043,6.65589,0.205013,0.156486,125000,148
-2.58249,-1.68816,-1.54775,-0.183564,-0.279965,-0.519015,0.0559012,-1.17094,0.0791209,6.65786,0.205176,0.159438,126000,151
-2.51993,-1.69888,-1.53493,-0.349484,-0.279665,-0.527184,0.00468108,-1.12058,0.0739294,6.67038,0.206441,0.155341,127000,154
-2.39256,-1.47029,-1.36835,-0.234375,-0.585423,-0.57622,-0.710116,-1.1012,0.0843859,6.69359,0.204624,0.153419,128000,156
-2.03808,-1.40557,-1.24674,-0.409408,-0.57235,-0.640168,-0.94203,-0.93289,0.071793,6.70055,0.20293,0.156265,129000,160
-2.16602,-1.55339,-1.40281,-0.201919,-0.418541,-0.478899,-0.667094,-0.88638,0.0670217,6.6224,0.205264,0.156406,130000,162
-2.07524,-1.41486,-1.22829,-0.361869,-0.568742,-0.597982,-1.01683,-0.896775,0.0726103,6.67146,0.203473,0.156414,131000,165
-1.93521,-1.25147,-1.10194,-0.432735,-0.683184,-0.691619,-1.41125,-0.833431,0.0692171,6.68356,0.202846,0.156237,132000,167
-2.14396,-1.28965,-1.1869,-0.58562,-0.621913,-0.708655,-1.06256,-1.09901,0.0786528,6.65157,0.204256,0.155138,133000,170
-2.00346,-1.24701,-1.09762,-0.481518,-0.761773,-0.828354,-1.10745,-1.00578,0.0747868,6.72234,0.205189,0.156929,134000,173
-2.14655,-1.42173,-1.28196,-0.285297,-0.591048,-0.602743,-0.896755,-0.968602,0.0715024,6.64784,0.205382,0.155745,135000,175
-2.04179,-1.45915,-1.30404,-0.2005,-0.63297,-0.488478,-0.974728,-0.836546,0.0632225,6.61149,0.207146,0.156276,136000,179
-2.1995,-1.53509,-1.43841,-0.283593,-0.425273,-0.54429,-0.50958,-1.02881,0.070855,6.63069,0.201427,0.1556,137000,182
-2.12348,-1.41909,-1.26859,-0.170346,-0.698648,-0.545711,-1.04278,-0.944571,0.0719651,6.7146,0.202416,0.153096,138000,184
-2.04774,-1.29672,-1.1638,-0.427159,-0.697124,-0.725383,-1.13693,-1.04935,0.0752755,6.59522,0.197914,0.153374,139000,187
-2.14365,-1.23834,-1.12155,-0.574821,-0.741556,-0.853909,-0.928951,-1.18029,0.0739802,6.67174,0.201916,0.15385,140000,191
-2.16961,-1.33618,-1.19999,-0.444399,-0.628654,-0.755813,-0.924873,-1.0626,0.0779311,6.56604,0.204345,0.15308,141000,194
-2.04348,-1.45823,-1.29555,-0.252975,-0.597513,-0.539664,-1.04425,-0.899966,0.0662034,6.65183,0.203603,0.153152,142000,196
-2.15051,-1.32784,-1.16643,-0.342679,-0.718496,-0.677836,-1.11326,-1.03641,0.0766298,6.69174,0.202992,0.153321,143000,199
-2.27306,-1.53651,-1.42358,-0.196934,-0.504552,-0.563871,-0.606984,-0.975187,0.0750087,6.60023,0.204447,0.154956,144000,202
-2.39609,-1.70097,-1.55721,0.0255793,-0.266509,-0.400187,-0.522787,-0.708577,0.0721412,6.56427,0.205744,0.15605,145000,205
-2.36022,-1.46853,-1.30153,-0.350516,-0.533164,-0.624532,-0.817353,-0.990236,0.0809472,6.60849,0.204084,0.151153,146000,209
-2.23899,-1.4015,-1.25515,-0.410854,-0.560128,-0.626484,-0.908791,-0.986773,0.0822145,6.68945,0.205258,0.155006,147000,212
-2.29615,-1.54767,-1.42774,-0.0929022,-0.512932,-0.530028,-0.658994,-0.906199,0.0753957,6.55433,0.203006,0.154667,148000,215
-2.34289,-1.65519,-1.48916,-0.190366,-0.366598,-0.552191,-0.363254,-0.94331,0.066672,6.83828,0.203738,0.154347,149000,218
-2.33619,-1.58539,-1.45856,-0.169175,-0.44627,-0.520819,-0.576969,-0.934955,0.0769266,6.59924,0.199751,0.152279,150000,221
-2.28735,-1.5834,-1.42095,-0.124633,-0.42193,-0.609627,-0.474553,-0.978135,0.0769765,6.68359,0.199369,0.154764,151000,224
-2.22747,-1.49016,-1.35662,-0.223153,-0.47792,-0.600746,-0.863981,-0.948841,0.0765621,6.5158,0.202268,0.152297,152000,228
-2.42877,-1.64887,-1.51029,-0.057859,-0.358489,-0.451571,-0.572173,-0.907986,0.0753531,6.75526,0.1975,0.150982,153000,230
-2.45895,-1.6586,-1.5593,-0.0221453,-0.362916,-0.393221,-0.451083,-0.960836,0.0765291,6.48572,0.203662,0.153767,154000,233
-2.49024,-1.69373,-1.56394,0.0225078,-0.313051,-0.415575,-0.392374,-0.892545,0.0759879,6.67451,0.20241,0.153162,155000,235
-2.45413,-1.69324,-1.54233,-0.117693,-0.315482,-0.508833,-0.201339,-1.04734,0.0700954,6.63768,0.20537,0.150554,156000,238
-2.48896,-1.69621,-1.56765,-0.0877503,-0.299039,-0.430422,-0.220213,-1.065,0.0743142,6.6964,0.200608,0.155082,157000,241
-2.35026,-1.62938,-1.49803,-0.11785,-0.309048,-0.491106,-0.429505,-0.918864,0.0711847,6.56143,0.199111,0.156868,158000,243
-2.28089,-1.53634,-1.42172,-0.287082,-0.400748,-0.598741,-0.515279,-1.00564,0.0720679,6.70852,0.202468,0.154861,159000,245
-2.3213,-1.59005,-1.42261,-0.333671,-0.338485,-0.617071,-0.46765,-0.930182,0.0732356,6.61794,0.201924,0.153958,160000,247
-2.3375,-1.41833,-1.24012,-0.434522,-0.594453,-0.727697,-0.750473,-1.05795,0.0819837,6.64879,0.201902,0.153406,161000,250
-2.21971,-1.37324,-1.20496,-0.54472,-0.652395,-0.712614,-0.884457,-1.1028,0.0816915,6.75626,0.201434,0.152843,162000,253
-2.44003,-1.33121,-1.18821,-0.622695,-0.675022,-0.912639,-0.590956,-1.38701,0.0934266,6.61069,0.202656,0.151352,163000,255
-2.26819,-1.46347,-1.29687,-0.344498,-0.605894,-0.661761,-0.722986,-1.06493,0.0796645,6.74326,0.205443,0.151846,164000,258
-1.94183,-1.23076,-1.06978,-0.472574,-0.807243,-0.736535,-1.41043,-1.00405,0.0733397,6.61498,0.205791,0.151868,165000,260
-1.97799,-1.26036,-1.08681,-0.489839,-0.789207,-0.71919,-1.32528,-1.06343,0.0736795,6.55911,0.20007,0.152079,166000,263
-1.91082,-1.1599,-1.03213,-0.502805,-0.878024,-0.774271,-1.49223,-0.996393,0.0716302,6.66616,0.204833,0.153892,167000,266
-2.07006,-1.32072,-1.23685,-0.268858,-0.668102,-0.59883,-1.34552,-0.881856,0.0689849,6.64424,0.203713,0.153559,168000,269
-2.14451,-1.35303,-1.21105,-0.332406,-0.659133,-0.650132,-1.17669,-0.95496,0.0748927,6.62485,0.201594,0.153536,169000,272
-2.23677,-1.38995,-1.24949,-0.294873,-0.659871,-0.615129,-0.962125,-1.03308,0.0782777,6.73441,0.201281,0.152291,170000,274
-2.13167,-1.47325,-1.34139,-0.245635,-0.48968,-0.628524,-0.774841,-0.980632,0.07434,6.69921,0.204485,0.153476,171000,277
-2.07843,-1.28117,-1.18398,-0.430815,-0.727387,-0.609266,-1.23307,-0.991561,0.075088,6.65032,0.198516,0.155501,172000,281
-2.26678,-1.46472,-1.31785,-0.303547,-0.533728,-0.593107,-0.847318,-1.08774,0.0811137,6.57965,0.197302,0.152426,173000,284
-2.15363,-1.43491,-1.30605,-0.129713,-0.640351,-0.510223,-1.14751,-0.902835,0.0753417,6.68643,0.200132,0.151863,174000,287
-2.17029,-1.45358,-1.27871,-0.329434,-0.577686,-0.645306,-0.839409,-1.0594,0.0808751,6.58014,0.202616,0.154152,175000,289
-2.32239,-1.39857,-1.27322,-0.37636,-0.570223,-0.685264,-0.917093,-1.10422,0.0811458,6.66129,0.201245,0.151089,176000,293
-2.12907,-1.43571,-1.25209,-0.336534,-0.569034,-0.666152,-0.97612,-1.01718,0.0767702,6.63832,0.198101,0.152548,177000,296
-2.19276,-1.51614,-1.36964,-0.199535,-0.553749,-0.49007,-0.897246,-0.933707,0.0733211,6.6191,0.202187,0.150492,178000,300
-2.27083,-1.51023,-1.3651,-0.27514,-0.431971,-0.648263,-0.697809,-0.968429,0.0802646,6.69178,0.202401,0.152205,179000,303
-2.31163,-1.45861,-1.31509,-0.269637,-0.587709,-0.532707,-0.959807,-1.00326,0.0841114,6.69655,0.202478,0.153591,180000,306
-2.19123,-1.52299,-1.36617,-0.0964193,-0.516687,-0.466822,-1.16341,-0.766919,0.0723533,6.74962,0.199099,0.151527,181000,309
-2.20628,-1.43442,-1.30092,-0.183899,-0.57827,-0.595949,-1.05394,-0.963751,0.0743995,6.69318,0.197869,0.150273,182000,312
-2.12188,-1.28924,-1.15187,-0.362745,-0.797739,-0.583478,-1.38922,-1.0766,0.0804729,6.6938,0.199591,0.149959,183000,316
-2.15411,-1.4481,-1.35206,-0.200626,-0.62424,-0.526116,-0.939684,-1.07626,0.0690225,6.68806,0.200427,0.149956,184000,319
-2.3958,-1.64384,-1.48595,-0.0982565,-0.39031,-0.458766,-0.659667,-1.02092,0.07347,6.69254,0.197485,0.148811,185000,322
