BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-1.59108,-1.05738,-0.856343,-0.508143,-1.03466,-0.593671,-1.7115,-0.833365,0.0569422,6.6638,0.222455,0.170178,42000,48
-1.56682,-1.04045,-0.857939,-0.510973,-0.984237,-0.68919,-1.72546,-0.837861,0.0663762,6.53931,0.218108,0.172206,43000,49
-1.50356,-0.924471,-0.735053,-0.575905,-1.07575,-0.59805,-2.24897,-0.666192,0.0590722,6.77504,0.221945,0.172423,44000,50
-1.38767,-0.889776,-0.719073,-0.578726,-1.15835,-0.680462,-2.27462,-0.738392,0.0559762,6.71323,0.215313,0.170776,45000,52
-1.38147,-0.808115,-0.65127,-0.640003,-1.20403,-0.718366,-2.33677,-0.82329,0.0627683,6.69086,0.222332,0.173184,46000,53
-1.37849,-0.90518,-0.706638,-0.662773,-1.22354,-0.641836,-2.08711,-0.892524,0.0579319,6.5552,0.219097,0.16874,47000,54
-1.56329,-0.963908,-0.778043,-0.550212,-1.08,-0.712907,-1.90054,-0.936773,0.0664368,6.66892,0.221357,0.169373,48000,55
-1.64814,-1.10368,-0.928525,-0.442978,-0.918828,-0.560263,-1.7219,-0.739852,0.0569537,6.71759,0.218946,0.170475,49000,57
-1.61326,-1.15569,-0.976815,-0.479301,-0.89628,-0.505991,-1.51738,-0.873963,0.0548407,6.62991,0.220356,0.169398,50000,58
-1.84729,-1.33742,-1.12061,-0.336369,-0.701399,-0.445365,-1.266,-0.706878,0.0623942,6.5691,0.219677,0.1675,51000,59
-1.79147,-1.2937,-1.09139,-0.45351,-0.658767,-0.574851,-1.08084,-0.912357,0.0576373,6.7277,0.217215,0.170718,52000,60
-1.70757,-1.2463,-1.02762,-0.526806,-0.748831,-0.623248,-1.17419,-0.98784,0.0613963,6.73032,0.221318,0.168053,53000,62
-1.83864,-1.35043,-1.15723,-0.306284,-0.663677,-0.506281,-1.16087,-0.782484,0.0534798,6.70286,0.222557,0.166513,54000,63
-1.88992,-1.3258,-1.16686,-0.36688,-0.65598,-0.470279,-1.28037,-0.797047,0.0639841,6.67055,0.220199,0.167035,55000,64
-1.8471,-1.37065,-1.20917,-0.0836337,-0.701983,-0.359819,-1.24934,-0.716065,0.0549196,6.71258,0.220221,0.166921,56000,65
-1.80869,-1.28729,-1.08889,-0.289822,-0.692716,-0.416449,-1.55786,-0.678621,0.058179,6.6465,0.216996,0.166912,57000,66
-1.90606,-1.38474,-1.23789,-0.193318,-0.621944,-0.373711,-1.27844,-0.63391,0.0587065,6.61984,0.216974,0.16717,58000,67
-1.83866,-1.31575,-1.15237,-0.319623,-0.705904,-0.443057,-1.39072,-0.708466,0.0566463,6.68267,0.220778,0.164942,59000,68
