BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-1.57983,-1.04272,-0.86692,-0.571972,-1.66222,-0.67322,0.0129871,0.0605826,0.00236138,6.78446,0.225775,0.172106,42000,45
-1.8405,-1.19219,-1.00892,-0.522156,-1.29717,-0.660663,0.0155081,0.0612437,0.000854252,6.64772,0.221445,0.17233,43000,46
-1.68934,-1.12387,-0.941962,-0.5177,-1.48828,-0.63489,0.0154562,0.0557322,0.000101195,6.73068,0.225984,0.171252,44000,47
-1.80378,-1.19754,-0.972397,-0.495873,-1.36338,-0.659202,0.0191345,0.0574771,0.0017291,6.7236,0.221948,0.171613,45000,48
-1.74865,-1.09557,-0.89358,-0.505126,-1.68835,-0.626157,0.0139464,0.0650473,0.00113425,6.7312,0.220045,0.172136,46000,48
-1.77628,-1.04223,-0.883727,-0.622698,-1.5834,-0.737143,0.0171706,0.0674659,0.000473186,6.64937,0.220996,0.170199,47000,49
-1.60245,-0.871443,-0.691858,-0.723532,-1.97634,-0.748322,0.0238381,0.0511596,6.24471e-05,6.6614,0.218655,0.171079,48000,50
-1.7301,-0.987164,-0.768493,-0.549365,-1.89079,-0.751628,0.00912494,0.0757336,0.000173374,6.67114,0.22,0.172579,49000,52
-1.64901,-0.92358,-0.752893,-0.601117,-1.97067,-0.713645,0.0159817,0.0748601,0.00107169,6.56,0.220193,0.170125,50000,53
-1.61788,-0.866992,-0.676915,-0.673729,-2.05843,-0.77876,0.0159934,0.0716708,0.00244078,6.61633,0.21546,0.169069,51000,54
-1.59841,-0.941587,-0.780169,-0.558427,-2.00933,-0.674896,0.0151437,0.0663529,0.000770933,6.54796,0.21972,0.168994,52000,55
-1.57304,-0.948065,-0.716872,-0.539648,-2.07706,-0.766161,0.00796331,0.0742334,0.000664142,6.73361,0.22092,0.168726,53000,57
-1.83959,-1.24148,-1.04113,-0.344697,-1.43178,-0.696559,0.00956624,0.0706681,0.000378013,6.76607,0.218802,0.169659,54000,58
-1.94025,-1.25281,-1.09353,-0.433005,-1.34273,-0.651806,0.0222058,0.0598049,0.00151304,6.79591,0.219097,0.167398,55000,59
-1.92074,-1.26126,-1.03336,-0.285823,-1.46333,-0.595665,0.0111492,0.0675427,0.00013447,6.67947,0.217119,0.169099,56000,60
-1.71947,-1.13965,-0.877578,-0.416857,-1.69875,-0.719122,0.0103655,0.0700493,0.00163411,6.6547,0.216766,0.169979,57000,62
-1.83368,-1.0527,-0.89731,-0.537119,-1.65643,-0.711309,0.0168221,0.0670479,0.00182407,6.74574,0.217765,0.168819,58000,63
-1.86978,-1.16566,-0.966082,-0.435609,-1.45296,-0.701635,0.0134212,0.061578,0.000709898,6.5379,0.218721,0.172152,59000,64
-1.95874,-1.28104,-1.06368,-0.346627,-1.39178,-0.688205,0.0108772,0.071308,0.00106295,6.61275,0.216428,0.165997,60000,65
-1.97419,-1.24069,-1.05951,-0.412449,-1.32529,-0.728233,0.0207808,0.0584333,0.00156996,6.60419,0.212902,0.168078,61000,66
-1.9065,-1.23504,-1.00254,-0.374645,-1.42115,-0.696822,0.0131251,0.069673,0.000270381,6.58552,0.218494,0.168159,62000,67
