BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-9.12023,-7.38421,-0.238136,0,0,0,0.0627348,0.0238853,0.0133799,6.67915,0.207786,0.143071,0,0
-9.11561,-6.77419,-1.53178,0.839632,0.149138,-1.06321,0.0616805,0.102403,0.470587,6.63059,0.220023,0.184375,100,0
-8.3341,-6.571,-1.98722,1.68162,0.0214604,-0.578949,0.0415751,0.122929,0.773234,6.77554,0.262056,0.184128,200,0
-5.97483,-6.63392,-2.07373,1.89264,-0.243035,-0.476877,0.0317961,0.113945,0.776239,6.31015,0.250073,0.182269,300,0
-4.45627,-6.41596,-1.95417,1.74291,-0.343646,-0.488666,0.0248843,0.0934136,0.776913,6.45594,0.247588,0.178796,400,0
-3.75603,-6.46102,-1.98247,1.7381,-0.458715,-0.402514,0.0425302,0.0597753,0.775446,6.34687,0.244409,0.179726,500,0
-3.34777,-6.32268,-1.88202,1.61783,-0.629939,-0.482649,0.0514923,0.0519685,0.777509,6.33211,0.240006,0.179053,600,0
-3.27334,-6.42346,-1.86856,1.60861,-0.736797,-0.404614,0.0451523,0.0519738,0.777476,6.34918,0.237914,0.176435,700,0
-3.11772,-6.29912,-1.80511,1.62149,-0.905405,-0.511712,0.0308978,0.0569297,0.777389,6.44043,0.235435,0.181685,800,0
-3.13726,-6.15774,-1.70527,1.4425,-1.10076,-0.516609,0.0264222,0.0662985,0.777836,6.44987,0.234024,0.177857,900,0
-2.98966,-6.02822,-1.6784,1.41601,-1.15251,-0.588926,0.0192102,0.06258,0.774468,6.56737,0.230515,0.18071,1000,0
-3.01568,-5.84908,-1.67718,1.43299,-1.15413,-0.607221,0.018806,0.0668768,0.777014,6.51706,0.224334,0.180299,1100,0
-2.96029,-5.87584,-1.70184,1.42665,-1.16972,-0.572906,0.0291042,0.0733652,0.777352,6.4606,0.227363,0.179093,1200,0
-2.87076,-5.7344,-1.6698,1.34591,-1.18344,-0.632962,0.0441863,0.0642305,0.772794,6.57266,0.22258,0.17604,1300,0
-2.65392,-5.30269,-1.65044,1.28246,-1.28412,-0.632637,0.0463821,0.0566101,0.777609,6.6731,0.222586,0.171742,1400,0
-2.75342,-5.39027,-1.58196,1.20048,-1.36687,-0.601709,0.030711,0.0698139,0.777138,6.59947,0.2259,0.172409,1500,0
-2.68674,-5.28846,-1.58097,1.20799,-1.39048,-0.614298,0.0411413,0.0644741,0.777218,6.57948,0.221622,0.170565,1600,0
-2.67983,-5.08623,-1.58903,1.25766,-1.42769,-0.638113,0.0431331,0.0590871,0.776826,6.65968,0.219253,0.170409,1700,1
-2.6938,-4.6826,-1.63439,1.15458,-1.30334,-0.656606,0.034672,0.056914,0.777944,6.63099,0.220401,0.170911,1800,1
-2.66997,-4.38459,-1.60979,1.027,-1.30677,-0.671296,0.0382248,0.0648061,0.766963,6.69042,0.220329,0.16762,1900,1
-2.61787,-3.94555,-1.69019,1.07897,-1.30192,-0.695781,0.0321325,0.0578214,0.742958,6.6975,0.218412,0.169228,2000,1
-2.59576,-3.44634,-1.86213,0.839331,-1.03148,-0.698335,0.0566837,0.0499836,0.68799,6.71203,0.218172,0.16707,2100,1
-2.6277,-2.68854,-2.05925,0.559881,-0.706481,-0.860714,0.0876574,0.0296032,0.452898,6.59599,0.21607,0.165829,2200,1
-2.66022,-2.34987,-2.05861,0.378159,-0.624183,-0.853158,0.0622194,0.0123705,0.267654,6.60588,0.219028,0.164417,2300,1
-2.72115,-2.12928,-1.99445,0.114814,-0.498806,-0.985442,0.0446735,0.04646,0.166919,6.76637,0.215196,0.163306,2400,1
-2.77058,-2.13678,-1.97907,0.248336,-0.636249,-0.930789,0.0422578,0.0498431,0.16123,6.58301,0.213563,0.162109,2500,1
-2.78786,-2.11773,-1.97753,0.184404,-0.57199,-1.0164,0.0442306,0.045601,0.155698,6.58732,0.213887,0.159236,2600,1
-2.7513,-2.18195,-1.94602,0.172021,-0.540795,-0.954629,0.0440501,0.0397691,0.154214,6.68228,0.216452,0.158826,2700,1
-2.77281,-2.16932,-1.97903,0.246601,-0.613473,-0.933576,0.046236,0.03844,0.160082,6.73446,0.2162,0.158036,2800,1
-2.71119,-2.11888,-1.99824,0.162437,-0.674159,-0.967133,0.0455646,0.0386757,0.173665,6.63589,0.218797,0.156605,2900,1
-2.72817,-2.17442,-1.97074,0.261516,-0.680853,-0.940157,0.044113,0.0414618,0.159607,6.77268,0.217159,0.156187,3000,1
-2.73261,-2.09265,-1.95963,0.121219,-0.648845,-0.951077,0.0414856,0.034988,0.164163,6.65338,0.218161,0.158377,3100,1
-2.67229,-2.16458,-1.99815,0.248133,-0.684497,-0.962302,0.0438443,0.0253482,0.159959,6.56843,0.218023,0.153745,3200,1
-2.72369,-2.11585,-1.93409,0.178208,-0.749326,-0.975478,0.048165,0.0397922,0.158965,6.75442,0.220719,0.152023,3300,1
-2.59486,-2.03834,-1.87621,0.15224,-0.872725,-0.976224,0.0435525,0.0402596,0.150385,6.67929,0.215888,0.153504,3400,1
-2.62628,-2.03044,-1.81551,0.130528,-0.958923,-0.992338,0.0416469,0.0338264,0.169708,6.64486,0.217583,0.153827,3500,1
-2.63803,-2.01175,-1.83245,0.106428,-0.953015,-1.02235,0.0485785,0.0352335,0.161913,6.6282,0.217143,0.154825,3600,1
-2.584,-1.95716,-1.74746,0.0921904,-1.00414,-1.09425,0.0500525,0.0355824,0.140877,6.68745,0.21876,0.153996,3700,1
-2.55636,-2.01323,-1.82632,0.114892,-0.942312,-1.0347,0.0356924,0.0406594,0.144366,6.76482,0.215217,0.154276,3800,1
-2.38609,-1.97632,-1.80361,0.0708278,-1.00278,-1.06002,0.0462875,0.0151165,0.155939,6.70961,0.215087,0.155089,3900,1
-2.46995,-2.02533,-1.86376,0.0929262,-0.885702,-1.0564,0.0496521,0.0121829,0.157644,6.68322,0.216087,0.155556,4000,1
-2.56645,-2.02372,-1.81792,0.0859143,-0.925094,-1.06656,0.0405314,0.047384,0.16266,6.54627,0.214621,0.15362,4100,2
-2.5171,-2.01336,-1.76675,0.122346,-1.00306,-1.09881,0.0389512,0.0382083,0.152127,6.6817,0.214075,0.153584,4200,2
-2.49342,-1.90205,-1.75535,0.162161,-1.23106,-1.10049,0.0379723,0.0397832,0.1628,6.52795,0.218338,0.153145,4300,2
-2.4995,-1.83764,-1.64765,0.00972002,-1.28781,-1.1602,0.0470368,0.0341329,0.173747,6.6485,0.218086,0.152569,4400,2
-2.40696,-1.81864,-1.62862,-0.007529,-1.27704,-1.17061,0.0411743,0.0379373,0.158576,6.65262,0.211465,0.152799,4500,2
-2.44187,-1.89392,-1.69257,0.165187,-1.31581,-1.06273,0.0419246,0.0445495,0.157075,6.71499,0.217134,0.152926,4600,2
-2.46542,-1.85792,-1.65097,0.120516,-1.35553,-1.09342,0.0450017,0.0405628,0.164851,6.77714,0.218444,0.151471,4700,2
-2.50189,-1.80495,-1.63086,0.0136235,-1.36636,-1.12251,0.0448413,0.0339162,0.146641,6.62294,0.2125,0.152348,4800,2
-2.46672,-1.84177,-1.66384,0.0580548,-1.35184,-1.09598,0.049116,0.0406054,0.152238,6.67378,0.21553,0.152681,4900,2
-2.43652,-1.85423,-1.61161,0.139195,-1.42063,-1.11705,0.0372107,0.0384541,0.146721,6.70244,0.217152,0.154942,5000,2
-2.48649,-1.88741,-1.70406,0.157191,-1.28136,-1.08633,0.0394297,0.0427159,0.138082,6.66074,0.21603,0.151553,5100,2
-2.45681,-1.86756,-1.6921,0.111003,-1.39188,-1.0703,0.0436078,0.0382368,0.165497,6.74184,0.217913,0.153529,5200,2
-2.48419,-1.81127,-1.64704,0.0560443,-1.34729,-1.15628,0.0409846,0.0557521,0.140031,6.59083,0.213021,0.148875,5300,2
-2.4989,-1.90589,-1.69583,0.129392,-1.25524,-1.1035,0.0402309,0.0436431,0.149542,6.57727,0.21053,0.151751,5400,2
-2.42722,-1.96005,-1.75831,0.179247,-1.15269,-1.07425,0.0387687,0.0295251,0.144164,6.68077,0.213006,0.151107,5500,2
-2.52204,-1.91657,-1.71793,0.111951,-1.23585,-1.11876,0.0401271,0.0416047,0.157363,6.6817,0.211902,0.150342,5600,2
-2.43013,-1.89866,-1.71928,0.153382,-1.3149,-1.05867,0.0426749,0.0430441,0.14413,6.73757,0.212334,0.150469,5700,2
-2.42341,-1.83349,-1.63424,0.0894889,-1.37945,-1.08579,0.0311389,0.0501725,0.155789,6.64527,0.213891,0.148719,5800,2
-2.4746,-1.84483,-1.63148,0.0993979,-1.42917,-1.14216,0.0491258,0.0394329,0.16119,6.76015,0.213743,0.151089,5900,2
-2.37528,-1.87327,-1.59911,0.0964786,-1.42292,-1.15656,0.0406482,0.0470786,0.149729,6.7161,0.214105,0.149435,6000,2
-2.35282,-1.8912,-1.68287,0.125817,-1.3157,-1.10872,0.0392936,0.0404629,0.144383,6.69462,0.21237,0.149362,6100,2
-2.41255,-1.85555,-1.62389,0.0676311,-1.37151,-1.13862,0.0430163,0.0383828,0.14419,6.64149,0.215283,0.152101,6200,2
-2.40211,-1.85489,-1.60219,0.0924661,-1.46452,-1.15741,0.0419956,0.0393898,0.158611,6.65208,0.213542,0.148583,6300,2
-2.27801,-1.73529,-1.51166,0.077576,-1.67286,-1.1581,0.0389952,0.0381158,0.138092,6.63684,0.214285,0.149704,6400,3
-2.47454,-1.72534,-1.52337,0.0571981,-1.61004,-1.1559,0.0376317,0.0551962,0.126463,6.69008,0.218989,0.150499,6500,3
-2.36947,-1.73535,-1.55526,-0.0293398,-1.55599,-1.1921,0.0400581,0.0525754,0.162044,6.66597,0.213836,0.149978,6600,3
-2.32987,-1.69981,-1.53704,0.0486839,-1.61243,-1.17958,0.0328741,0.0486589,0.123203,6.73023,0.20902,0.148777,6700,3
-2.35461,-1.79399,-1.59963,0.0947748,-1.43437,-1.21114,0.038857,0.0452924,0.132995,6.65327,0.213563,0.147853,6800,3
-2.37143,-1.83993,-1.65044,0.143804,-1.3928,-1.14657,0.0334421,0.041849,0.135586,6.55235,0.213328,0.148123,6900,3
-2.31961,-1.77761,-1.5818,0.133264,-1.52504,-1.1607,0.0345227,0.0399968,0.124965,6.69654,0.211048,0.150599,7000,3
-2.42156,-1.76919,-1.56256,0.113631,-1.56114,-1.16421,0.0373982,0.0485708,0.130141,6.69175,0.214707,0.147983,7100,3
-2.35324,-1.80112,-1.57367,0.101875,-1.55805,-1.13717,0.0413647,0.0475643,0.138023,6.61839,0.21482,0.147426,7200,3
-2.38428,-1.80532,-1.6259,0.0816816,-1.54526,-1.11577,0.0370289,0.0455609,0.156172,6.57982,0.21382,0.145047,7300,3
-2.41523,-1.7643,-1.59598,0.0149423,-1.52372,-1.17591,0.0387402,0.0466552,0.149038,6.5412,0.209346,0.147395,7400,3
-2.33264,-1.70616,-1.54203,0.00219112,-1.63444,-1.1931,0.038383,0.0488662,0.151939,6.65552,0.213687,0.147712,7500,3
-2.33148,-1.76722,-1.61512,0.0460679,-1.49936,-1.17353,0.0302129,0.0565321,0.136539,6.57558,0.21548,0.148844,7600,3
-2.40979,-1.75441,-1.54642,0.0870805,-1.56776,-1.16361,0.0273923,0.0569714,0.131454,6.65496,0.214471,0.146096,7700,3
-2.32427,-1.7595,-1.54051,0.0666702,-1.57447,-1.16917,0.0261391,0.0670924,0.126885,6.51097,0.213194,0.147033,7800,3
-2.2964,-1.74253,-1.53104,0.115793,-1.65716,-1.19703,0.0313355,0.0485339,0.128087,6.66945,0.213202,0.147484,7900,3
-2.42408,-1.73638,-1.52639,0.0217679,-1.56137,-1.20437,0.0327151,0.0634644,0.122355,6.59612,0.212564,0.147184,8000,3
-2.31467,-1.73409,-1.53702,0.0674187,-1.64029,-1.14445,0.0350271,0.0427007,0.140916,6.60614,0.211875,0.148325,8100,3
-2.45185,-1.83116,-1.59122,0.109137,-1.50911,-1.13667,0.0332069,0.0537463,0.146487,6.71476,0.20982,0.145483,8200,3
