BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.52801,-1.80392,-1.60876,0.0877231,-1.46605,-1.2054,0.0426547,0.0540853,0.150316,6.75812,0.210182,0.146182,8300,3
-2.46838,-1.82689,-1.61398,0.0148637,-1.40973,-1.20759,0.0398769,0.047869,0.148008,6.61097,0.212022,0.146596,8400,3
-2.41974,-1.84572,-1.61619,0.0586289,-1.41157,-1.18932,0.0324321,0.0576328,0.141561,6.69143,0.214597,0.145968,8500,3
-2.46257,-1.84715,-1.65762,0.0996361,-1.34883,-1.20308,0.0385547,0.0492027,0.147017,6.64811,0.211177,0.146251,8600,3
-2.47088,-1.88249,-1.68932,0.170152,-1.37926,-1.17104,0.0382734,0.057707,0.142368,6.60222,0.21223,0.145964,8700,3
-2.41035,-1.97508,-1.74462,0.208854,-1.19105,-1.12854,0.0351136,0.0461884,0.135659,6.57531,0.211537,0.146951,8800,4
-2.4293,-1.91494,-1.69373,0.101994,-1.21292,-1.17975,0.0349932,0.0445298,0.128876,6.71776,0.210126,0.14512,8900,4
-2.45234,-1.88897,-1.69533,0.0682486,-1.30637,-1.18002,0.0387127,0.0455626,0.143879,6.74599,0.211598,0.146291,9000,4
-2.46682,-1.77911,-1.57941,-0.00196175,-1.43385,-1.21904,0.0399383,0.0451875,0.13075,6.79078,0.212829,0.145146,9100,4
-2.44533,-1.8565,-1.64947,0.0459644,-1.34149,-1.21402,0.0337874,0.0545022,0.148609,6.58133,0.210564,0.146566,9200,4
-2.32624,-1.8524,-1.62432,0.0493851,-1.36553,-1.16763,0.0345586,0.0394745,0.126865,6.60432,0.212952,0.144229,9300,4
-2.46439,-1.77674,-1.59445,-0.00959904,-1.46034,-1.18637,0.0401991,0.0490633,0.130018,6.56985,0.213508,0.144822,9400,4
-2.5207,-1.82158,-1.59456,0.0785233,-1.49986,-1.22708,0.046044,0.0453471,0.131483,6.73393,0.210983,0.143461,9500,4
-2.47165,-1.85417,-1.68712,0.0283371,-1.26369,-1.22061,0.0387731,0.0488486,0.142504,6.56544,0.208622,0.144968,9600,4
-2.48694,-1.84538,-1.63129,0.0930262,-1.3196,-1.25427,0.0359123,0.0527752,0.12162,6.61105,0.211011,0.146872,9700,4
-2.51666,-1.87317,-1.67387,0.110825,-1.33427,-1.19374,0.0351417,0.0518996,0.149141,6.71368,0.213196,0.143313,9800,4
-2.35734,-1.85038,-1.60561,0.0246626,-1.40379,-1.20214,0.0317053,0.0494237,0.133554,6.66632,0.209846,0.146071,9900,4
-2.31421,-1.75926,-1.56608,0.0861567,-1.58405,-1.22641,0.0324501,0.0545292,0.12517,6.57841,0.211277,0.143659,10000,4
-2.41758,-1.73585,-1.55016,0.0071422,-1.59701,-1.234,0.031227,0.0625462,0.140698,6.70127,0.212475,0.14145,10100,4
-2.4082,-1.77167,-1.5914,-0.0109319,-1.48876,-1.21106,0.0357816,0.0513349,0.142635,6.73148,0.212157,0.143615,10200,4
-2.39174,-1.73518,-1.527,-0.0715133,-1.4527,-1.30244,0.0371581,0.0504967,0.127139,6.78069,0.213734,0.14577,10300,4
-2.36988,-1.80358,-1.59899,0.0289203,-1.47372,-1.23781,0.0391768,0.0470284,0.150764,6.76048,0.213473,0.143503,10400,4
-2.41053,-1.75795,-1.56705,-0.0299811,-1.49327,-1.27624,0.0350726,0.0524089,0.135807,6.61197,0.215124,0.143986,10500,5
-2.46494,-1.7518,-1.54239,-0.0581179,-1.46611,-1.28879,0.0352719,0.062655,0.112534,6.62651,0.212495,0.142464,10600,5
-2.45072,-1.74104,-1.54326,-0.126491,-1.35565,-1.32503,0.036624,0.0532315,0.125676,6.72661,0.212445,0.144451,10700,5
-2.41941,-1.74245,-1.54841,-0.0535088,-1.57484,-1.23223,0.0368327,0.0625965,0.142997,6.58766,0.208833,0.143418,10800,5
-2.39022,-1.74107,-1.54792,0.0454044,-1.63846,-1.22022,0.0302408,0.0696055,0.125553,6.74384,0.21216,0.144909,10900,5
-2.40353,-1.6588,-1.47267,-0.106341,-1.68415,-1.25438,0.0448006,0.0536806,0.123899,6.50929,0.212095,0.143238,11000,5
-2.47055,-1.65404,-1.47946,-0.122413,-1.67394,-1.32196,0.036235,0.0745025,0.132034,6.61216,0.214774,0.143135,11100,5
-2.46106,-1.63419,-1.45475,-0.125151,-1.76248,-1.27376,0.0379817,0.0630277,0.147597,6.70588,0.21468,0.140981,11200,5
-2.51596,-1.72776,-1.5253,-0.0114889,-1.59217,-1.28252,0.0449295,0.0579068,0.12894,6.69633,0.215366,0.142811,11300,5
-2.47001,-1.69747,-1.51402,-0.0259385,-1.70179,-1.2325,0.0339926,0.0632364,0.143279,6.63876,0.213123,0.142551,11400,5
-2.32815,-1.5113,-1.35104,-0.123269,-1.97598,-1.36133,0.0393086,0.056681,0.131112,6.61725,0.216556,0.141674,11500,5
-2.35063,-1.55145,-1.33366,-0.152434,-1.88523,-1.33975,0.0367361,0.0678249,0.115682,6.62595,0.215893,0.143068,11600,5
-2.43329,-1.51714,-1.36315,-0.137635,-1.94544,-1.31341,0.0429524,0.0593,0.122884,6.73689,0.211423,0.145207,11700,5
-2.40544,-1.63403,-1.43143,-0.0129349,-1.88932,-1.24741,0.0415496,0.0620567,0.141317,6.61762,0.211874,0.142823,11800,5
-2.45246,-1.65442,-1.43346,-0.0295609,-1.82352,-1.27412,0.0400096,0.0619923,0.136623,6.66214,0.210609,0.142861,11900,5
-2.42044,-1.62049,-1.44875,-0.131782,-1.77701,-1.24594,0.0341265,0.0745046,0.136041,6.66635,0.212344,0.142916,12000,5
-2.44634,-1.657,-1.43528,-0.00681277,-1.8111,-1.2458,0.0384474,0.0687852,0.114524,6.72436,0.209617,0.143512,12100,6
-2.54909,-1.62119,-1.42895,-0.00409548,-1.83096,-1.2349,0.0454702,0.0601448,0.109109,6.7554,0.211405,0.143324,12200,6
-2.46035,-1.6339,-1.44424,-0.0970131,-1.73281,-1.29429,0.0411241,0.064484,0.131446,6.81457,0.210171,0.144235,12300,6
-2.44166,-1.63637,-1.40511,-0.0385125,-1.80024,-1.24353,0.0356825,0.0554406,0.106447,6.6512,0.210573,0.144843,12400,6
-2.43998,-1.62553,-1.44804,-0.0187757,-1.77539,-1.26344,0.0391447,0.0587638,0.117665,6.61828,0.208955,0.143902,12500,6
-2.56153,-1.68522,-1.496,-0.0821046,-1.63691,-1.26825,0.0479055,0.0544694,0.148643,6.7525,0.211419,0.143279,12600,6
-2.44496,-1.68459,-1.50124,-0.0219984,-1.68249,-1.25308,0.0387448,0.0577768,0.129903,6.74998,0.21066,0.143692,12700,6
-2.45197,-1.7176,-1.49143,0.025543,-1.65505,-1.25928,0.035121,0.0603219,0.128353,6.6002,0.211792,0.143775,12800,6
-2.42304,-1.78475,-1.5621,0.0418675,-1.54372,-1.22256,0.0315504,0.0614517,0.135509,6.58883,0.211027,0.143956,12900,6
-2.43356,-1.7301,-1.54792,0.0139199,-1.57363,-1.2116,0.0296674,0.0595599,0.122832,6.59925,0.209732,0.143574,13000,6
-2.42322,-1.73419,-1.5511,0.034558,-1.58545,-1.22476,0.0358309,0.0524117,0.117877,6.65776,0.212138,0.1444,13100,6
-2.47853,-1.74134,-1.52593,0.043988,-1.55426,-1.23926,0.0354468,0.0561568,0.121864,6.72989,0.209435,0.143401,13200,6
-2.41467,-1.81348,-1.61219,0.112255,-1.49175,-1.13777,0.0366095,0.0545015,0.125826,6.67487,0.212809,0.145153,13300,6
-2.40918,-1.74617,-1.53594,0.0298768,-1.58682,-1.20784,0.0312516,0.0564735,0.115781,6.68335,0.212899,0.143797,13400,6
-2.39234,-1.71007,-1.50008,0.0894732,-1.68153,-1.17685,0.0346712,0.0548201,0.104216,6.57413,0.211736,0.142729,13500,6
-2.35377,-1.67457,-1.48327,-0.0305742,-1.6792,-1.29316,0.0335138,0.0519761,0.133009,6.67777,0.21233,0.143278,13600,6
-2.55395,-1.71581,-1.54921,0.0180769,-1.5507,-1.23137,0.0381663,0.0587098,0.120716,6.59782,0.212721,0.145152,13700,6
-2.46412,-1.77759,-1.55414,0.0923331,-1.60623,-1.1849,0.0305914,0.0602609,0.131706,6.65252,0.214334,0.143813,13800,6
-2.49999,-1.72736,-1.55786,0.018519,-1.54039,-1.23008,0.0291842,0.074104,0.104479,6.68604,0.210984,0.143023,13900,6
-2.374,-1.68596,-1.54185,-0.0380978,-1.61555,-1.25397,0.0383392,0.0543408,0.125114,6.65655,0.215442,0.143287,14000,7
-2.41516,-1.70018,-1.48146,-0.0466311,-1.67725,-1.25544,0.036736,0.057819,0.119805,6.52142,0.210839,0.141638,14100,7
-2.4017,-1.64896,-1.44991,-0.100086,-1.71423,-1.28425,0.0377165,0.0597522,0.128558,6.74734,0.212332,0.143068,14200,7
-2.45714,-1.5692,-1.40197,-0.177685,-1.76917,-1.314,0.0416084,0.0625575,0.10911,6.62986,0.211739,0.14388,14300,7
-2.50057,-1.60641,-1.39466,-0.0429181,-1.8358,-1.29395,0.0429719,0.0531516,0.114887,6.60614,0.211524,0.144747,14400,7
-2.42301,-1.64062,-1.46123,-0.0592768,-1.79484,-1.23834,0.037774,0.0635233,0.118912,6.60151,0.214995,0.141293,14500,7
-2.41014,-1.60414,-1.39119,-0.0609209,-1.84458,-1.3361,0.0371574,0.062248,0.10588,6.6928,0.212093,0.143599,14600,7
-2.44952,-1.69528,-1.47669,0.0417595,-1.71689,-1.26935,0.0393161,0.0513941,0.126813,6.69871,0.214896,0.142502,14700,7
-2.48343,-1.72225,-1.47531,0.0241131,-1.70607,-1.23312,0.0383265,0.0590554,0.121241,6.67267,0.211549,0.143096,14800,7
-2.44092,-1.77468,-1.56154,0.0816088,-1.60701,-1.16385,0.0343704,0.055817,0.123281,6.63004,0.211372,0.142569,14900,7
-2.4022,-1.73805,-1.53265,0.0316861,-1.54741,-1.20405,0.0358498,0.052085,0.0979845,6.67756,0.212283,0.142133,15000,7
-2.40377,-1.75914,-1.522,0.00924085,-1.5478,-1.21924,0.0372937,0.0499144,0.100733,6.70947,0.20948,0.142454,15100,7
-2.40354,-1.68956,-1.47455,-0.0458375,-1.60032,-1.22307,0.0300414,0.0632646,0.112305,6.66508,0.211068,0.144947,15200,7
-2.49828,-1.64131,-1.45534,-0.0279358,-1.73678,-1.23579,0.0350606,0.0662482,0.116277,6.72585,0.214184,0.142255,15300,7
-2.36524,-1.62124,-1.40965,0.0202846,-1.829,-1.21408,0.0363619,0.0658177,0.102522,6.61979,0.212978,0.143676,15400,7
-2.34239,-1.62505,-1.40411,-0.062338,-1.81067,-1.24201,0.0387657,0.0568933,0.12845,6.53708,0.21014,0.144287,15500,7
-2.33663,-1.60825,-1.39992,-0.0743731,-1.85862,-1.26013,0.0385152,0.0568873,0.123381,6.66166,0.208756,0.144467,15600,7
-2.41761,-1.59999,-1.41372,-0.12829,-1.79113,-1.23941,0.0343603,0.065623,0.115957,6.7077,0.215069,0.142987,15700,7
-2.4756,-1.63322,-1.42401,-0.0898184,-1.79451,-1.22466,0.042567,0.0578819,0.117845,6.66368,0.21159,0.141557,15800,7
-2.39836,-1.58568,-1.39761,-0.18274,-1.76105,-1.2848,0.0426634,0.053868,0.123602,6.6902,0.210935,0.141147,15900,7
-2.33132,-1.62768,-1.44332,-0.0443197,-1.84147,-1.23027,0.0379347,0.0564532,0.141424,6.64079,0.2147,0.142738,16000,7
-2.44215,-1.64803,-1.44546,-0.0633545,-1.76044,-1.22751,0.0361767,0.0584984,0.127255,6.69257,0.214312,0.144549,16100,7
-2.44877,-1.66448,-1.45455,-0.00880353,-1.69793,-1.26101,0.0292197,0.0731713,0.110568,6.66592,0.215053,0.143452,16200,8
-2.33644,-1.64737,-1.43584,-0.078295,-1.73147,-1.1997,0.0353911,0.0572854,0.109564,6.6142,0.211491,0.142855,16300,8
-2.40663,-1.68918,-1.47871,-0.0276285,-1.69347,-1.2384,0.0383442,0.0483009,0.119601,6.65383,0.213244,0.143755,16400,8
-2.33192,-1.62512,-1.45707,-0.117488,-1.68221,-1.337,0.0373792,0.0556328,0.132067,6.63127,0.212653,0.140883,16500,8
-2.34332,-1.54169,-1.37056,-0.119555,-1.90924,-1.31279,0.0316259,0.0660856,0.116835,6.69487,0.209585,0.142852,16600,8
-2.20636,-1.57496,-1.37769,-0.106076,-1.90369,-1.2683,0.0310708,0.0625834,0.116045,6.63185,0.211285,0.142402,16700,8
-2.36235,-1.57721,-1.36349,-0.091548,-1.91544,-1.27055,0.028461,0.0673926,0.104557,6.5882,0.214165,0.140776,16800,8
-2.43715,-1.5613,-1.37569,-0.146481,-1.82935,-1.31291,0.0339399,0.0659725,0.103112,6.66703,0.211667,0.142237,16900,8
-2.39222,-1.56803,-1.3844,-0.173546,-1.83265,-1.30095,0.0388847,0.0616931,0.116547,6.77114,0.207078,0.142717,17000,8
-2.38958,-1.53967,-1.39334,-0.190696,-1.84283,-1.32603,0.0367633,0.0674538,0.123359,6.68102,0.209073,0.142687,17100,8
-2.43365,-1.58396,-1.37477,-0.158664,-1.78497,-1.33888,0.0338833,0.0682561,0.109445,6.71523,0.208877,0.142814,17200,8
-2.31665,-1.5611,-1.36734,-0.0712105,-1.94131,-1.25515,0.0362086,0.0662013,0.119243,6.5927,0.208505,0.140556,17300,8
-2.38767,-1.55814,-1.37148,-0.112137,-1.85687,-1.32862,0.0389741,0.0642929,0.11353,6.82251,0.211732,0.142418,17400,8
-2.3286,-1.59799,-1.41786,-0.0873433,-1.82082,-1.25869,0.0446858,0.0470105,0.109948,6.65318,0.212292,0.142602,17500,8
-2.36938,-1.64847,-1.42738,-0.00745602,-1.77771,-1.218,0.029997,0.0648341,0.105561,6.56759,0.210809,0.142517,17600,8
-2.3908,-1.57065,-1.40506,-0.113676,-1.7821,-1.29951,0.0271324,0.0747723,0.114679,6.70437,0.212092,0.141694,17700,8
-2.33163,-1.55072,-1.41341,-0.150998,-1.82044,-1.30996,0.0396666,0.0512195,0.118982,6.65194,0.213589,0.14368,17800,9
-2.36348,-1.65074,-1.41891,-0.0536954,-1.70355,-1.29002,0.0342854,0.0574019,0.116917,6.73896,0.21027,0.142197,17900,9
-2.37517,-1.55696,-1.36923,-0.162592,-1.92234,-1.28519,0.0352923,0.0716986,0.135442,6.6939,0.212102,0.141437,18000,9
-2.34492,-1.56052,-1.38598,-0.090445,-1.89575,-1.34068,0.0281512,0.0730827,0.117128,6.58544,0.211231,0.140576,18100,9
-2.34712,-1.71897,-1.53186,-0.0107082,-1.5979,-1.26707,0.0301394,0.0634429,0.122405,6.61696,0.209927,0.140445,18200,9
-2.34618,-1.67641,-1.53628,-0.00769747,-1.6887,-1.23946,0.0375254,0.056579,0.123853,6.55724,0.212847,0.140071,18300,9
-2.41868,-1.71527,-1.48477,-0.0343756,-1.61165,-1.24763,0.0334187,0.0684798,0.104447,6.69044,0.21122,0.14281,18400,9
-2.4112,-1.71095,-1.49517,-0.0765008,-1.60987,-1.25681,0.0432824,0.0497951,0.140285,6.65053,0.213851,0.143348,18500,9
-2.51068,-1.68514,-1.49519,0.0402706,-1.69068,-1.26184,0.0404294,0.0636161,0.109098,6.56372,0.209583,0.141918,18600,9
-2.41197,-1.67172,-1.40882,-0.015316,-1.724,-1.26161,0.0353585,0.0599487,0.114424,6.70808,0.214693,0.14435,18700,9
-2.36366,-1.63513,-1.41295,-0.0631437,-1.79933,-1.27903,0.0369032,0.0629261,0.114935,6.53737,0.214182,0.143553,18800,9
-2.4245,-1.76305,-1.53399,-0.0288857,-1.56194,-1.20622,0.0326075,0.0609975,0.122196,6.74053,0.212994,0.141491,18900,9
