BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-1.6805,-1.11041,-0.906611,-0.586237,-0.834863,-0.711575,-1.28599,-0.906906,0.017438,0.0548254,4.79571e-05,6.67978,0.228259,0.172524,36000,40
-1.64912,-1.09866,-0.914514,-0.5393,-0.824972,-0.634006,-1.55711,-0.845676,0.0120148,0.057655,0.000413329,6.72574,0.221387,0.170379,37000,40
-1.56855,-0.94446,-0.783593,-0.615553,-1.028,-0.731489,-1.84457,-0.858959,0.00937802,0.0673932,0.000343117,6.63918,0.227203,0.171554,38000,41
-1.58314,-0.95701,-0.746464,-0.736352,-0.946482,-0.731166,-1.93791,-0.792725,0.0159485,0.0602464,0.000459141,6.73103,0.220439,0.168146,39000,42
-1.69222,-1.103,-0.900512,-0.6112,-0.793788,-0.586072,-1.73609,-0.791932,0.0137394,0.0652042,0.0010442,6.61788,0.222242,0.170584,40000,43
-1.58335,-1.05061,-0.794036,-0.499554,-0.91757,-0.654899,-1.89459,-0.828966,0.0131569,0.0628435,0.000885573,6.59734,0.223923,0.170647,41000,44
-1.77998,-1.02914,-0.87416,-0.582108,-0.8803,-0.675913,-1.67811,-0.783537,0.0233897,0.0522486,0.00121113,6.61754,0.222709,0.170046,42000,45
-1.58203,-0.898207,-0.733244,-0.735459,-1.09197,-0.789522,-1.9367,-0.889685,0.0184158,0.061715,0.000939988,6.75973,0.222473,0.16996,43000,46
-1.59024,-0.932893,-0.69699,-0.678868,-1.07804,-0.665438,-2.05359,-0.888712,0.0117817,0.0629255,0.000841025,6.65283,0.22141,0.168333,44000,48
-1.5339,-0.99471,-0.781239,-0.584226,-0.99738,-0.59145,-2.08062,-0.752284,0.0105931,0.0571316,0.000690787,6.71688,0.224891,0.16913,45000,49
-1.62806,-0.876165,-0.681428,-0.807728,-1.08776,-0.780812,-1.89117,-0.995108,0.0222012,0.0554117,0.00115821,6.64802,0.220374,0.171076,46000,50
-1.5077,-0.973194,-0.729003,-0.691675,-1.06371,-0.662308,-1.95929,-0.883728,0.0114467,0.0587138,0.00188692,6.75756,0.224072,0.170494,47000,51
-1.64794,-0.980951,-0.761728,-0.725986,-0.932575,-0.718252,-1.92224,-0.864825,0.0220906,0.0538145,0.000360652,6.62618,0.218842,0.168195,48000,53
-1.74674,-1.19115,-1.00636,-0.421506,-0.746353,-0.447712,-1.58987,-0.730057,0.0124061,0.0593465,0.000182868,6.67208,0.221446,0.168978,49000,54
-1.68433,-1.09978,-0.904584,-0.63726,-0.84468,-0.577469,-1.72022,-0.832531,0.0197093,0.0541817,8.08525e-05,6.70701,0.220573,0.169297,50000,55
-1.68859,-1.11502,-0.910969,-0.489246,-0.897721,-0.550592,-1.66977,-0.861988,0.0187268,0.0509785,0.00191099,6.58456,0.220709,0.171319,51000,56
-1.79203,-1.14664,-0.947387,-0.55613,-0.818056,-0.566773,-1.51439,-0.926675,0.0158579,0.0710106,0.000781046,6.51204,0.222108,0.170199,52000,57
-1.8716,-1.23547,-1.02958,-0.253257,-0.817769,-0.492942,-1.3739,-0.846616,0.0216615,0.0569791,0.000833402,6.62311,0.21944,0.168281,53000,58
-1.93117,-1.38019,-1.17793,-0.208626,-0.635458,-0.391829,-0.999802,-0.804597,0.0163117,0.0545072,0.000893408,6.64661,0.220735,0.169064,54000,59
-1.93237,-1.34541,-1.13732,-0.353193,-0.651134,-0.403773,-1.17488,-0.782128,0.0183273,0.0488194,0.000481402,6.60893,0.22017,0.168392,55000,60
-1.8859,-1.18315,-0.99479,-0.560765,-0.750924,-0.661126,-1.16471,-1.02344,0.0197386,0.0632364,0.00334921,6.74854,0.220365,0.169594,56000,61
-1.79063,-1.14684,-0.907057,-0.602051,-0.847948,-0.614793,-1.49033,-0.85269,0.0237469,0.0536398,0.00528543,6.56303,0.220217,0.168445,57000,62
-1.91867,-1.25643,-1.05748,-0.432638,-0.76792,-0.511728,-1.19886,-0.874,0.0189135,0.0668613,0.00115142,6.70786,0.218269,0.167554,58000,63
-1.88674,-1.17124,-0.97089,-0.612277,-0.784769,-0.615517,-1.32848,-0.949662,0.0241058,0.0538215,0.00031625,6.72965,0.218697,0.168006,59000,64
-1.76148,-1.18895,-1.01358,-0.448987,-0.8126,-0.515615,-1.41795,-0.837946,0.015254,0.0635126,2.02832e-05,6.68336,0.214205,0.169588,60000,65
-1.86874,-1.19524,-1.00194,-0.563649,-0.742322,-0.605819,-1.33038,-0.914548,0.0204838,0.0634537,0.000706087,6.7027,0.217414,0.16818,61000,66
-1.99421,-1.14455,-0.916915,-0.601858,-0.727739,-0.609798,-1.43361,-1.0179,0.0247921,0.0611864,0.00111594,6.72483,0.219109,0.169621,62000,67
-1.91123,-1.22415,-1.02514,-0.4795,-0.673424,-0.587118,-1.17853,-0.995393,0.0158882,0.0584808,0.00126489,6.62735,0.216778,0.169012,63000,69
-1.90599,-1.15586,-0.971119,-0.616558,-0.728386,-0.694463,-1.26691,-0.930149,0.0280557,0.0528777,0.000750374,6.69087,0.217649,0.167906,64000,70
-1.86438,-1.03781,-0.80845,-0.734996,-0.892123,-0.774113,-1.47686,-1.15364,0.0163896,0.0719812,0.000227226,6.72638,0.215414,0.170385,65000,71
-1.72788,-0.908756,-0.753938,-0.701543,-1.0443,-0.815766,-1.80027,-1.0445,0.0267042,0.0551624,0.000164508,6.65848,0.215483,0.167327,66000,72
