BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-9.12023,-7.38421,-0.238136,0,0,0,0,0,0.0627348,0.0238853,0.0133799,6.67755,0.203063,0.142857,0,0
-3.20698,-5.98622,-1.66654,-0.725775,0.500865,0.211927,-0.377205,-1.57378,0.0493904,0.0793167,0.777718,6.56613,0.223499,0.174881,1000,0
-3.08064,-4.50174,-1.91369,-0.510831,0.541266,0.225006,-0.0612698,-1.62334,0.0303879,0.076854,0.771267,6.59161,0.219864,0.162077,2000,1
-3.05265,-2.60123,-2.42787,0.61736,0.202312,0.235257,0.334113,-1.26695,0.0425672,0.028842,0.155221,6.67239,0.214528,0.153351,3000,2
-3.09116,-2.42185,-2.2516,0.542571,0.0327615,0.0813265,-0.108528,-1.34911,0.0490863,0.046369,0.148156,6.64195,0.215064,0.150832,4000,2
-3.04287,-2.48011,-2.30954,0.60365,0.0780109,0.0757848,0.0131911,-1.32855,0.0454363,0.0281559,0.146353,6.71186,0.216809,0.147886,5000,3
-3.13406,-2.53852,-2.31023,0.373035,0.224392,0.0375418,0.208356,-1.41272,0.0482672,0.042174,0.147419,6.70996,0.216378,0.146066,6000,3
-3.05708,-2.63574,-2.40107,0.594901,0.253897,0.187757,0.154379,-1.20104,0.0465322,0.0301115,0.171431,6.69107,0.21507,0.149191,7000,4
-2.90399,-2.43734,-2.28283,0.515038,0.11243,0.113551,-0.297026,-1.19437,0.0384025,0.0361807,0.1596,6.66062,0.214856,0.14774,8000,5
-2.8626,-2.29783,-2.11172,0.398851,-0.0117441,-0.037903,-0.474936,-1.28262,0.0396708,0.0387995,0.141122,6.53591,0.210896,0.145536,9000,5
-2.70202,-2.04646,-1.89796,0.103855,-0.234507,-0.21727,-0.840865,-1.43378,0.0350318,0.0534299,0.140771,6.69952,0.215177,0.145377,10000,6
-2.86352,-2.12914,-1.98887,0.080573,-0.120432,-0.186647,-0.64248,-1.54936,0.0436497,0.0469166,0.149658,6.77923,0.215258,0.143935,11000,7
-2.91458,-2.01803,-1.86818,0.0299204,-0.212376,-0.306239,-0.755916,-1.55888,0.0462987,0.0511684,0.129004,6.6113,0.216899,0.14489,12000,7
-2.90986,-2.11564,-1.91497,0.0969182,-0.173838,-0.204946,-0.759697,-1.46698,0.041744,0.0544385,0.141011,6.6251,0.215817,0.142886,13000,8
-2.83033,-2.1988,-2.00143,0.122518,-0.0974582,-0.0685389,-0.790808,-1.30804,0.02705,0.0703137,0.129297,6.61978,0.21345,0.144498,14000,9
-2.8316,-2.03249,-1.872,0.123456,-0.268129,-0.222973,-0.874532,-1.44684,0.045981,0.0409544,0.114035,6.67727,0.212786,0.141176,15000,9
-3.12509,-2.18069,-1.97091,0.0060704,-0.0381647,-0.292788,-0.311228,-1.69451,0.0273816,0.0826291,0.13072,6.69504,0.213685,0.144361,16000,10
-2.81609,-2.03209,-1.89225,-0.0269485,-0.214121,-0.287684,-0.710436,-1.49862,0.0362666,0.0553367,0.114592,6.67157,0.210162,0.144133,17000,11
-2.93099,-1.9413,-1.71749,-0.194576,-0.282807,-0.387191,-0.915984,-1.68479,0.0428067,0.0577494,0.108949,6.6546,0.210418,0.141703,18000,11
-2.77631,-1.93491,-1.7312,-0.157597,-0.257928,-0.399988,-1.04814,-1.55195,0.0379516,0.0579534,0.102278,6.58213,0.209442,0.139289,19000,12
-2.91561,-2.00465,-1.82556,-0.0959495,-0.239142,-0.356922,-0.713579,-1.73186,0.0434049,0.055651,0.122936,6.77851,0.211048,0.140032,20000,12
-2.94429,-2.15672,-1.97052,0.0271587,-0.0524418,-0.289188,-0.491237,-1.61709,0.0378874,0.0596231,0.132343,6.68764,0.21009,0.141902,21000,13
-2.9743,-2.12788,-1.89897,0.163359,-0.122234,-0.176562,-0.771969,-1.45808,0.0351873,0.061077,0.107102,6.64698,0.210898,0.139974,22000,14
-2.91273,-2.13438,-1.9614,0.0617448,-0.0530959,-0.270503,-0.59695,-1.57462,0.0268554,0.0739254,0.114657,6.67225,0.206426,0.14163,23000,14
-2.86744,-2.02712,-1.83653,0.0510238,-0.222562,-0.270991,-0.90961,-1.48739,0.0285881,0.073221,0.104063,6.6924,0.21039,0.141188,24000,15
-3.06913,-2.24703,-2.03091,0.203025,0.000764952,-0.097818,-0.523222,-1.40285,0.0348201,0.0621364,0.0970914,6.68511,0.208868,0.139856,25000,16
-2.93366,-2.14448,-1.97501,0.167153,-0.0867871,-0.216993,-0.562551,-1.49981,0.0333527,0.0621467,0.10556,6.66881,0.20769,0.141128,26000,16
-3.17471,-2.30686,-2.11404,0.386816,0.00591331,-0.0565223,-0.28418,-1.38229,0.0431311,0.0476047,0.0943684,6.64022,0.206539,0.139589,27000,17
-3.25321,-2.40586,-2.22651,0.448865,0.175009,-0.00730574,0.0183606,-1.41571,0.033722,0.0635273,0.0962241,6.64248,0.204389,0.142377,28000,18
-3.19214,-2.35425,-2.22519,0.237096,0.187977,-0.107741,-0.0856652,-1.38188,0.0361285,0.0640159,0.106557,6.66211,0.205224,0.140797,29000,18
-3.07888,-2.28605,-2.11863,0.158366,0.0773441,-0.118205,-0.350356,-1.35746,0.0437805,0.0495046,0.112134,6.6956,0.205022,0.141607,30000,19
-3.23072,-2.23917,-2.08971,0.164793,0.0472362,-0.217321,-0.101174,-1.60569,0.0468382,0.0505737,0.10275,6.66099,0.208897,0.141754,31000,19
-3.16298,-2.30787,-2.07988,0.0886817,0.0950933,-0.216566,-0.0889478,-1.54864,0.0367844,0.0662366,0.0986097,6.54531,0.208575,0.1395,32000,20
-3.15141,-2.39847,-2.1833,0.3148,0.196377,-0.0822785,-0.0705774,-1.40791,0.0389502,0.0516137,0.0944288,6.59928,0.207401,0.140666,33000,21
-2.95879,-2.29382,-2.07122,0.281758,0.0791274,-0.124494,-0.261336,-1.45377,0.0384447,0.0435984,0.0956074,6.60914,0.204266,0.141859,34000,21
-2.99771,-2.37092,-2.15645,0.221576,0.199873,-0.0638207,-0.0730736,-1.47698,0.0329567,0.0529217,0.100348,6.64961,0.20687,0.142436,35000,22
-3.15784,-2.33468,-2.12656,0.193758,0.200457,-0.138908,-0.0393553,-1.48819,0.0340917,0.0543588,0.0908801,6.66095,0.208452,0.142518,36000,23
-3.0696,-2.29998,-2.12672,0.223452,0.147178,-0.0915559,-0.310596,-1.42463,0.0358121,0.0707719,0.116096,6.65834,0.207299,0.143131,37000,23
-3.13926,-2.26122,-2.08751,0.150342,0.100436,-0.18269,-0.255141,-1.37506,0.0363688,0.0585235,0.0874153,6.60471,0.206266,0.139916,38000,24
-2.96833,-2.32244,-2.117,0.189953,0.126817,-0.103688,-0.22068,-1.39952,0.0304023,0.0551813,0.088957,6.61812,0.203561,0.141692,39000,24
-3.06353,-2.36573,-2.15758,0.315118,0.161682,-0.0546189,-0.23556,-1.31763,0.0338094,0.0591094,0.0927521,6.61972,0.206767,0.139133,40000,25
-3.15592,-2.51662,-2.3071,0.407035,0.405683,0.0267936,0.12117,-1.3437,0.0252523,0.0673363,0.0881453,6.73351,0.204354,0.141469,41000,26
-3.1684,-2.36395,-2.17182,0.178079,0.262162,-0.136179,-0.0215285,-1.44396,0.028727,0.0709876,0.0890993,6.60756,0.206164,0.140415,42000,26
-3.22613,-2.39007,-2.26331,0.394422,0.230022,-0.0388395,-0.0701894,-1.34891,0.0332678,0.0651976,0.0939217,6.59648,0.208647,0.140786,43000,27
-3.34621,-2.32996,-2.11669,0.168365,0.184351,-0.226934,0.0654263,-1.59467,0.0346197,0.0727186,0.093549,6.72729,0.207442,0.141494,44000,28
-3.0161,-2.21492,-2.05448,0.151197,0.0595507,-0.170555,-0.338057,-1.46273,0.0355887,0.0590526,0.0955381,6.71819,0.205207,0.142592,45000,28
-3.21254,-2.13557,-1.91201,0.00191426,-0.0374506,-0.349772,-0.255622,-1.81134,0.0394359,0.0610859,0.10018,6.7187,0.206589,0.140299,46000,29
-3.14385,-2.25012,-2.02343,0.122533,0.0407387,-0.218626,-0.163817,-1.62864,0.0357231,0.0650374,0.0798703,6.75268,0.208597,0.140741,47000,30
