BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-3.0845,-2.04794,-1.87061,-0.121913,-0.142331,-0.428628,-0.397317,-1.67778,0.0351159,0.0763248,0.0975281,6.76099,0.207718,0.139248,48000,30
-3.06959,-2.17665,-1.97217,0.0827398,-0.0277148,-0.255628,-0.384018,-1.53427,0.032258,0.0646633,0.0980212,6.71539,0.202853,0.140057,49000,31
-3.14652,-2.11121,-1.89714,-0.119551,-0.0438094,-0.355381,-0.404075,-1.62776,0.0340514,0.0732927,0.0906367,6.68297,0.208617,0.139915,50000,31
-3.14105,-2.11853,-1.90167,-0.0415854,0.031457,-0.408496,-0.366324,-1.59336,0.0382095,0.0633124,0.100642,6.66063,0.205207,0.140961,51000,32
-3.20901,-2.0843,-1.88776,-0.0326778,-0.0919814,-0.384345,-0.332915,-1.70883,0.0340467,0.0800899,0.0907665,6.78071,0.207726,0.141779,52000,33
-3.21081,-2.2499,-2.08391,0.203284,0.0861544,-0.239401,-0.0654202,-1.59383,0.0431474,0.0575839,0.0972502,6.86469,0.205966,0.142209,53000,33
-3.23902,-2.3288,-2.10314,0.221448,0.173843,-0.191995,0.0082621,-1.61038,0.028212,0.0721157,0.0852626,6.72757,0.20366,0.1403,54000,34
-3.24466,-2.45519,-2.25311,0.261378,0.323404,-0.126789,0.266308,-1.39596,0.0394759,0.0562571,0.0866625,6.7243,0.208634,0.142703,55000,35
-3.28388,-2.44187,-2.2952,0.351911,0.251458,-0.101792,0.180755,-1.38605,0.0377075,0.0566688,0.100294,6.6849,0.204406,0.14185,56000,35
-3.14425,-2.27291,-2.09776,0.128812,0.129509,-0.288099,-0.0235821,-1.45929,0.0328629,0.0726525,0.10101,6.76815,0.20261,0.14036,57000,36
-3.21884,-2.33491,-2.14094,0.234434,0.101105,-0.143176,0.0579124,-1.53749,0.0446606,0.0598355,0.101112,6.68066,0.20527,0.141908,58000,37
-3.27401,-2.2982,-2.14861,0.250014,0.140586,-0.107604,-0.0457822,-1.47447,0.0340854,0.0671734,0.0861633,6.79964,0.204751,0.143207,59000,37
-3.14729,-2.33501,-2.17175,0.350365,0.147346,-0.0981515,-0.09474,-1.34182,0.0335332,0.0541348,0.0945445,6.67973,0.199528,0.143561,60000,38
-3.21232,-2.24033,-2.08516,0.146322,0.133437,-0.257364,-0.090644,-1.52021,0.0375641,0.0612802,0.0874379,6.63261,0.204324,0.141734,61000,38
-3.08157,-2.35748,-2.17055,0.30996,0.263908,-0.164539,-0.0996586,-1.3339,0.033202,0.0543784,0.0915507,6.60946,0.206167,0.138805,62000,39
-3.31647,-2.38513,-2.15525,0.210894,0.225389,-0.109169,0.133605,-1.52576,0.0301263,0.0658934,0.074782,6.7371,0.202646,0.140163,63000,40
-3.38233,-2.45866,-2.26373,0.385068,0.375842,-0.0596016,0.213475,-1.40858,0.0271317,0.0752977,0.0749254,6.70909,0.201644,0.140095,64000,40
-3.24496,-2.3884,-2.18098,0.267417,0.251254,-0.112712,0.122181,-1.47779,0.0282405,0.0652206,0.0856266,6.48476,0.202377,0.140512,65000,41
-3.17295,-2.24786,-2.04447,0.092439,0.11074,-0.236391,-0.00485875,-1.59292,0.0284653,0.0705252,0.0657776,6.68376,0.203136,0.138085,66000,42
-3.26771,-2.27477,-2.08864,0.150705,0.128521,-0.221272,-0.088865,-1.50312,0.040949,0.0605344,0.0831696,6.68865,0.200933,0.137733,67000,42
-3.10447,-2.15448,-1.95127,0.0084652,0.0148655,-0.361182,-0.247398,-1.60631,0.0398401,0.0570286,0.0863203,6.71297,0.199765,0.140162,68000,43
-3.16947,-2.23059,-2.05155,0.198538,0.053,-0.228237,-0.184666,-1.52254,0.0437504,0.0561228,0.0929543,6.71056,0.202035,0.139299,69000,43
-3.12922,-2.2466,-2.03819,0.0777978,0.157237,-0.30042,-0.112101,-1.56582,0.0348194,0.069118,0.0905182,6.71309,0.202086,0.140841,70000,44
-3.07471,-2.20047,-2.01097,0.0316906,0.105932,-0.348259,-0.211275,-1.52835,0.0324883,0.0611739,0.0881616,6.6852,0.201426,0.140471,71000,45
-2.98396,-2.13452,-1.91706,0.0428447,-0.0306373,-0.254307,-0.438829,-1.49492,0.0277928,0.068273,0.0766246,6.60778,0.200935,0.139906,72000,45
-3.05993,-2.1459,-1.95508,0.0223576,-0.000738234,-0.22029,-0.476714,-1.45184,0.033051,0.0710195,0.0900012,6.58636,0.20037,0.142367,73000,46
-3.2412,-2.20688,-2.00002,-0.0071658,0.143431,-0.283229,-0.259355,-1.51035,0.036646,0.065734,0.0786204,6.60628,0.201684,0.141067,74000,47
-3.07039,-2.1624,-1.93964,-0.139182,0.0784237,-0.382473,-0.119836,-1.69116,0.0343892,0.0668165,0.079466,6.65002,0.201349,0.138278,75000,47
-2.9805,-2.03096,-1.81037,-0.131199,-0.0706711,-0.392588,-0.579637,-1.52244,0.0335207,0.0706024,0.0781881,6.60208,0.201986,0.143178,76000,48
-3.09857,-2.2663,-2.04904,0.0210851,0.18188,-0.263595,-0.132128,-1.42417,0.0372344,0.0577504,0.0921238,6.60045,0.203228,0.141207,77000,49
-3.01785,-2.09221,-1.92484,0.0232605,-0.0103169,-0.335174,-0.474638,-1.48249,0.03288,0.0749253,0.0859663,6.63941,0.201098,0.142685,78000,49
-3.1556,-2.23717,-2.02994,-0.038631,0.197476,-0.280468,-0.025278,-1.58705,0.0296725,0.0666733,0.0770442,6.69625,0.201906,0.141415,79000,50
-3.1033,-2.28761,-2.02308,0.131529,0.159881,-0.301142,-0.0315376,-1.52743,0.0307574,0.0622579,0.0751198,6.66726,0.199311,0.141598,80000,50
-3.30963,-2.31012,-2.07325,0.139035,0.123709,-0.23815,0.0404364,-1.53496,0.0359584,0.0646717,0.106987,6.78536,0.201188,0.139531,81000,51
-3.06756,-2.30435,-2.10246,0.0913324,0.208408,-0.173783,-0.147946,-1.35955,0.0297656,0.0679144,0.0840338,6.58045,0.200647,0.140237,82000,52
-3.17481,-2.3635,-2.16726,0.216483,0.263999,-0.144382,-0.0615472,-1.34392,0.0316053,0.0619758,0.104697,6.8706,0.20446,0.143066,83000,52
-3.22352,-2.27412,-2.05534,0.0903131,0.174809,-0.339589,0.0369099,-1.53913,0.0405354,0.0645305,0.0989032,6.60351,0.20136,0.143643,84000,53
-3.05806,-2.23243,-2.0288,0.114807,0.145972,-0.222573,-0.237565,-1.41813,0.0283691,0.0670249,0.0805344,6.6789,0.200405,0.13987,85000,54
-3.02648,-2.13821,-1.91378,-0.00167132,0.0388428,-0.329367,-0.342687,-1.49841,0.0391085,0.0581045,0.0713428,6.73468,0.200678,0.140554,86000,54
-3.04433,-2.26824,-2.04273,0.126047,0.1799,-0.267996,-0.176635,-1.44367,0.03445,0.0607666,0.0882008,6.67719,0.198257,0.139607,87000,55
-3.08516,-2.24791,-2.04726,0.104349,0.150569,-0.319947,-0.0477839,-1.49936,0.0377761,0.0468648,0.0950584,6.64461,0.200189,0.141254,88000,55
-3.11243,-2.21733,-2.02257,0.0709247,0.110277,-0.294031,-0.118397,-1.51891,0.0336759,0.0738064,0.0859302,6.7248,0.197775,0.143335,89000,56
-3.04655,-2.26575,-2.05956,0.00318439,0.0959505,-0.231708,-0.0881926,-1.52431,0.0373872,0.0519377,0.0969801,6.73865,0.199639,0.142405,90000,57
-3.03208,-2.30949,-2.03702,0.116638,0.176131,-0.194689,-0.161087,-1.42557,0.0279061,0.0626463,0.0823214,6.79357,0.198795,0.140821,91000,57
-3.29597,-2.40159,-2.23935,0.278241,0.25025,-0.189793,0.261935,-1.45653,0.0479094,0.043497,0.108435,6.7255,0.197998,0.140525,92000,58
-3.18068,-2.25106,-2.06764,0.17424,0.147652,-0.224292,-0.136541,-1.48087,0.043441,0.0589039,0.0980023,6.53909,0.199998,0.141526,93000,58
-3.06275,-2.13774,-1.97215,0.104132,0.0284461,-0.274912,-0.368144,-1.53511,0.0418263,0.0510453,0.0874768,6.73968,0.200347,0.139985,94000,59
-3.00036,-2.0789,-1.91635,-0.0194145,-0.0898954,-0.322812,-0.331716,-1.61411,0.0381102,0.0592528,0.085071,6.65246,0.203453,0.143527,95000,60
-3.17015,-2.07073,-1.84572,-0.121442,-0.0325516,-0.441523,-0.309379,-1.72028,0.0348172,0.0752363,0.0758174,6.75628,0.19868,0.139149,96000,60
-3.23303,-2.25585,-2.01288,0.0951208,0.123723,-0.25578,-0.0859285,-1.5527,0.0354586,0.0702419,0.0854932,6.59398,0.199027,0.143673,97000,61
-3.26899,-2.42938,-2.24364,0.29233,0.296668,-0.0656319,0.0981327,-1.40473,0.0342012,0.0704875,0.0903443,6.73093,0.200619,0.141111,98000,62
-3.47922,-2.27211,-2.06586,0.0700981,0.160951,-0.352685,0.309078,-1.74512,0.04134,0.0794667,0.0804785,6.66166,0.199174,0.140695,99000,62
-3.35774,-2.27373,-2.02418,-0.0872405,0.211675,-0.268243,0.0975548,-1.67242,0.0304573,0.0748877,0.0627526,6.72096,0.197977,0.139953,100000,63
-3.06557,-2.19372,-2.04096,-0.00663929,0.108544,-0.383418,-0.0196045,-1.5918,0.0322145,0.06364,0.097747,6.6836,0.197061,0.140731,101000,63
-3.07088,-2.32341,-2.10448,0.144745,0.229984,-0.17463,-0.0896652,-1.39117,0.0320233,0.0644736,0.0892493,6.63379,0.196742,0.142086,102000,64
-3.11324,-2.23044,-2.01684,0.123387,0.0882448,-0.222866,-0.191035,-1.53965,0.0353448,0.0629237,0.0844959,6.62004,0.200768,0.142468,103000,64
-3.24173,-2.28761,-2.08345,0.0853443,0.183365,-0.237124,0.0555309,-1.57115,0.0299899,0.0757502,0.0854074,6.6112,0.200632,0.139814,104000,65
-3.02095,-2.22414,-2.01202,0.171087,0.00480919,-0.123281,-0.447368,-1.40087,0.0301525,0.0626143,0.0806553,6.59329,0.201561,0.142557,105000,65
-3.14928,-2.16608,-1.94339,0.00614325,0.117113,-0.320595,-0.350402,-1.5354,0.0259241,0.0809137,0.0681111,6.68876,0.200542,0.141052,106000,66
-3.06637,-2.20275,-1.98847,-0.0506985,0.131791,-0.310415,-0.252301,-1.54141,0.0248643,0.0835522,0.0910047,6.55573,0.198142,0.140871,107000,66
-2.99705,-2.12877,-1.88866,-0.107958,-0.00379457,-0.397492,-0.277131,-1.67336,0.0313624,0.0717849,0.0789674,6.66324,0.198752,0.140407,108000,66
-3.03175,-2.13874,-1.94076,-0.104276,-0.0390722,-0.3629,-0.187409,-1.59893,0.0341182,0.0652265,0.0834781,6.70028,0.197651,0.143204,109000,67
-2.83482,-2.00121,-1.81029,-0.183302,-0.107097,-0.405134,-0.510134,-1.56077,0.0294935,0.0701329,0.0820141,6.63819,0.19833,0.143603,110000,67
-2.95617,-2.02346,-1.78317,-0.0655232,-0.0984471,-0.39064,-0.553251,-1.60751,0.0316159,0.0716278,0.0703732,6.63099,0.198661,0.141384,111000,68
-2.88615,-2.05731,-1.80617,-0.0809569,-0.0497003,-0.384506,-0.687101,-1.5827,0.0257189,0.0709725,0.096503,6.6682,0.199927,0.139242,112000,68
-2.99394,-2.24797,-2.02785,0.047965,0.0520219,-0.205791,-0.195456,-1.50575,0.0248734,0.079168,0.0842307,6.60409,0.197737,0.140461,113000,68
-3.19406,-2.30616,-2.08382,0.0905085,0.164382,-0.17546,-0.0187743,-1.49143,0.0303296,0.0651227,0.0862921,6.70579,0.198614,0.141976,114000,69
-3.05684,-2.28878,-2.07066,0.135501,0.187677,-0.177767,-0.121562,-1.49289,0.0237811,0.0737051,0.0653855,6.65763,0.200507,0.139674,115000,69
-3.16309,-2.48976,-2.28626,0.408694,0.380046,-0.0440384,0.243313,-1.27332,0.0260508,0.0629989,0.0648271,6.64551,0.198743,0.139467,116000,70
-3.35472,-2.54573,-2.34616,0.392166,0.456733,-0.10825,0.572837,-1.49464,0.0331677,0.0565554,0.0916886,6.68458,0.198308,0.139332,117000,70
-3.2766,-2.48335,-2.26208,0.237607,0.372547,-0.113769,0.357832,-1.44797,0.0285207,0.0705078,0.0838679,6.7558,0.195506,0.138766,118000,70
-3.39897,-2.59743,-2.42272,0.473206,0.42066,-0.035626,0.53248,-1.31322,0.0311854,0.0710114,0.0898044,6.71889,0.196138,0.137072,119000,71
-3.34148,-2.62374,-2.43657,0.409937,0.532596,0.0332135,0.529633,-1.24593,0.0273586,0.0648494,0.0774784,6.56856,0.196735,0.139341,120000,71
-3.3608,-2.54884,-2.34581,0.323579,0.496955,-0.0962478,0.481443,-1.24389,0.0298989,0.0665783,0.0821068,6.77663,0.196806,0.140967,121000,72
-3.41464,-2.49957,-2.27284,0.279373,0.371489,-0.161489,0.417082,-1.29349,0.0254528,0.0764879,0.0781322,6.78349,0.195291,0.13908,122000,73
-3.28525,-2.52269,-2.27123,0.245946,0.418114,-0.218144,0.611818,-1.35447,0.0333602,0.0540585,0.0762375,6.66214,0.195966,0.139719,123000,74
-3.30435,-2.44573,-2.24583,0.219049,0.346728,-0.302764,0.582436,-1.48153,0.0310058,0.0714059,0.0755853,6.6897,0.196807,0.141386,124000,75
-3.52661,-2.56423,-2.35028,0.374579,0.493814,-0.0800399,0.65411,-1.3235,0.0272916,0.0729549,0.0694101,6.7235,0.198014,0.140952,125000,75
-3.4754,-2.61373,-2.42343,0.417716,0.539672,-0.0775346,0.681299,-1.27603,0.0359695,0.0579284,0.0673347,6.63843,0.195814,0.140475,126000,76
-3.45171,-2.69842,-2.45797,0.355397,0.68668,-0.0545775,0.830044,-1.19916,0.0302851,0.0609473,0.0701344,6.68493,0.197228,0.139236,127000,77
-3.34545,-2.73401,-2.48828,0.544272,0.617763,0.0413528,0.699654,-1.1605,0.0336139,0.0480241,0.084023,6.70985,0.197434,0.139169,128000,78
-3.52514,-2.65684,-2.44721,0.478851,0.588309,-0.104304,0.910038,-1.36249,0.0371325,0.0517951,0.0748095,6.80365,0.195934,0.136908,129000,78
-3.44594,-2.81495,-2.58449,0.738536,0.651883,0.151103,1.0166,-1.21446,0.0269876,0.0591483,0.074035,6.7529,0.196029,0.141654,130000,79
-3.38182,-2.70389,-2.4681,0.546098,0.637166,-0.0167264,0.610374,-1.03774,0.0311486,0.0613992,0.0915849,6.64713,0.199432,0.142839,131000,80
-3.48681,-2.48656,-2.29271,0.107604,0.483833,-0.317508,0.762913,-1.51985,0.0374312,0.0667693,0.0798917,6.57644,0.193378,0.141912,132000,81
-3.25753,-2.39848,-2.17174,0.228329,0.326004,-0.169609,0.228574,-1.30609,0.0305906,0.0633554,0.0681295,6.72955,0.197355,0.141859,133000,81
-3.17068,-2.31872,-2.06689,0.177593,0.204533,-0.202836,-0.102078,-1.34443,0.0341738,0.0561829,0.0596663,6.6846,0.196357,0.14208,134000,82
-3.18264,-2.28317,-2.05403,0.12254,0.167586,-0.303124,-0.106107,-1.26632,0.0388194,0.0611019,0.0807214,6.68127,0.195897,0.140314,135000,83
-3.09833,-2.25825,-2.03893,0.139361,0.124903,-0.310287,-0.112227,-1.34718,0.0373099,0.0579043,0.0969855,6.63395,0.199951,0.141217,136000,84
-3.17915,-2.35211,-2.10415,0.161488,0.250883,-0.26322,0.214023,-1.46333,0.0309926,0.0628758,0.0858941,6.7331,0.198907,0.141274,137000,84
-3.21571,-2.39582,-2.14518,0.153413,0.355141,-0.2537,0.143491,-1.29339,0.0317959,0.0619336,0.0832161,6.64224,0.198728,0.140359,138000,85
-3.27298,-2.39616,-2.16529,0.144316,0.365631,-0.256923,0.337366,-1.35431,0.0326436,0.0600969,0.0696013,6.70507,0.198168,0.13981,139000,86
-3.25072,-2.33593,-2.09734,0.182874,0.225952,-0.338385,0.136381,-1.50139,0.0412848,0.0637703,0.0984378,6.72936,0.201093,0.139811,140000,87
-3.28851,-2.50544,-2.28414,0.259447,0.467202,-0.163127,0.382067,-1.27344,0.0369266,0.0585669,0.0902445,6.67616,0.196625,0.141301,141000,87
-3.48685,-2.56732,-2.33749,0.32811,0.472882,-0.183015,0.658243,-1.31483,0.0274489,0.0638297,0.0744155,6.61318,0.198523,0.13792,142000,88
-3.30451,-2.48156,-2.27113,0.200802,0.442911,-0.231587,0.459205,-1.33485,0.0390832,0.0517532,0.0790823,6.62484,0.197493,0.13882,143000,89
-3.40043,-2.43105,-2.19397,0.219951,0.355793,-0.196402,0.357427,-1.39399,0.0309744,0.0691195,0.0606878,6.68167,0.195916,0.140276,144000,90
-3.58342,-2.68148,-2.46355,0.384637,0.672265,-0.0856732,0.912898,-1.21718,0.0234528,0.0780976,0.0610411,6.71281,0.197621,0.137937,145000,91
-3.72451,-2.72597,-2.54446,0.440661,0.695921,-0.103387,1.21528,-1.3444,0.0373298,0.0603243,0.0828407,6.65056,0.197348,0.138277,146000,91
-3.39049,-2.68659,-2.41805,0.336444,0.603219,-0.0027024,0.664454,-1.24213,0.0308856,0.0681427,0.0736535,6.67371,0.19556,0.139994,147000,92
-3.50558,-2.61396,-2.39576,0.106034,0.605165,-0.228513,0.964634,-1.50718,0.0337887,0.0688178,0.0881448,6.51261,0.194718,0.140445,148000,93
-3.4107,-2.56152,-2.34761,0.243289,0.576981,-0.216818,0.787781,-1.43731,0.032763,0.0656463,0.0792728,6.67232,0.198637,0.141632,149000,94
-3.49241,-2.6169,-2.40624,0.351563,0.564952,-0.113176,0.737569,-1.38625,0.0321408,0.0729277,0.0963545,6.71624,0.19664,0.140896,150000,94
-3.39625,-2.5762,-2.37071,0.441249,0.431233,-0.0544524,0.511829,-1.27132,0.0405483,0.0625279,0.0870859,6.83787,0.194213,0.139804,151000,95
-3.49091,-2.7667,-2.50276,0.507392,0.724537,0.121356,0.813656,-1.18696,0.0245072,0.0597908,0.0588879,6.72904,0.196982,0.139525,152000,96
-3.74084,-2.71257,-2.45135,0.379205,0.6793,-0.0700665,0.917569,-1.33173,0.0369342,0.0645965,0.0775203,6.73266,0.196351,0.138473,153000,97
-3.63517,-2.58026,-2.36923,0.442838,0.478865,-0.1161,0.647096,-1.25584,0.0350574,0.0672243,0.0623775,6.59585,0.195114,0.13883,154000,97
-3.16395,-2.27043,-2.07442,0.161557,0.171877,-0.254213,-0.131805,-1.29694,0.0333586,0.0664483,0.0826937,6.64952,0.1958,0.139294,155000,98
-3.16059,-2.16954,-1.93312,0.0128608,0.13048,-0.397102,-0.144016,-1.45322,0.0287274,0.0720879,0.0686113,6.50926,0.196695,0.140856,156000,99
-3.23089,-2.34165,-2.11622,0.203027,0.172488,-0.23491,0.195992,-1.47097,0.0291159,0.0678704,0.0781324,6.72001,0.197743,0.139734,157000,100
-3.33471,-2.31467,-2.11881,0.155706,0.254456,-0.28528,0.179068,-1.44881,0.0364521,0.0666925,0.0901668,6.53919,0.196325,0.139796,158000,100
-3.33562,-2.44125,-2.25088,0.390591,0.336215,-0.0696473,0.103974,-1.23924,0.037765,0.0579598,0.0774668,6.71939,0.196637,0.138769,159000,101
-3.19192,-2.4607,-2.22156,0.245963,0.390259,-0.214014,0.247163,-1.20987,0.0327451,0.0607749,0.0671481,6.69047,0.195847,0.138436,160000,102
-3.41195,-2.54648,-2.35398,0.375798,0.530468,-0.157978,0.628958,-1.30671,0.0304964,0.0665596,0.075738,6.6652,0.199746,0.142642,161000,103
-3.34562,-2.60039,-2.39908,0.384509,0.547128,-0.10808,0.635994,-1.2654,0.0268391,0.0656533,0.0752641,6.78768,0.196732,0.137645,162000,103
