BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.41935,-2.01091,-1.88624,0.0506471,6.67427,0.21628,0.163752,71000,72
-2.38251,-2.00411,-1.87937,0.0513008,6.60321,0.21543,0.165385,72000,73
-2.44284,-2.01219,-1.9124,0.0608222,6.63822,0.214212,0.166651,73000,74
-2.47615,-2.02798,-1.90051,0.0546594,6.73127,0.217524,0.165498,74000,75
-2.4484,-2.03074,-1.92619,0.0540095,6.7219,0.215137,0.162863,75000,76
-2.48631,-2.01786,-1.90606,0.0624893,6.55371,0.215022,0.165132,76000,77
-2.51555,-2.01588,-1.90888,0.0607705,6.70162,0.213717,0.162599,77000,78
-2.4533,-2.04695,-1.91122,0.0516701,6.62671,0.213602,0.162647,78000,78
-2.52094,-2.02823,-1.90532,0.0614611,6.59782,0.212768,0.165924,79000,79
-2.4706,-2.00809,-1.90558,0.0576198,6.72826,0.215272,0.165152,80000,80
-2.40289,-1.98747,-1.92397,0.0504193,6.70824,0.208483,0.163751,81000,81
-2.44934,-2.0195,-1.94393,0.0512548,6.78123,0.211201,0.164685,82000,82
-2.47054,-2.02216,-1.91107,0.0585903,6.70939,0.21393,0.161904,83000,83
-2.53677,-2.0427,-1.91321,0.0600388,6.70214,0.212936,0.164168,84000,84
-2.52057,-2.02327,-1.91791,0.0647007,6.60445,0.213871,0.165472,85000,85
-2.52762,-2.01543,-1.88861,0.060452,6.6274,0.213358,0.165324,86000,86
-2.53105,-2.04342,-1.91161,0.0572374,6.55973,0.211879,0.161473,87000,86
-2.50587,-2.04713,-1.92313,0.0566265,6.77899,0.211064,0.161717,88000,87
-2.37982,-2.03373,-1.95303,0.0469774,6.72569,0.210845,0.163293,89000,88
-2.51063,-2.056,-1.92694,0.0587349,6.68745,0.211565,0.163414,90000,89
-2.42316,-2.03936,-1.90591,0.0514308,6.70436,0.212018,0.161122,91000,90
-2.47649,-2.0445,-1.90895,0.0520254,6.72155,0.208646,0.162573,92000,90
