BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-9.08697,-7.38778,-0.313953,0.33727,6.68096,0.205005,0.142857,0,0
-2.66158,-1.60918,-1.39758,0.0752373,5.99406,0.254709,0.20466,1000,1
-2.47904,-1.78235,-1.57392,0.0714239,6.34947,0.240656,0.197477,2000,2
-2.40551,-1.84874,-1.67668,0.0584949,6.45744,0.235429,0.186855,3000,3
-2.28302,-1.87166,-1.66203,0.0537235,6.49959,0.232058,0.187207,4000,4
-2.17906,-1.89357,-1.66059,0.0475635,6.61584,0.238812,0.184476,5000,5
-2.29367,-1.90515,-1.683,0.0462425,6.65,0.241018,0.184727,6000,6
-2.17803,-1.89834,-1.70659,0.0445972,6.55905,0.233111,0.181103,7000,7
-2.28731,-1.9233,-1.69278,0.0498927,6.66984,0.239706,0.184111,8000,8
-2.2786,-1.9325,-1.71748,0.0538893,6.72683,0.234425,0.182265,9000,9
-2.16745,-1.92819,-1.70759,0.0427136,6.55957,0.232052,0.180333,10000,10
-2.15299,-1.95065,-1.72606,0.0438288,6.77481,0.23126,0.176509,11000,10
-2.15755,-1.90285,-1.70224,0.0435376,6.74229,0.229538,0.180668,12000,11
-2.17445,-1.9456,-1.72068,0.0409892,6.70479,0.22999,0.179895,13000,12
-2.2188,-1.96278,-1.72562,0.0471256,6.66683,0.230232,0.180462,14000,13
-2.217,-1.9335,-1.74205,0.0494132,6.68455,0.234453,0.17933,15000,13
-2.17393,-1.95697,-1.73449,0.0410351,6.7023,0.231814,0.179749,16000,14
-2.15161,-1.96593,-1.75343,0.041763,6.78244,0.232182,0.176659,17000,15
-2.19252,-1.95189,-1.71931,0.0476413,6.68494,0.23295,0.179938,18000,16
-2.17456,-1.94046,-1.78436,0.04288,6.67807,0.233707,0.18037,19000,16
-2.2115,-1.9611,-1.72014,0.0419852,6.65145,0.229277,0.178905,20000,17
-2.12905,-1.94191,-1.7319,0.0376329,6.58687,0.229568,0.179046,21000,18
-2.19672,-1.95664,-1.7259,0.0458906,6.6897,0.229509,0.177851,22000,19
-2.17091,-1.94704,-1.75768,0.040184,6.77008,0.233591,0.177666,23000,20
-2.21107,-1.96058,-1.75117,0.0378623,6.64021,0.226631,0.176735,24000,21
-2.3196,-1.94796,-1.7594,0.0494506,6.59009,0.226655,0.17439,25000,22
-2.33324,-1.96219,-1.77285,0.0488988,6.58218,0.2305,0.176556,26000,22
-2.25617,-1.94711,-1.76955,0.0449219,6.7181,0.227776,0.175318,27000,23
-2.33796,-1.94801,-1.77815,0.0521609,6.64149,0.229851,0.175705,28000,24
-2.25345,-1.95625,-1.75878,0.0449437,6.72318,0.227762,0.176279,29000,25
-2.28764,-1.95864,-1.80161,0.0470191,6.78923,0.226638,0.174996,30000,25
-2.27131,-1.9744,-1.76633,0.0429607,6.69077,0.225461,0.175877,31000,26
-2.15856,-1.93994,-1.75925,0.0401261,6.74295,0.228871,0.175237,32000,27
-2.2193,-1.94893,-1.74734,0.0408064,6.70742,0.229649,0.175552,33000,28
-2.28118,-1.95139,-1.80894,0.0493225,6.68481,0.224417,0.173302,34000,29
-2.27571,-1.96765,-1.77993,0.0507769,6.68097,0.224338,0.173354,35000,30
-2.2641,-1.96683,-1.76055,0.0468575,6.61913,0.221747,0.177072,36000,31
-2.26718,-1.97432,-1.76542,0.0403877,6.60561,0.223767,0.173109,37000,32
-2.30477,-1.96379,-1.81228,0.0496251,6.67332,0.227226,0.17345,38000,33
-2.26257,-1.96036,-1.79143,0.0424315,6.64571,0.228134,0.174388,39000,34
-2.25881,-1.96404,-1.79827,0.0429997,6.71365,0.224647,0.172321,40000,35
-2.28235,-1.98051,-1.81573,0.0454241,6.722,0.222619,0.173577,41000,36
-2.37716,-1.97211,-1.79937,0.0464347,6.66536,0.227942,0.170069,42000,37
-2.35597,-1.98199,-1.82879,0.0465096,6.64703,0.226042,0.17005,43000,38
-2.27592,-1.98388,-1.81805,0.0442602,6.67125,0.22239,0.169497,44000,39
-2.38993,-2.00131,-1.83085,0.0557733,6.71145,0.222418,0.171429,45000,40
-2.27519,-1.96014,-1.81838,0.0414363,6.72875,0.223091,0.168951,46000,41
-2.34365,-1.97272,-1.78488,0.04708,6.63738,0.224761,0.171453,47000,42
-2.34335,-1.97609,-1.81539,0.0472265,6.79503,0.226021,0.17289,48000,42
-2.28123,-1.95833,-1.83018,0.0457918,6.64025,0.222816,0.169907,49000,43
-2.44305,-1.9534,-1.81616,0.0569797,6.73788,0.22213,0.173266,50000,44
-2.47071,-1.98708,-1.84316,0.0591525,6.60861,0.224839,0.171875,51000,45
-2.33994,-1.96462,-1.81099,0.0459408,6.77573,0.220372,0.171895,52000,45
-2.33502,-1.97099,-1.81703,0.0510569,6.78407,0.223722,0.17004,53000,46
