BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.37862,-1.95546,-1.82598,0.0481806,6.6204,0.219377,0.170609,54000,47
-2.35377,-1.98986,-1.85034,0.0506678,6.72147,0.219056,0.170231,55000,48
-2.38295,-1.98397,-1.84074,0.0480771,6.78573,0.22184,0.169496,56000,48
-2.39428,-1.97788,-1.82824,0.0528283,6.70599,0.218951,0.169651,57000,49
-2.40363,-1.97529,-1.82281,0.0471482,6.6378,0.22136,0.170683,58000,51
-2.3609,-2.00752,-1.85355,0.0475353,6.67361,0.219874,0.16887,59000,52
-2.40209,-1.97278,-1.8536,0.0476192,6.5413,0.216886,0.169013,60000,53
-2.39031,-1.9973,-1.8508,0.0494756,6.64783,0.220189,0.167476,61000,54
-2.42781,-2.00676,-1.87282,0.0598441,6.71088,0.219074,0.166128,62000,55
-2.29722,-1.9862,-1.84302,0.0431444,6.60862,0.218971,0.167189,63000,56
-2.38649,-2.00228,-1.83395,0.0497071,6.6439,0.220844,0.167279,64000,57
-2.42412,-1.99287,-1.87941,0.0538736,6.73821,0.217696,0.166466,65000,58
-2.33191,-2.02381,-1.85863,0.0457236,6.69004,0.219379,0.16554,66000,59
-2.48666,-1.98421,-1.86924,0.0563788,6.49976,0.220043,0.168394,67000,60
-2.34536,-1.99558,-1.85778,0.0505545,6.54993,0.21489,0.16713,68000,61
-2.46311,-1.99695,-1.86602,0.0459296,6.76767,0.218673,0.166548,69000,62
-2.38373,-1.99387,-1.88634,0.0567204,6.72445,0.220269,0.166887,70000,63
-2.44163,-1.99817,-1.89007,0.0531457,6.66798,0.214404,0.164717,71000,64
-2.40568,-2.01561,-1.85816,0.0517723,6.61964,0.218187,0.165026,72000,64
-2.50468,-2.01132,-1.89183,0.0609537,6.65802,0.21699,0.163595,73000,65
-2.41716,-2.01339,-1.87068,0.0506863,6.67752,0.214066,0.165555,74000,66
-2.43034,-2.00719,-1.86866,0.0491962,6.66258,0.215844,0.165909,75000,68
-2.41143,-2.01253,-1.88828,0.0513575,6.64204,0.215692,0.166336,76000,69
-2.3696,-2.00981,-1.88467,0.0546349,6.60707,0.215404,0.165631,77000,69
-2.48668,-2.03152,-1.86318,0.0584505,6.7193,0.21546,0.168274,78000,70
-2.4096,-2.02444,-1.868,0.0558773,6.59734,0.213791,0.167132,79000,71
-2.4215,-2.00268,-1.8997,0.052332,6.67123,0.218292,0.166177,80000,72
-2.31077,-1.98554,-1.85236,0.0423644,6.74798,0.212595,0.167391,81000,72
-2.39083,-2.02417,-1.89456,0.0473897,6.73389,0.212639,0.164107,82000,74
-2.44321,-2.00434,-1.89062,0.0505627,6.80716,0.212892,0.166048,83000,75
-2.31548,-2.01927,-1.88456,0.042503,6.6169,0.212026,0.168105,84000,76
-2.38725,-1.98283,-1.87095,0.050286,6.7077,0.213741,0.167459,85000,77
-2.33515,-2.01518,-1.87409,0.0502563,6.65195,0.212063,0.167397,86000,78
-2.38089,-2.00974,-1.89288,0.0484384,6.6756,0.212068,0.165377,87000,78
-2.30319,-2.03017,-1.89789,0.0410141,6.69443,0.21311,0.162784,88000,79
-2.33164,-1.98767,-1.90535,0.0451705,6.67988,0.213132,0.165246,89000,80
-2.32699,-1.99345,-1.88493,0.0441265,6.61694,0.212831,0.166983,90000,81
-2.43815,-2.01248,-1.87769,0.0472152,6.54157,0.21557,0.162722,91000,82
-2.3874,-2.02298,-1.91977,0.0539188,6.74164,0.21504,0.16598,92000,83
-2.4347,-2.0171,-1.90446,0.0559694,6.71573,0.211652,0.164086,93000,84
-2.45492,-2.03221,-1.9133,0.0569237,6.62139,0.215173,0.164228,94000,85
-2.42005,-2.00165,-1.90258,0.0474001,6.61625,0.21075,0.163509,95000,86
-2.44333,-2.02958,-1.9423,0.0526203,6.77364,0.212832,0.160975,96000,87
-2.49095,-2.02403,-1.93675,0.0552463,6.63529,0.207922,0.16048,97000,88
-2.44203,-2.0104,-1.95022,0.0515338,6.64311,0.209313,0.164337,98000,89
-2.44787,-2.03324,-1.924,0.0502564,6.63473,0.206023,0.162167,99000,90
-2.49193,-2.03933,-1.93043,0.0583243,6.76292,0.208063,0.162207,100000,90
-2.44412,-2.0369,-1.92473,0.0555176,6.61746,0.2087,0.164192,101000,91
-2.51428,-2.0323,-1.89249,0.0580136,6.68047,0.212546,0.163169,102000,92
-2.3859,-2.05157,-1.93854,0.0508099,6.7346,0.211783,0.160746,103000,92
-2.56124,-2.06629,-1.92878,0.0678064,6.61223,0.211506,0.162524,104000,94
-2.4085,-2.01986,-1.95557,0.0509556,6.57844,0.210222,0.160026,105000,95
-2.35862,-2.04251,-1.91008,0.0513214,6.65934,0.209625,0.162249,106000,96
-2.38192,-2.06402,-1.90517,0.0499979,6.58754,0.206702,0.161621,107000,96
-2.38719,-2.03012,-1.93192,0.0487289,6.66084,0.208306,0.161072,108000,97
-2.41258,-2.039,-1.93458,0.0486682,6.76233,0.210078,0.161296,109000,98
-2.51026,-2.08035,-1.93417,0.0603427,6.67429,0.209552,0.161244,110000,100
-2.47934,-2.03989,-1.91915,0.0525116,6.65626,0.210116,0.16055,111000,101
-2.48934,-2.03439,-1.93434,0.0585381,6.65196,0.209354,0.161816,112000,101
-2.43146,-2.05106,-1.92944,0.0555223,6.69385,0.208499,0.16145,113000,102
-2.47587,-2.06656,-1.92868,0.0523526,6.69383,0.207848,0.158346,114000,103
-2.42285,-2.07016,-1.9522,0.0494152,6.7618,0.206938,0.156797,115000,103
-2.50767,-2.06588,-1.95525,0.05657,6.70037,0.210347,0.159462,116000,104
-2.53696,-2.03454,-1.97426,0.0610354,6.64456,0.207318,0.158582,117000,105
-2.51771,-2.0723,-1.94944,0.0556607,6.62355,0.211029,0.160084,118000,106
-2.38196,-2.05556,-1.94325,0.0472625,6.82878,0.205044,0.161208,119000,107
-2.36842,-2.06431,-1.92363,0.0525666,6.77044,0.204897,0.160309,120000,116
-2.4552,-2.08035,-1.94266,0.0534577,6.6681,0.206148,0.15747,121000,119
-2.47703,-2.09993,-1.91113,0.0533315,6.77434,0.205662,0.154357,122000,121
-2.43157,-2.07019,-1.90301,0.0521849,6.87946,0.202129,0.158555,123000,124
-2.43619,-2.07257,-1.93235,0.0522695,6.65168,0.206118,0.15493,124000,126
-2.41026,-2.07148,-1.94117,0.0521569,6.78837,0.203123,0.157888,125000,129
-2.57484,-2.08259,-1.97576,0.0606941,6.63955,0.211644,0.15709,126000,131
-2.54887,-2.05041,-1.9634,0.0586952,6.69999,0.20765,0.156038,127000,134
-2.47666,-2.07016,-1.98083,0.0503257,6.64193,0.206404,0.15398,128000,137
-2.61427,-2.07486,-1.95561,0.0656549,6.6083,0.205262,0.156663,129000,140
-2.6543,-2.10053,-1.94771,0.0634339,6.61503,0.206377,0.155229,130000,143
-2.53327,-2.06744,-1.93426,0.0543524,6.64508,0.205106,0.1562,131000,147
-2.49871,-2.10485,-1.97384,0.059608,6.71707,0.201887,0.156012,132000,150
-2.52355,-2.06035,-1.97335,0.0624216,6.70714,0.20691,0.154887,133000,153
-2.51051,-2.06632,-1.94035,0.0521998,6.64277,0.206415,0.154407,134000,156
-2.41092,-2.0465,-1.93125,0.0463392,6.57983,0.204461,0.156296,135000,160
-2.46592,-2.11057,-1.96815,0.0586814,6.67121,0.204551,0.154926,136000,162
-2.61281,-2.05226,-1.98027,0.0592872,6.58812,0.202341,0.155816,137000,164
-2.39383,-2.06937,-1.93857,0.0534808,6.6344,0.203208,0.155572,138000,167
-2.45192,-2.08728,-1.93925,0.052391,6.71856,0.204912,0.155169,139000,170
-2.52538,-2.07815,-1.91452,0.0573905,6.53669,0.204103,0.156116,140000,172
-2.47551,-2.0701,-1.95407,0.0575008,6.6862,0.199327,0.154771,141000,174
-2.44518,-2.08887,-1.93537,0.0509003,6.75308,0.20132,0.154764,142000,176
-2.56913,-2.06797,-1.95764,0.0621194,6.61659,0.201421,0.155006,143000,179
-2.35978,-2.07066,-1.93259,0.0516024,6.85748,0.201983,0.157681,144000,183
-2.44013,-2.07281,-1.9557,0.0532789,6.76385,0.200543,0.155531,145000,186
-2.50191,-2.08969,-1.94372,0.0550235,6.78435,0.204205,0.15545,146000,189
-2.48551,-2.08581,-1.96544,0.0558541,6.56767,0.20084,0.153387,147000,192
-2.52208,-2.0693,-1.93255,0.0514783,6.77809,0.204726,0.153308,148000,196
-2.49842,-2.0457,-1.94992,0.0536417,6.67027,0.202649,0.155163,149000,199
-2.55654,-2.08663,-1.94094,0.0633326,6.76076,0.204591,0.15466,150000,202
-2.46089,-2.06524,-1.95273,0.0559691,6.66998,0.201719,0.154555,151000,205
-2.48515,-2.09774,-1.94219,0.0559349,6.68113,0.204698,0.153914,152000,207
-2.53328,-2.06879,-1.9482,0.0539052,6.8208,0.202207,0.154957,153000,209
-2.46722,-2.07896,-1.9425,0.056913,6.74537,0.202839,0.154261,154000,213
-2.48045,-2.08975,-1.95582,0.0561184,6.67666,0.202601,0.15416,155000,216
-2.41958,-2.1047,-1.97122,0.0545817,6.65219,0.204474,0.153435,156000,219
-2.39169,-2.09253,-1.96254,0.0537454,6.74641,0.203456,0.153519,157000,222
-2.57168,-2.09888,-1.94304,0.0556752,6.58435,0.199923,0.151824,158000,226
-2.49632,-2.08379,-1.9403,0.0532864,6.70568,0.203842,0.153413,159000,229
-2.46728,-2.0824,-1.97511,0.0509827,6.75561,0.200804,0.153919,160000,231
-2.47999,-2.09541,-1.96728,0.0551767,6.62444,0.202884,0.153839,161000,234
-2.45998,-2.06972,-1.93577,0.0536696,6.67714,0.203836,0.153835,162000,237
-2.5971,-2.05189,-1.95575,0.058443,6.65057,0.199998,0.153777,163000,240
-2.50815,-2.10629,-1.9181,0.0535276,6.58652,0.201585,0.153603,164000,243
-2.44108,-2.10336,-1.96535,0.0560396,6.61787,0.203811,0.15135,165000,246
-2.32745,-2.05917,-1.92554,0.0446303,6.6767,0.200234,0.156345,166000,249
-2.47931,-2.05484,-1.9421,0.0457739,6.63746,0.200979,0.155827,167000,253
-2.48991,-2.07529,-1.97707,0.0565773,6.85347,0.201134,0.155998,168000,255
-2.5117,-2.1074,-1.97446,0.0602058,6.63498,0.202806,0.151278,169000,257
-2.48888,-2.10481,-1.9745,0.0540278,6.63399,0.201345,0.150955,170000,260
-2.48883,-2.09627,-1.98248,0.0576509,6.63641,0.203707,0.151947,171000,263
-2.48369,-2.08824,-1.96111,0.0515285,6.65538,0.201197,0.1533,172000,265
-2.50626,-2.11031,-1.99277,0.0567924,6.72447,0.200636,0.15175,173000,268
-2.58702,-2.10757,-1.98699,0.0605036,6.60107,0.197815,0.151918,174000,271
-2.47933,-2.08511,-1.96918,0.0536188,6.71016,0.205397,0.153066,175000,273
-2.56447,-2.11179,-1.95646,0.0621619,6.70723,0.201846,0.154241,176000,275
-2.47693,-2.10013,-1.99411,0.0508923,6.80307,0.202809,0.152614,177000,277
-2.4647,-2.11693,-1.97488,0.0574826,6.73042,0.206604,0.152525,178000,281
-2.50344,-2.09511,-1.96871,0.0620727,6.63509,0.205453,0.151693,179000,283
-2.51206,-2.09891,-1.97272,0.0564107,6.51418,0.200377,0.150302,180000,285
-2.62327,-2.08542,-1.99172,0.0555768,6.65671,0.198602,0.152182,181000,288
-2.65937,-2.10011,-1.97601,0.0713546,6.64284,0.202921,0.150606,182000,290
-2.52486,-2.0975,-1.94964,0.0586993,6.57525,0.202361,0.153914,183000,293
-2.5023,-2.08568,-1.9666,0.0566908,6.64262,0.202365,0.150608,184000,295
-2.6128,-2.09816,-1.9967,0.0665767,6.70388,0.201519,0.151315,185000,298
-2.52006,-2.0907,-1.96335,0.0556973,6.82253,0.202515,0.153097,186000,301
-2.51331,-2.09738,-1.96884,0.052969,6.67224,0.198752,0.153861,187000,303
-2.47251,-2.09153,-1.9863,0.0570596,6.73967,0.202542,0.152051,188000,306
-2.61587,-2.07497,-2.0085,0.0653335,6.59359,0.200459,0.153168,189000,309
-2.60826,-2.08947,-1.97927,0.0607189,6.64013,0.202011,0.154877,190000,311
-2.55792,-2.11647,-1.94799,0.0666524,6.70064,0.199996,0.153083,191000,313
-2.52349,-2.08281,-1.9977,0.0635797,6.6364,0.202752,0.152431,192000,317
-2.62562,-2.11156,-1.96004,0.0677926,6.67975,0.200361,0.15272,193000,319
-2.46442,-2.10824,-2.01797,0.0564656,6.67284,0.200242,0.151515,194000,323
-2.64419,-2.09158,-1.95082,0.0604205,6.73833,0.201219,0.153276,195000,326
-2.48628,-2.08708,-1.98393,0.0531236,6.59047,0.203248,0.152127,196000,329
-2.61014,-2.09645,-1.9659,0.0589743,6.57465,0.201081,0.151282,197000,331
-2.52205,-2.10192,-1.98271,0.0568182,6.49988,0.200851,0.153086,198000,333
-2.52244,-2.09671,-1.95301,0.0581204,6.51531,0.201193,0.154923,199000,336
-2.52484,-2.08949,-1.96165,0.0565454,6.68822,0.202848,0.152907,200000,340
-2.48187,-2.11729,-1.95894,0.0529524,6.57905,0.200056,0.149856,201000,342
-2.3956,-2.08895,-1.94238,0.0453004,6.79027,0.20338,0.152896,202000,345
-2.49285,-2.08529,-1.97998,0.0628476,6.78312,0.204815,0.152029,203000,349
-2.45623,-2.10351,-1.95456,0.0593445,6.65851,0.200297,0.150762,204000,351
-2.4949,-2.09852,-1.97748,0.0611171,6.5156,0.200735,0.152566,205000,353
-2.49683,-2.09546,-1.9662,0.0598242,6.75727,0.204852,0.150506,206000,356
-2.50587,-2.10447,-1.97092,0.0587675,6.63696,0.201436,0.152176,207000,359
-2.44086,-2.08905,-1.9814,0.0521942,6.68862,0.204076,0.150352,208000,362
-2.50088,-2.11136,-2.00904,0.0562901,6.70123,0.201364,0.149549,209000,364
-2.44056,-2.0826,-1.9814,0.0506676,6.74251,0.200975,0.153769,210000,366
-2.62462,-2.12548,-1.95541,0.0620469,6.64054,0.204019,0.150928,211000,369
-2.53513,-2.10031,-2.02084,0.0647582,6.51201,0.201668,0.150685,212000,371
-2.58453,-2.10893,-1.996,0.0616502,6.60022,0.199582,0.152289,213000,373
-2.50611,-2.09454,-1.99751,0.0574658,6.6655,0.203869,0.149853,214000,375
-2.4581,-2.11158,-1.99717,0.0493581,6.67215,0.199927,0.149925,215000,377
-2.60169,-2.12173,-2.02831,0.0650601,6.65128,0.203838,0.150587,216000,379
-2.66463,-2.10967,-1.97259,0.0671942,6.56095,0.20261,0.150648,217000,381
-2.65395,-2.13338,-2.01358,0.0611943,6.71602,0.202666,0.149069,218000,383
-2.47498,-2.11531,-1.9661,0.0578736,6.6507,0.203719,0.152099,219000,385
-2.57836,-2.11212,-1.97848,0.0577586,6.56198,0.201385,0.150091,220000,398
-2.56487,-2.10507,-1.98544,0.0568793,6.74369,0.200456,0.150377,221000,400
-2.55946,-2.09094,-2.03644,0.0632205,6.62584,0.20237,0.150563,222000,403
-2.5554,-2.12438,-1.99178,0.0593284,6.75218,0.202984,0.148497,223000,406
-2.50959,-2.09742,-1.9804,0.0535904,6.65845,0.201505,0.148925,224000,409
-2.50203,-2.1151,-1.97648,0.0605767,6.73531,0.201265,0.150477,225000,411
-2.60841,-2.07971,-1.98996,0.0644065,6.73847,0.199387,0.149073,226000,413
-2.60904,-2.11593,-2.00027,0.0713375,6.68402,0.202707,0.150783,227000,415
-2.52272,-2.0848,-1.96998,0.0590679,6.67229,0.200957,0.152197,228000,418
-2.47189,-2.12499,-2.00009,0.0547748,6.71071,0.201225,0.149469,229000,422
-2.43584,-2.104,-1.99542,0.0549774,6.67182,0.199362,0.148629,230000,424
-2.53933,-2.09966,-2.02248,0.0611537,6.77231,0.200234,0.151976,231000,427
-2.40799,-2.09452,-1.98395,0.0481443,6.60082,0.200719,0.150314,232000,431
-2.52197,-2.09427,-2.00151,0.0636417,6.57117,0.200394,0.152223,233000,433
-2.5242,-2.08973,-1.99182,0.059097,6.67021,0.199986,0.150721,234000,436
-2.52853,-2.12727,-1.98483,0.0614462,6.72281,0.199208,0.151197,235000,438
-2.46436,-2.11352,-1.98814,0.0591115,6.64382,0.200135,0.149353,236000,440
-2.531,-2.11369,-2.01505,0.0610929,6.62182,0.199967,0.151694,237000,442
-2.54219,-2.10325,-1.9693,0.0614675,6.77603,0.198826,0.149998,238000,445
-2.59426,-2.12379,-2.00987,0.0647364,6.69803,0.197969,0.148921,239000,448
-2.50915,-2.1386,-2.01663,0.0631421,6.65456,0.199503,0.149102,240000,450
-2.52973,-2.12914,-1.97703,0.0611134,6.60975,0.201622,0.151467,241000,454
-2.59281,-2.10817,-2.0156,0.063415,6.68251,0.199886,0.148088,242000,457
-2.53027,-2.13917,-2.00158,0.0593557,6.67672,0.202239,0.147663,243000,460
-2.47483,-2.10281,-1.9949,0.0525758,6.68798,0.199359,0.148818,244000,462
-2.55347,-2.1128,-1.9976,0.0613097,6.63278,0.202481,0.149653,245000,464
-2.56283,-2.10249,-2.01409,0.0569819,6.68747,0.197571,0.148625,246000,466
-2.57364,-2.10893,-2.0113,0.0611313,6.71936,0.199309,0.147588,247000,468
-2.49897,-2.09172,-1.97699,0.0465005,6.63621,0.200696,0.149325,248000,471
-2.54428,-2.10207,-2.00084,0.0602789,6.65349,0.202883,0.150563,249000,474
-2.45905,-2.10857,-2.00731,0.0599132,6.66367,0.201482,0.150011,250000,476
-2.57406,-2.12663,-2.01037,0.0603604,6.63473,0.199257,0.147291,251000,479
-2.55151,-2.10941,-1.99498,0.0599239,6.63299,0.204355,0.150308,252000,482
-2.49887,-2.09882,-1.98427,0.0553114,6.75078,0.199774,0.149874,253000,485
-2.5622,-2.11512,-1.97894,0.055967,6.70681,0.200703,0.149318,254000,487
-2.51007,-2.11136,-2.00361,0.058154,6.67846,0.200199,0.150351,255000,489
-2.60603,-2.10109,-2.00116,0.06169,6.70317,0.198124,0.14802,256000,493
-2.55938,-2.10728,-1.99214,0.0549542,6.59149,0.197746,0.150612,257000,495
-2.57951,-2.10932,-2.00918,0.0626983,6.63282,0.20113,0.148556,258000,497
-2.59979,-2.12127,-2.00758,0.0629935,6.55776,0.197641,0.148851,259000,500
-2.57748,-2.10004,-2.0095,0.0564547,6.67172,0.199061,0.149879,260000,503
-2.58387,-2.10956,-2.01707,0.0621727,6.71067,0.201062,0.148485,261000,506
-2.51547,-2.11901,-2.00417,0.0612347,6.56668,0.199719,0.151387,262000,509
-2.54399,-2.11361,-2.02818,0.0604117,6.7258,0.200711,0.147067,263000,513
-2.52201,-2.12234,-2.02296,0.0628058,6.62115,0.200031,0.149583,264000,515
-2.47366,-2.08417,-1.97842,0.0495463,6.72818,0.199251,0.148899,265000,518
-2.58089,-2.10597,-2.00627,0.0626227,6.57261,0.200738,0.15065,266000,521
-2.4429,-2.10268,-2.01378,0.0505685,6.67995,0.201166,0.148386,267000,524
-2.47779,-2.13466,-1.98845,0.0555954,6.56971,0.200774,0.148988,268000,526
-2.54673,-2.1253,-2.01259,0.0573338,6.65319,0.201192,0.147492,269000,529
-2.51126,-2.10149,-2.02637,0.0623561,6.69354,0.201678,0.1487,270000,531
-2.50707,-2.12923,-1.99128,0.0566901,6.60804,0.1991,0.147607,271000,534
-2.54755,-2.09997,-1.99754,0.0562516,6.56877,0.20187,0.149323,272000,537
-2.49389,-2.08764,-1.98621,0.0588906,6.75032,0.198424,0.151993,273000,540
-2.45427,-2.10379,-2.0164,0.053369,6.70381,0.202326,0.148516,274000,542
-2.36782,-2.10756,-1.99114,0.047198,6.64914,0.199913,0.151252,275000,544
-2.63057,-2.12159,-2.00934,0.0601648,6.62082,0.202732,0.148173,276000,548
-2.47337,-2.1141,-2.00931,0.0553305,6.66807,0.199602,0.148687,277000,551
-2.43572,-2.13306,-2.01269,0.0513334,6.6549,0.19959,0.147386,278000,554
-2.51246,-2.12161,-2.01855,0.0520674,6.73794,0.200544,0.14764,279000,556
-2.4607,-2.12611,-2.0392,0.0542919,6.63969,0.200852,0.147582,280000,559
-2.57926,-2.12697,-1.9938,0.0570685,6.65559,0.199961,0.148306,281000,562
-2.5947,-2.12993,-1.99249,0.0560045,6.5833,0.201549,0.148272,282000,565
-2.48893,-2.12477,-1.97416,0.0536657,6.75924,0.202785,0.150259,283000,568
-2.48411,-2.11214,-2.01067,0.0507745,6.67927,0.197751,0.148114,284000,570
-2.61408,-2.14299,-1.98045,0.0592925,6.81662,0.199332,0.149383,285000,572
-2.49192,-2.10942,-2.01385,0.0534558,6.67138,0.198655,0.147771,286000,576
-2.58412,-2.11814,-2.03898,0.058233,6.61043,0.198008,0.145877,287000,579
-2.53399,-2.15245,-1.98034,0.0575045,6.80806,0.197459,0.15141,288000,581
-2.58012,-2.13849,-2.0047,0.0597008,6.7153,0.199345,0.148648,289000,584
-2.55323,-2.1215,-2.00734,0.0590477,6.8421,0.198975,0.146783,290000,586
-2.48646,-2.11473,-2.01591,0.0533546,6.66014,0.194702,0.145665,291000,589
-2.50333,-2.13802,-2.01626,0.0570394,6.63305,0.200658,0.145235,292000,593
-2.5459,-2.12567,-2.00543,0.0591484,6.71806,0.200693,0.148806,293000,596
-2.60974,-2.10311,-1.99826,0.0561947,6.72741,0.196935,0.1497,294000,599
-2.60272,-2.11619,-2.02734,0.0578334,6.57752,0.197246,0.149035,295000,601
-2.55894,-2.10622,-2.00187,0.0553462,6.74068,0.198634,0.146929,296000,604
-2.47371,-2.12345,-1.9872,0.0473002,6.63917,0.199095,0.148634,297000,607
-2.68293,-2.13438,-1.99474,0.0640174,6.71446,0.19757,0.147957,298000,610
-2.51307,-2.10169,-2.0014,0.0661994,6.6376,0.197118,0.150663,299000,614
-2.56831,-2.07543,-1.97266,0.0532198,6.69,0.197966,0.148709,300000,617
-2.49981,-2.1006,-2.00783,0.0530933,6.71534,0.201738,0.150844,301000,619
-2.61508,-2.12692,-2.0002,0.069366,6.6049,0.20016,0.150523,302000,621
-2.68386,-2.11826,-2.01972,0.0691667,6.70771,0.197488,0.148972,303000,624
-2.57462,-2.09101,-2.01409,0.0586752,6.58556,0.197306,0.148733,304000,626
-2.5493,-2.10392,-2.0107,0.0607155,6.54111,0.198891,0.149123,305000,629
-2.58309,-2.13823,-2.01992,0.058971,6.58978,0.199538,0.14754,306000,632
-2.57071,-2.12015,-2.01212,0.0669847,6.75267,0.19761,0.148767,307000,635
-2.56659,-2.10364,-2.04621,0.0595885,6.66431,0.196522,0.147529,308000,638
-2.51262,-2.10091,-2.00466,0.0571686,6.59781,0.198364,0.149238,309000,641
-2.55904,-2.11398,-2.00147,0.0567405,6.66449,0.197645,0.149132,310000,644
-2.54674,-2.12808,-1.99388,0.0608074,6.62366,0.195611,0.148189,311000,647
-2.54951,-2.10675,-2.01885,0.0559817,6.6663,0.200999,0.146764,312000,650
-2.55318,-2.12077,-2.00863,0.0621818,6.62814,0.197342,0.147783,313000,653
-2.60888,-2.14751,-2.02149,0.0656455,6.6771,0.198631,0.148839,314000,655
-2.51022,-2.1382,-1.98617,0.052807,6.70457,0.198825,0.148917,315000,657
